# 四季折の羽
# Converted from SkyStudio format
# BPM: 550
# Total chords: 1365

Time,Keys,Duration
0.87,;i,0.22
1.09,mp,0.22
1.31,,hno,0.44
1.74,;i,0.44
2.18,lu,0.44
2.62,;ip,0.87
3.49,h,0.44
3.92,,/hky,0.87
4.80,h,0.22
5.01,;,0.22
5.23,hk,0.22
5.45,i,0.22
5.67,jl,0.22
5.89,i,0.22
6.10,/;ky,0.22
6.32,;i,0.22
6.54,.jlu,0.87
7.41,l,0.22
7.63,k,0.22
7.85,,j,0.44
8.28,l,0.44
8.72,h,0.44
9.16,;i,0.22
9.37,j,0.22
9.59,;,0.22
9.81,.j,0.22
10.03,;i,0.22
10.25,,h,0.22
10.46,.;ij,0.87
11.34,h,0.44
11.77,;h,0.44
12.21,hi,0.22
12.43,l,0.22
12.64,l,0.22
12.86,;,0.22
13.08,hm,0.44
13.52,hi,0.44
13.95,h,0.44
14.39,;p,0.44
14.82,hiu,0.44
15.26,l,0.22
15.48,;,0.22
15.70,mp,0.44
16.13,hiu,0.44
16.57,h,0.44
17.00,;o,0.44
17.44,hiy,0.44
17.88,l,0.22
18.09,;,0.22
18.31,mo,0.44
18.75,hiy,0.44
19.18,l,0.22
19.40,k,0.22
19.62,ij,0.44
20.06,puy,0.44
20.49,j,0.22
20.71,k,0.22
20.93,ip,0.44
21.36,uy,0.44
21.80,p,0.22
22.02,p,0.22
22.24,ho,0.44
22.67,huy,0.22
22.89,p,0.22
23.11,h,0.22
23.33,j,0.22
23.54,kp,0.44
23.98,hlu,0.44
24.42,;,0.22
24.63,;,0.22
24.85,hi,0.44
25.29,huy,0.44
25.72,p,0.44
26.16,ho,0.44
26.60,iy,0.44
27.03,l,0.22
27.25,;,0.22
27.47,ho,0.44
27.90,hiy,0.44
28.34,l,0.22
28.56,;,0.22
28.78,ho,0.44
29.21,iy,0.22
29.43,h,0.22
29.65,lu,0.22
29.87,k,0.22
30.08,kp,0.44
30.52,hu,0.22
30.74,j,0.22
30.96,j,0.22
31.17,k,0.22
31.39,jp,0.44
31.83,hu,0.44
32.26,hi,0.44
32.70,,;h,0.22
32.92,i,0.22
33.14,h,0.22
33.35,i,0.22
33.57,hlp,0.22
33.79,;h,0.22
34.01,,hkm,0.22
34.23,i,0.22
34.44,h,0.22
34.66,i,0.22
34.88,hi,0.44
35.32,;hp,0.22
35.53,i,0.22
35.75,h,0.22
35.97,i,0.22
36.19,hlp,0.22
36.41,;h,0.22
36.62,kmp,0.22
36.84,i,0.22
37.06,h,0.22
37.28,i,0.22
37.50,hi,0.44
37.93,;ho,0.22
38.15,y,0.22
38.37,i,0.22
38.59,y,0.22
38.80,ilp,0.22
39.02,;h,0.22
39.24,kmo,0.22
39.46,y,0.22
39.68,,/h,0.22
39.89,y,0.22
40.11,.hm,0.22
40.33,;m,0.22
40.55,;hi,0.22
40.77,y,0.22
40.98,h,0.22
41.20,y,0.22
41.42,hlp,0.22
41.64,;h,0.22
41.86,;hi,0.22
42.07,y,0.22
42.29,h,0.22
42.51,y,0.22
42.73,pu,0.22
42.95,pu,0.22
43.16,hio,0.22
43.38,y,0.22
43.60,o,0.22
43.82,puy,0.22
44.04,hio,0.22
44.25,jo,0.22
44.47,kp,0.22
44.69,u,0.22
44.91,hlp,0.22
45.13,u,0.22
45.34,;ij,0.22
45.56,;j,0.22
45.78,hi,0.22
46.00,y,0.22
46.22,i,0.22
46.43,y,0.22
46.65,pu,0.44
47.09,hi,0.22
47.31,y,0.22
47.52,i,0.22
47.74,hiy,0.22
47.96,pu,0.22
48.18,hi,0.22
48.40,kop,0.22
48.61,y,0.22
48.83,o,0.22
49.05,hiy,0.22
49.27,hi,0.22
49.49,kp,0.22
49.70,hlp,0.22
49.92,u,0.22
50.14,kp,0.22
50.36,u,0.22
50.58,hlp,0.22
50.79,;j,0.22
51.01,,;h,0.22
51.23,i,0.22
51.45,h,0.22
51.67,i,0.22
51.88,hlm,0.22
52.10,i,0.22
52.32,,;hi,1.31
53.63,hou,0.65
54.28,lp,0.22
54.50,,;h,0.22
54.72,;h,0.22
54.94,;ilmnopu,0.44
55.37,l,0.22
55.59,ik,0.22
55.81,hik,0.22
56.03,lp,0.22
56.24,;h,0.22
56.46,i,0.22
56.68,h,0.22
56.90,;,0.22
57.12,h,0.22
57.33,;i,0.22
57.55,hiu,0.22
57.77,;h,0.22
57.99,ikmpy,0.22
58.21,;h,0.22
58.42,.ijlmp,0.22
58.64,;h,0.22
58.86,,;hino,0.44
59.30,ilmp,0.44
59.73,lmpu,0.22
59.95,,;,0.22
60.17,;ikpy,0.44
60.60,jlpuy,0.44
61.04,hijl,0.22
61.26,;k,0.22
61.48,,/hikuy,0.22
61.69,i,0.22
61.91,h,0.22
62.13,,/i,0.22
62.35,.hm,0.22
62.57,;im,0.22
62.78,;hiky,0.22
63.00,;m,0.22
63.22,;hku,0.22
63.44,op,0.22
63.66,;imo,0.22
63.87,;k,0.22
64.09,jl,0.65
64.75,hk,0.22
64.96,jl,0.22
65.18,;k,0.22
65.40,hopu,0.22
65.62,ip,0.22
65.84,ikp,0.22
66.05,i,0.22
66.27,jkl,0.22
66.49,;ik,0.22
66.71,hjl,0.22
66.93,i,0.22
67.14,k,0.22
67.36,hik,0.22
67.58,jkl,0.22
67.80,;im,0.22
68.02,him,0.65
68.67,hy,0.22
68.89,jl,0.22
69.11,jklp,0.22
69.32,;jk,0.44
69.76,i,0.22
69.98,jl,0.22
70.20,;hkou,0.22
70.41,jl,0.22
70.63,;ikpy,0.44
71.07,;hk,0.22
71.29,jl,0.22
71.50,;ku,0.22
71.72,;h,0.22
71.94,ilm,0.22
72.16,j,0.22
72.38,,;i,0.22
72.59,j,0.22
72.81,;ij,0.22
73.03,hjl,0.22
73.25,.;ijm,0.44
73.68,;k,0.44
74.12,;m,0.22
74.34,;k,0.22
74.56,,/hu,0.22
74.77,;u,0.22
74.99,h,0.22
75.21,,/;u,0.22
75.43,.hmu,0.22
75.65,;m,0.22
75.86,;kou,0.22
76.08,;muy,0.22
76.30,;ko,0.22
76.52,hu,0.22
76.74,;kuy,0.22
76.95,;u,0.22
77.17,jlp,0.22
77.39,l,0.22
77.61,i,0.22
77.83,;kp,0.22
78.04,;im,0.22
78.26,jlu,0.22
78.48,;ky,0.22
78.70,p,0.22
78.92,y,0.22
79.13,u,0.22
79.35,ijl,0.22
79.57,;kp,0.22
79.79,ho,0.22
80.01,y,0.22
80.22,ho,0.22
80.44,y,0.22
80.66,jlp,0.22
80.88,;ky,0.22
81.10,hi,0.22
81.31,y,0.22
81.53,hip,0.22
81.75,y,0.22
81.97,jl,0.22
82.19,;kp,0.22
82.40,ilm,0.22
82.62,h,0.22
82.84,lu,0.22
83.06,,;i,0.22
83.28,;ko,0.22
83.49,hjl,0.22
83.71,;ik,0.22
83.93,jlm,0.22
84.15,;jp,0.22
84.37,j,0.22
84.58,lp,0.22
84.80,;hi,0.22
85.02,/;hk,0.22
85.24,k,0.22
85.46,;,0.22
85.67,,/;,0.22
85.89,.;l,0.22
86.11,km,0.22
86.33,;jo,0.22
86.55,klm,0.22
86.76,;hk,0.22
86.98,o,0.22
87.20,;hikoy,0.22
87.42,;jmp,0.22
87.64,,;hkp,0.22
87.85,h,0.22
88.07,l,0.22
88.29,/kmpy,0.22
88.51,,jlu,0.22
88.73,;ikpy,0.22
88.94,;iky,0.22
89.16,u,0.22
89.38,i,0.44
89.82,jlpu,0.22
90.03,;h,0.22
90.25,,;hiy,0.22
90.47,y,0.44
90.91,y,0.22
91.12,hilpy,0.22
91.34,;h,0.22
91.56,hiuy,0.22
91.78,y,0.22
92.00,hmpu,0.22
92.21,y,0.22
92.43,mpuy,0.22
92.65,,hi,0.22
92.87,.hjpy,0.22
93.09,iy,0.22
93.30,/hk,0.22
93.52,iy,0.22
93.74,.jpuy,0.22
93.96,impu,0.22
94.18,,hiy,0.22
94.39,y,0.44
94.83,y,0.22
95.05,ly,0.22
95.27,;,0.22
95.48,,;y,0.22
95.70,y,0.44
96.14,y,0.22
96.36,;y,0.44
96.79,ly,0.22
97.01,y,0.22
97.23,,h,0.22
97.45,y,0.33
97.77,y,0.65
98.43,,ly,0.33
98.75,y,0.65
99.41,y,0.33
99.73,;y,0.65
100.39,luy,0.33
100.72,y,0.55
101.26,h,0.44
101.70,y,0.33
102.02,y,0.87
102.90,y,0.33
103.22,y,0.55
103.77,y,0.22
103.99,y,0.22
104.20,y,0.22
