# 回家的诱惑 不可原谅 烛子ikina
# Converted from SkyStudio format
# BPM: 300
# Total chords: 92

Time,Keys,Duration
2.80,;,0.40
3.20,/h,0.20
3.40,.,0.20
3.60,/,0.20
3.80,.h,0.20
4.00,/,0.40
4.40,;h,0.20
4.60,m,0.20
4.80,i,0.60
5.40,i,0.60
6.00,;i,0.20
6.20,m,0.20
6.40,,o,0.20
6.60,m,0.20
6.80,,,0.20
7.00,mo,0.20
7.20,,,0.40
7.60,ko,0.20
7.80,;,0.20
8.00,y,0.60
8.60,y,0.60
9.20,y,0.20
9.40,;,0.20
9.60,nu,0.40
10.00,;,0.20
10.20,;u,0.40
10.60,l,0.20
10.80,u,0.40
11.20,;h,0.40
11.60,/,0.20
11.80,/h,0.60
12.40,h,0.40
12.80,.j,0.40
13.20,l,0.20
13.40,;j,0.40
13.80,.,0.20
14.00,j,0.40
14.40,.i,0.60
15.00,i,0.60
15.60,;i,0.20
15.80,;,0.20
16.00,hk,0.20
16.20,j,0.20
16.40,k,0.20
16.60,hj,0.20
16.80,k,0.20
17.00,;,0.20
17.20,h,0.40
17.60,ij,0.60
18.20,i,0.60
18.80,ip,0.20
19.00,p,0.20
19.20,ho,0.40
19.60,j,0.20
19.80,ko,0.40
20.20,l,0.20
20.40,ko,0.20
20.60,;,0.20
20.80,y,0.60
21.40,y,0.60
22.00,y,0.40
22.40,;u,0.40
22.80,l,0.20
23.00,nu,0.40
23.40,;,0.20
23.60,u,0.40
24.00,hl,0.40
24.40,k,0.20
24.60,jp,0.40
25.00,k,0.20
25.20,p,0.20
25.40,k,0.20
25.60,o,0.60
26.20,o,0.60
26.80,lo,0.20
27.00,j,0.20
27.20,i,0.60
27.80,i,0.60
28.40,i,0.20
28.60,h,0.20
28.80,hy,0.60
29.40,y,0.60
30.00,i,0.40
30.40,h,1.20
31.60,h,0.20
31.80,j,0.20
32.00,ik,1.20
33.20,l,0.20
33.40,j,0.20
33.60,u,1.40
35.00,h,0.20
35.20,hy,0.50
