# 圣诞结—陈奕迅（沫忆）
# Converted from SkyStudio format
# BPM: 249
# Total chords: 390

Time,Keys,Duration
0.00,C3D3E3F#3,0.48
0.48,D3E3F#3,0.48
0.96,D3E3,0.24
1.20,D3,0.24
1.44,F#3,0.24
1.68,C#3F#3,0.48
2.16,G3,0.24
2.40,A#2D#3G3,0.48
2.88,F#3,0.24
3.12,D3,0.48
3.60,B2C#3F3,0.48
4.08,C#3F3,0.48
4.56,C#3D#3,0.24
4.80,E3,0.24
5.04,D#3,0.24
5.28,B2D3E3,0.48
5.76,C#3,0.24
6.00,B2,0.72
6.72,D3E3,0.48
7.20,C3E3,0.48
7.68,E3,0.24
7.92,C3,0.24
8.16,E3,0.24
8.40,D3E3,0.24
8.64,C#3E3,0.48
9.12,C#3F3,0.48
9.60,A#2D#3,0.24
9.84,D#3,0.24
10.08,A2E3,0.48
10.56,B2,0.24
10.80,C#3,0.48
11.28,C#3,0.24
11.52,C3,0.24
11.76,B2,0.24
12.00,B2,0.24
12.24,C#3,0.24
12.48,E3,0.24
12.72,A2,0.72
13.44,A2B2E3,0.24
13.68,F3,0.24
13.92,E3,0.24
14.16,A2B2F#3,0.48
14.64,G#3,0.24
14.88,A2G#3,0.24
15.12,A#2G#3,0.24
15.36,B2G3,0.24
15.60,B2F#3,0.48
16.08,C3E3,0.48
16.56,E3,0.24
16.80,C3,0.48
17.28,A2C#3C3,0.24
17.52,D3,0.24
17.76,C#3,0.24
18.00,A2,0.72
18.72,A2B2E3,0.24
18.96,F3,0.24
19.20,E3,0.24
19.44,C#3E3F#3,0.48
19.92,G#3,0.24
20.16,C#3E3G#3,0.24
20.40,C#3,0.24
20.64,F#3,0.24
20.88,A#3B2F#3G#3,0.24
21.12,C#3,0.24
21.36,G#3,0.48
21.84,B2D#3,0.24
22.08,B2D#3,0.24
22.32,E3,0.24
22.56,F3,0.24
22.80,F3,0.24
23.04,E3,0.24
23.28,B2D#3,0.24
23.52,C3E3,0.72
24.24,C3E3G3,0.24
24.48,G#3,0.24
24.72,A3,0.24
24.96,A3C3C4D3G3,0.48
25.44,A3,0.24
25.68,C#3C3,0.24
25.92,G#3,0.24
26.16,G3,0.24
26.40,B2G#3,0.48
26.88,F#3,0.24
27.12,B2D#3F#3,0.24
27.36,F3,0.24
27.60,F#3,0.24
27.84,D3F3,0.48
28.32,E3,0.24
28.56,D3E3,0.24
28.80,D#3F3,0.24
29.04,E3F#3,0.24
29.28,A#2,0.24
29.52,A#2D3E3G3,0.24
29.76,G3,0.24
30.00,G#3,0.24
30.24,C3G3,0.24
30.48,A2C3D3,0.48
30.96,F#3,0.24
31.20,C#3D#3F3,0.24
31.44,A#2,0.24
31.68,C#3,0.24
31.92,D#3,0.24
32.16,F3,0.48
32.64,D#3,0.24
32.88,C#3D#3,0.24
33.12,A#2E3,0.24
33.36,C#3F3,0.24
33.60,D3F#3,0.24
33.84,D#3G3,0.24
34.08,A2,0.24
34.32,C#3,0.24
34.56,E3,0.48
35.04,A2B2E3,0.24
35.28,F3,0.24
35.52,E3,0.24
35.76,A2F#3,0.24
36.00,B2,0.24
36.24,C#3G#3,0.24
36.48,A2G#3,0.24
36.72,A#2G#3,0.24
36.96,B2G3,0.24
37.20,C3F#3,0.24
37.44,A2,0.24
37.68,C3E3,0.24
37.92,D3E3,0.24
38.16,E3,0.24
38.40,D3,0.24
38.64,C3E3,0.24
38.88,G#3,0.24
39.12,G#3,0.24
39.36,C#3C3E3G3,0.48
39.84,E3,0.24
40.08,A2,0.24
40.32,C#3,0.24
40.56,E3,0.24
40.80,A#2E3,0.24
41.04,A#2F3,0.24
41.28,A2E3,0.24
41.52,A2B2F#3,0.48
42.00,G#3,0.24
42.24,A2B2G#3,0.48
42.72,F#3,0.24
42.96,A#3B2,0.48
