# 坏苹果Bad Apple 简单easy 烛子ikina
# Converted from SkyStudio format
# BPM: 500
# Total chords: 214

Time,Keys,Duration
0.00,B2D3,0.24
0.24,D#3,0.24
0.48,E3,0.24
0.72,F3,0.24
0.96,F#3,0.48
1.44,A3,0.24
1.68,G#3,0.24
1.92,B2F#3,0.48
2.40,D3,0.48
2.88,F#3,0.24
3.12,F3,0.24
3.36,E3,0.24
3.60,D#3,0.24
3.84,C3D3,0.24
4.08,D#3,0.24
4.32,E3,0.24
4.56,F3,0.24
4.80,F#3,0.48
5.28,F3,0.24
5.52,E3,0.24
5.76,C#3D#3,0.24
6.00,D3,0.24
6.24,D#3,0.24
6.48,E3,0.24
6.72,D#3,0.24
6.96,D3,0.24
7.20,C#3,0.24
7.44,D#3,0.24
7.68,B2D3,0.24
7.92,D#3,0.24
8.16,E3,0.24
8.40,F3,0.24
8.64,F#3,0.48
9.12,A3,0.24
9.36,G#3,0.24
9.60,B2F#3,0.48
10.08,D3,0.48
10.56,F#3,0.24
10.80,F3,0.24
11.04,E3,0.24
11.28,D#3,0.24
11.52,C3D3,0.24
11.76,D#3,0.24
12.00,E3,0.24
12.24,F3,0.24
12.48,F#3,0.48
12.96,F3,0.24
13.20,E3,0.24
13.44,C#3D#3,0.48
13.92,E3,0.48
14.40,F3,0.48
14.88,F#3,0.48
15.36,B2D3,0.24
15.60,D#3,0.24
15.84,E3,0.24
16.08,F3,0.24
16.32,B2F#3,0.48
16.80,A3,0.24
17.04,G#3,0.24
17.28,B2F#3,0.48
17.76,D3,0.48
18.24,B2F#3,0.24
18.48,F3,0.24
18.72,E3,0.24
18.96,D#3,0.24
19.20,C3D3,0.24
19.44,D#3,0.24
19.68,E3,0.24
19.92,F3,0.24
20.16,C3F#3,0.48
20.64,F3,0.24
20.88,E3,0.24
21.12,C#3D#3,0.24
21.36,D3,0.24
21.60,D#3,0.24
21.84,E3,0.24
22.08,C#3D#3,0.24
22.32,D3,0.24
22.56,C#3,0.24
22.80,D#3,0.24
23.04,B2D3,0.24
23.28,D#3,0.24
23.52,E3,0.24
23.76,F3,0.24
24.00,B2F#3,0.48
24.48,A3,0.24
24.72,G#3,0.24
24.96,B2F#3,0.48
25.44,D3,0.48
25.92,B2F#3,0.24
26.16,F3,0.24
26.40,E3,0.24
26.64,D#3,0.24
26.88,C3D3,0.24
27.12,D#3,0.24
27.36,E3,0.24
27.60,F3,0.24
27.84,C3F#3,0.48
28.32,F3,0.24
28.56,E3,0.24
28.80,C#3D#3,0.48
29.28,E3,0.48
29.76,C#3F3,0.48
30.24,F#3,0.48
30.72,C3G#3,0.24
30.96,A3,0.24
31.20,F#3,0.24
31.44,F3,0.24
31.68,C3F#3,0.48
32.16,F3,0.24
32.40,F#3,0.24
32.64,C#3G#3,0.24
32.88,A3,0.24
33.12,F#3,0.24
33.36,F3,0.24
33.60,C#3F#3,0.48
34.08,F3,0.24
34.32,F#3,0.24
34.56,D3F3,0.24
34.80,E3,0.24
35.04,D#3,0.24
35.28,C#3,0.24
35.52,B2D3,0.48
36.00,C#3,0.24
36.24,D3,0.24
36.48,B2D#3,0.24
36.72,E3,0.24
36.96,F3,0.24
37.20,F#3,0.24
37.44,A2D3,0.48
37.92,F#3,0.24
38.16,G#3,0.24
38.40,C3G#3,0.24
38.64,A3,0.24
38.88,F#3,0.24
39.12,F3,0.24
39.36,C3F#3,0.48
39.84,F3,0.24
40.08,F#3,0.24
40.32,C#3G#3,0.24
40.56,A3,0.24
40.80,F#3,0.24
41.04,F3,0.24
41.28,C#3F#3,0.48
41.76,F3,0.24
42.00,F#3,0.24
42.24,D3F3,0.24
42.48,E3,0.24
42.72,D#3,0.24
42.96,C#3,0.24
43.20,B2D3,0.48
43.68,C#3,0.24
43.92,D3,0.24
44.16,B2D#3,0.24
44.40,E3,0.24
44.64,F3,0.24
44.88,F#3,0.24
45.12,A2D3,0.48
45.60,F#3,0.24
45.84,G#3,0.24
46.08,C3G#3,0.24
46.32,A3,0.24
46.56,F#3,0.24
46.80,F3,0.24
47.04,D3F#3,0.48
47.52,F3,0.24
47.76,F#3,0.24
48.00,C#3G#3,0.24
48.24,A3,0.24
48.48,F#3,0.24
48.72,F3,0.24
48.96,D#3F#3,0.48
49.44,F3,0.24
49.68,F#3,0.24
49.92,D3F3,0.24
50.16,E3,0.24
50.40,D#3,0.24
50.64,C#3,0.24
50.88,B2D3,0.48
51.36,C#3,0.24
51.60,D3,0.24
51.84,B2D#3,0.24
52.08,E3,0.24
52.32,F3,0.24
52.56,F#3,0.24
52.80,A2D3,0.48
53.28,F#3,0.24
53.52,G#3,0.24
53.76,C3G#3,0.24
54.00,A3,0.24
54.24,F#3,0.24
54.48,F3,0.24
54.72,D3F#3,0.48
55.20,F3,0.24
55.44,F#3,0.24
55.68,C#3G#3,0.24
55.92,A3,0.24
56.16,F#3,0.24
56.40,F3,0.24
56.64,D#3F#3,0.48
57.12,A3,0.24
57.36,A#3,0.24
57.60,C4D3,0.24
57.84,A#3,0.24
58.08,A3,0.24
58.32,G#3,0.24
58.56,F#3,0.48
59.04,F3,0.24
59.28,F#3,0.24
59.52,A#2F3,0.24
59.76,E3,0.24
60.00,D#3,0.24
60.24,C#3,0.24
60.48,A2D3,0.50
