# 坠落星空 falling stars 烛子ikina
# Converted from SkyStudio format
# BPM: 448
# Total chords: 243

Time,Keys,Duration
0.00,D3,0.27
0.27,E3,0.27
0.53,F#3,0.27
0.80,E3,0.27
1.06,A3,0.53
1.60,G#3,0.53
2.13,C3,0.27
2.39,D3,0.27
2.66,E3,0.27
2.93,F#3,0.53
3.46,E3,0.27
3.72,F#3,0.53
4.26,A2,0.27
4.52,C#3,0.27
4.79,E3,0.27
5.05,F#3,0.27
5.32,A3,0.53
5.85,G#3,0.53
6.38,C#3,0.27
6.65,A#2,0.27
6.92,C#3,0.27
7.18,F3,0.53
7.71,D#3,0.27
7.98,F3,0.53
8.51,D3,0.27
8.78,E3,0.27
9.04,F#3,0.27
9.31,E3,0.27
9.58,F3,0.13
9.71,F#3,0.13
9.84,G#3,0.27
10.11,F3,0.40
10.51,E3,0.13
10.64,C3,0.27
10.91,D3,0.27
11.17,E3,0.27
11.44,F#3,0.53
11.97,E3,0.27
12.24,A#2F#3,0.13
12.37,B2,0.13
12.50,A#2,0.27
12.77,A2F3,0.13
12.90,F#3,0.13
13.03,C#3F3,0.27
13.30,E3,0.27
13.57,F#3,0.27
13.83,D3,0.53
14.36,A#2C#3,0.13
14.50,B2,0.13
14.63,A#2,0.27
14.90,C#3,0.27
15.16,A#2,0.27
15.43,C#3,0.27
15.69,F3,1.33
17.02,B2D3F#3,0.27
17.29,E3,0.27
17.56,D#3,0.27
17.82,E3,0.27
18.09,D#3D3,0.27
18.35,E3,0.27
18.62,D#3,0.27
18.89,E3,0.27
19.15,A2C3D#3,0.53
19.68,C#3,0.27
19.95,C#3,1.33
21.28,A2C#3E3,0.27
21.55,E3,0.27
21.81,E3,0.27
22.08,E3,0.27
22.34,C#3E3,0.27
22.61,F3,0.53
23.14,F3,0.27
23.41,A#2C#3F3,0.53
23.94,E3,0.27
24.21,D#3,0.27
24.47,C#3,0.27
24.74,E3,0.27
25.00,D#3,0.27
25.27,E3,0.27
25.54,B2D3F#3,0.27
25.80,E3,0.27
26.07,D#3,0.27
26.33,E3,0.27
26.60,D#3D3,0.27
26.87,E3,0.27
27.13,D#3,0.27
27.40,E3,0.27
27.66,A2C3D#3,0.53
28.20,C#3,0.27
28.46,C#3,0.53
28.99,B2,0.80
29.79,A2C#3E3,0.27
30.06,E3,0.27
30.32,E3,0.27
30.59,E3,0.27
30.86,C#3E3,0.53
31.39,E3,0.27
31.65,E3,0.27
31.92,A#2C#3F3,0.27
32.19,F3,0.27
32.45,F#3,0.27
32.72,F3,0.27
32.98,C#3,0.80
33.78,E3,0.27
34.05,A2C3E3,0.53
34.58,G#3,0.27
34.85,G#3,0.27
35.11,C3,0.27
35.38,E3,0.80
36.18,A2C#3E3,0.27
36.44,F3,0.53
36.97,F#3,0.27
37.24,C#3,0.53
37.77,F3,0.27
38.04,E3,0.27
38.30,A#2C#3F3,0.27
38.57,F3,0.53
39.10,F#3,0.27
39.37,C#3,0.53
39.90,E3,0.53
40.43,B2D3E3,0.27
40.70,E3,0.27
40.96,F3,0.27
41.23,F3,0.27
41.50,D3,0.80
42.29,E3,0.27
42.56,A2C3E3,0.53
43.09,G#3,0.27
43.36,G#3,0.27
43.62,C3,0.27
43.89,E3,0.53
44.42,E3,0.27
44.69,A2C#3E3,0.27
44.95,F3,0.53
45.49,F#3,0.27
45.75,C#3,0.53
46.28,F3,0.27
46.55,E3,0.27
46.82,A#2C#3E3,0.53
47.35,F3,0.27
47.61,F#3,0.27
47.88,C#3,0.53
48.41,E3,0.27
48.68,F3,0.27
48.94,A#2C#3,0.27
49.21,G#3,0.27
49.48,G#3,0.27
49.74,G#3,1.06
50.81,F#3,0.27
51.07,F3,0.27
51.34,E3,0.27
51.60,E3,1.60
53.20,B2D3E3,0.27
53.47,D3,0.27
53.73,D#3,0.27
54.00,E3,0.27
54.26,B2,0.27
54.53,E3,0.27
54.80,A3,0.53
55.33,C3D3G#3,0.27
55.59,E3,0.27
55.86,F3,0.27
56.13,F#3,0.27
56.39,C3,0.27
56.66,G#3,0.53
57.19,G#3,0.27
57.46,A2C#3G#3,0.27
57.72,E3,0.27
57.99,F3,0.27
58.25,F#3,0.27
58.52,A2,0.53
59.05,G#3,0.53
59.58,A#2C#3G#3,0.27
59.85,F3,0.27
60.12,F#3,0.27
60.38,F3,0.27
60.65,A#2,0.80
61.45,E3,0.27
61.71,B2D3G#3,0.27
61.98,E3,0.27
62.24,F3,0.27
62.51,F#3,0.27
62.78,B2,0.53
63.31,G#3,0.53
63.84,C3D3G#3,0.27
64.11,A3,0.27
64.37,G#3,0.53
64.90,C3G#3,0.27
65.17,F#3,0.53
65.70,F#3,0.27
65.97,A2C#3,1.06
67.03,A2,0.53
67.56,E3,0.27
67.83,D3,0.27
68.10,A#2C#3F#3,0.53
68.63,F#3,0.53
69.16,A#2F3,1.06
70.22,B2D3G#3,0.27
70.49,E3,0.27
70.76,F3,0.27
71.02,F#3,0.27
71.29,B2,0.27
71.55,A3,0.53
72.09,G#3,0.27
72.35,C3D3G#3,0.27
72.62,E3,0.27
72.88,F3,0.27
73.15,F#3,0.27
73.42,C3,0.27
73.68,G#3,0.53
74.21,G#3,0.27
74.48,A2C#3G#3,0.27
74.75,E3,0.27
75.01,F3,0.27
75.28,F#3,0.27
75.54,A2,0.53
76.08,G#3,0.53
76.61,A#2C#3G#3,0.27
76.87,F3,0.27
77.14,F#3,0.27
77.41,F3,0.27
77.67,A#2,0.80
78.47,E3,0.27
78.74,B2D3G#3,0.27
79.00,E3,0.27
79.27,F3,0.27
79.53,F#3,0.27
79.80,B2,0.53
80.33,G#3,0.53
80.86,C3D3G#3,0.27
81.13,A3,0.27
81.40,G#3,0.53
81.93,C3G#3,0.27
82.19,F#3,0.53
82.73,F#3,0.27
82.99,A2C#3,1.06
84.06,A2,1.06
85.12,A#2C#3F#3,0.53
85.65,F#3,0.53
86.18,A#2F3,0.53
86.72,E3,0.27
86.98,F3,0.27
87.25,B2D3E3,0.50
