# 坠落星空
# Converted from SkyStudio format
# BPM: 224
# Total chords: 203

Time,Keys,Duration
0.00,C#3,0.27
0.27,E3,0.27
0.53,F#3,0.27
0.80,E3,0.27
1.07,A3,0.53
1.60,G#3,0.27
1.87,E3,0.27
2.14,E3,0.27
2.40,C#3,0.27
2.67,E3,0.27
2.94,F#3,1.33
4.27,C#3,0.27
4.54,E3,0.27
4.81,F#3,0.27
5.07,E3,0.27
5.34,A3,0.53
5.87,G#3,0.27
6.14,E3,0.27
6.41,E3,0.27
6.67,C#3,0.27
6.94,E3,0.27
7.21,F3,1.33
8.54,C#3,0.27
8.81,E3,0.27
9.08,F#3,0.27
9.35,E3,0.27
9.61,A3,0.53
10.15,G#3,0.27
10.41,E3,0.27
10.68,E3,0.27
10.95,G#3,0.27
11.21,E3,0.27
11.48,F#3,1.33
12.82,C#3,0.27
13.08,E3,0.27
13.35,F#3,0.27
13.62,E3,0.27
13.88,A3,0.53
14.42,G#3,0.27
14.69,E3,0.27
14.95,E3,0.27
15.22,C#3,0.27
15.49,E3,0.27
15.75,F3,1.33
17.09,F#3,0.27
17.36,E3,0.27
17.62,D#3,0.27
17.89,E3,0.27
18.16,D#3,0.27
18.42,E3,0.27
18.69,D#3,0.27
18.96,E3,0.27
19.22,D#3,0.53
19.76,C#3,0.27
20.02,C#3,1.33
21.36,E3,0.27
21.63,E3,0.27
21.89,E3,0.27
22.16,E3,0.27
22.43,E3,0.27
22.70,F3,0.53
23.23,F3,0.53
23.76,F3,0.53
24.30,E3,0.27
24.56,D#3,0.53
25.10,E3,0.53
25.63,F#3,0.27
25.90,E3,0.27
26.17,D#3,0.27
26.43,E3,0.27
26.70,D#3,0.27
26.97,E3,0.27
27.23,D#3,0.27
27.50,E3,0.53
28.04,D#3,0.53
28.57,C#3,0.27
28.84,C#3,0.53
29.37,B2,0.53
29.90,E3,0.27
30.17,E3,0.27
30.44,E3,0.27
30.70,E3,0.27
30.97,E3,0.53
31.51,E3,0.27
31.77,E3,0.27
32.04,F3,0.53
32.57,F#3F3,0.53
33.11,F3,0.53
33.64,E3,0.53
34.18,E3,0.53
34.71,G#3,0.27
34.98,G#3,0.53
35.51,E3,0.80
36.31,E3,0.27
36.58,F3,0.53
37.11,F#3F3,0.80
37.91,E3F3,0.53
38.45,E3,0.27
38.72,F3,0.53
39.25,F#3F3,0.80
40.05,E3,0.53
40.58,E3,0.27
40.85,E3F3,0.53
41.38,F3,1.07
42.45,E3,0.27
42.72,E3,0.53
43.25,G#3,0.27
43.52,G#3,0.53
44.05,E3,0.53
44.59,E3,0.27
44.86,E3,0.27
45.12,F3,0.53
45.66,F#3F3,0.80
46.46,E3F3,0.53
46.99,E3,0.27
47.26,F3,0.53
47.79,F#3F3,0.80
48.59,E3,0.53
49.13,E3F3,4.00
53.13,F#3,0.27
53.40,F3,0.27
53.67,E3,0.53
54.20,E3,1.33
55.54,E3,0.27
55.80,D3,0.27
56.07,D#3,0.27
56.34,E3,0.53
56.87,G#3,0.80
57.67,G#3,0.27
57.94,E3,0.27
58.21,F3,0.27
58.47,F#3,0.53
59.01,G#3,0.53
59.54,G#3,0.27
59.81,G#3,0.27
60.08,E3,0.27
60.34,F3,0.27
60.61,F#3,0.53
61.14,G#3,0.80
61.94,G#3,0.27
62.21,F#3F3,0.53
62.74,F3,1.07
63.81,E3,0.27
64.08,G#3,0.27
64.35,E3,0.27
64.61,F3,0.27
64.88,F#3,0.53
65.42,G#3,0.80
66.22,A3G#3,0.53
66.75,G#3,0.53
67.28,G#3,0.27
67.55,F#3F3,0.53
68.08,F#3,1.33
69.42,E3,0.53
69.95,D3,0.53
70.49,F#3,0.53
71.02,F#3,0.53
71.56,F3,1.07
72.62,G#3,0.27
72.89,E3,0.27
73.16,F3,0.27
73.42,F#3,0.53
73.96,A3G#3,0.53
74.49,G#3,0.27
74.76,G#3,0.27
75.03,E3,0.27
75.29,F3,0.27
75.56,F#3,0.27
75.83,G#3,0.53
76.36,G#3,0.53
76.90,G#3,0.27
77.16,E3,0.27
77.43,F3,0.27
77.70,F#3,0.53
78.23,G#3,0.80
79.03,G#3,0.27
79.30,F#3F3,0.53
79.83,F3,1.07
80.90,E3,0.27
81.17,G#3,0.27
81.44,E3,0.27
81.70,F3,0.27
81.97,F#3,0.53
82.50,G#3,0.80
83.30,A3G#3,0.53
83.84,G#3,0.53
84.37,G#3,0.27
84.64,F#3F3,0.27
84.91,F#3,2.67
87.58,F#3,0.53
88.11,F#3,0.53
88.64,F3,0.53
89.18,E3,0.27
89.44,E3,3.20
92.65,F#3,0.27
92.92,F3,0.27
93.18,E3,0.53
93.72,E3,2.40
96.12,F#3,0.53
96.65,F#3,0.53
97.19,F3,0.53
97.72,E3,0.27
97.99,E3,0.50
