# 城南花已开(孟德)
# Converted from SkyStudio format
# BPM: 240
# Total chords: 205

Time,Keys,Duration
0.00,h,0.25
0.25,k,0.50
0.75,lo,0.50
1.25,;y,0.25
1.50,ho,0.75
2.25,lp,0.50
2.75,;u,0.25
3.00,hp,0.25
3.25,p,0.50
3.75,;y,0.25
4.00,p,0.25
4.25,y,0.25
4.50,u,0.25
4.75,i,0.50
5.25,h,0.25
5.50,k,0.50
6.00,lo,0.50
6.50,;y,0.25
6.75,ho,0.75
7.50,lp,0.50
8.00,;u,0.25
8.25,mp,0.25
8.50,i,0.50
9.00,,h,0.25
9.25,i,0.25
9.50,h,0.25
9.75,j,0.25
10.00,y,0.50
10.50,h,0.25
10.75,k,0.75
11.50,h,0.25
11.75,k,0.50
12.25,lo,0.50
12.75,;y,0.25
13.00,h,0.25
13.25,o,0.25
13.50,y,0.50
14.00,lp,0.50
14.50,;u,0.25
14.75,h,0.25
15.00,hp,0.25
15.25,mu,0.50
15.75,;y,0.25
16.00,p,0.25
16.25,uy,0.25
16.50,iy,0.50
17.00,h,0.25
17.25,k,0.50
17.75,lo,0.50
18.25,;y,0.25
18.50,h,0.25
18.75,ho,0.25
19.00,y,0.50
19.50,lp,0.50
20.00,;u,0.25
20.25,p,0.25
20.50,mp,0.25
20.75,lp,0.25
21.00,,k,0.25
21.25,;j,0.25
21.50,,h,0.25
21.75,jp,0.25
22.00,h,0.25
22.25,hy,0.75
23.00,io,0.25
23.25,k,0.25
23.50,h,0.25
23.75,iy,0.25
24.00,k,0.25
24.25,h,0.25
24.50,ij,0.25
24.75,k,0.25
25.00,hp,0.25
25.25,hi,0.25
25.50,ik,0.25
25.75,hi,0.25
26.00,ip,0.25
26.25,ik,0.25
26.50,jp,0.25
26.75,ip,0.25
27.00,ij,0.25
27.25,ik,0.25
27.50,jp,0.25
27.75,ip,0.25
28.00,hi,0.25
28.25,ik,0.25
28.50,jp,0.25
28.75,ip,0.25
29.00,ip,0.25
29.25,ik,0.25
29.50,jp,0.25
29.75,ip,0.25
30.00,io,0.25
30.25,ik,0.25
30.50,hp,0.25
30.75,iy,0.25
31.00,ik,0.25
31.25,hp,0.25
31.50,ij,0.25
31.75,ik,0.25
32.00,hp,0.25
32.25,ij,0.25
32.50,ik,0.25
32.75,hp,0.25
33.00,ip,0.25
33.25,ik,0.25
33.50,jp,0.25
33.75,ip,0.25
34.00,ij,0.25
34.25,ik,0.25
34.50,jp,0.25
34.75,ip,0.25
35.00,hi,0.25
35.25,ik,0.25
35.50,jp,0.25
35.75,ip,0.25
36.00,ip,0.25
36.25,ik,0.25
36.50,jp,0.25
36.75,ip,0.25
37.00,;ip,0.25
37.25,klo,0.25
37.50,;hop,0.50
38.00,;h,0.25
38.25,;hp,0.25
38.50,ik,0.25
38.75,ho,0.50
39.25,;p,0.25
39.50,ik,0.25
39.75,ho,0.50
40.25,;p,0.25
40.50,ik,0.25
40.75,ho,0.50
41.25,;p,0.25
41.50,ikl,0.25
41.75,;ho,0.75
42.50,;pu,0.25
42.75,km,0.25
43.00,;j,0.25
43.25,ip,0.25
43.50,;i,0.25
43.75,ik,0.25
44.00,jp,0.25
44.25,ip,0.25
44.50,;p,0.25
44.75,ik,0.25
45.00,jp,0.25
45.25,ip,0.25
45.50,;k,0.25
45.75,y,0.25
46.00,jl,0.25
46.25,ip,0.75
47.00,;ip,0.25
47.25,kl,0.25
47.50,;h,0.50
48.00,;p,0.25
48.25,ik,0.25
48.50,ho,0.50
49.00,;p,0.25
49.25,ik,0.25
49.50,ho,0.50
50.00,;p,0.25
50.25,ik,0.25
50.50,hk,0.25
50.75,ik,0.50
51.25,ik,0.25
51.50,ik,0.25
51.75,hk,0.25
52.00,.i,0.50
52.50,ky,0.25
52.75,,j,0.25
53.00,ip,0.50
53.50,.i,0.25
53.75,ik,0.25
54.00,,h,0.25
54.25,ip,0.25
54.50,;i,0.25
54.75,ik,0.25
55.00,jp,0.25
55.25,ip,0.25
55.50,;i,0.25
55.75,ik,0.25
56.00,jp,0.25
56.25,ip,0.25
56.50,;p,0.25
56.75,ik,0.25
57.00,jp,0.25
57.25,ip,0.50
57.75,;i,0.25
58.00,kl,0.25
58.25,hp,0.50
58.75,;p,0.25
59.00,ik,0.25
59.25,ho,0.50
59.75,;p,0.25
60.00,ik,0.25
60.25,hp,0.50
60.75,;p,0.25
61.00,ik,0.25
61.25,hp,0.25
61.50,lo,0.25
61.75,;i,0.25
62.00,kl,0.25
62.25,hi,0.25
62.50,ip,0.50
