# 城南花已开
# Converted from SkyStudio format
# BPM: 240
# Total chords: 65

Time,Keys,Duration
0.00,h,0.50
0.50,k,0.50
1.00,lo,0.50
1.50,;y,0.25
1.75,h,0.25
2.00,o,1.00
3.00,lp,0.50
3.50,;u,0.25
3.75,h,0.25
4.00,p,0.50
4.50,m,0.50
5.00,;y,0.50
5.50,p,0.50
6.00,k,0.50
6.50,l,0.50
7.00,;,1.00
8.00,h,0.50
8.50,k,0.50
9.00,lo,0.50
9.50,;y,0.25
9.75,h,0.25
10.00,o,1.00
11.00,lp,0.50
11.50,;u,0.25
11.75,p,0.25
12.00,u,0.50
12.50,i,0.50
13.00,hy,0.50
13.50,i,0.50
14.00,h,0.50
14.50,j,0.50
15.00,k,1.00
16.00,h,0.50
16.50,k,0.50
17.00,lo,0.50
17.50,;y,0.25
17.75,h,0.25
18.00,o,1.00
19.00,lp,0.50
19.50,;u,0.25
19.75,h,0.25
20.00,p,0.50
20.50,m,0.50
21.00,;y,0.50
21.50,p,0.50
22.00,k,0.50
22.50,l,0.50
23.00,;,1.00
24.00,h,0.50
24.50,k,0.50
25.00,lo,0.50
25.50,;y,0.25
25.75,h,0.25
26.00,o,1.00
27.00,lp,0.50
27.50,;u,0.25
27.75,p,0.25
28.00,u,0.50
28.50,i,0.50
29.00,ky,0.50
29.50,ij,0.50
30.00,hy,0.50
30.50,p,0.25
30.75,h,0.25
31.00,y,0.50
