# 处处吻-杨千嬅
# Converted from SkyStudio format
# BPM: 996
# Total chords: 251

Time,Keys,Duration
0.00,A2B2D3,0.48
0.48,F#3,0.24
0.72,B2,0.24
0.96,A2E3,0.24
1.20,B2,0.24
1.44,D3,0.24
1.68,D#3,0.24
1.92,A2C3E3,0.24
2.16,D#3,0.24
2.40,E3,0.24
2.64,D3,0.48
3.12,C3,0.24
3.36,B2,0.24
3.60,A#2,0.24
3.84,A#2C3D3,0.48
4.32,F#3,0.24
4.56,C3,0.24
4.80,A#2E3,0.24
5.04,C3,0.24
5.28,D3,0.24
5.52,D#3,0.24
5.76,A#2C#3E3,0.24
6.00,D#3,0.24
6.24,E3,0.24
6.48,D3,1.20
7.68,A2B2D3,0.48
8.16,C4E3,0.24
8.40,B2,0.24
8.64,C4D3E3,0.48
9.12,A3B2D3,0.24
9.36,C4E3,0.24
9.60,A2C3,0.24
9.84,C4E3,0.24
10.08,C4E3,0.24
10.32,C3F3,0.24
10.56,A2C4E3,0.24
10.80,C3,0.24
11.04,A3D3,0.48
11.52,A#2C#3,0.48
12.00,A#3D#3,0.24
12.24,C#3,0.24
12.48,A#2A#3D#3,0.48
12.96,F#3G#3,0.24
13.20,A#3D#3,0.24
13.44,B2C#3,0.24
13.68,A#3D#3,0.24
13.92,A#3D#3,0.24
14.16,C4E3,0.24
14.40,A#2A#3B2D#3,0.48
14.88,A3D3,0.48
15.36,A2B2D3,0.48
15.84,C4E3,0.24
16.08,B2,0.24
16.32,C4D3E3,0.48
16.80,A3B2D3,0.24
17.04,C4E3,0.24
17.28,A2C3,0.24
17.52,C4E3,0.24
17.76,C4E3,0.24
18.00,C3F3,0.24
18.24,A2C4E3,0.24
18.48,C3,0.24
18.72,A3D3,0.48
19.20,A#2C#3,0.48
19.68,A#3D#3,0.24
19.92,C#3,0.24
20.16,A#2A#3D#3,0.48
20.64,C#3F#3G#3,0.24
20.88,A#3D#3,0.24
21.12,B2C#3,0.24
21.36,A#3D#3,0.24
21.60,A#3D#3,0.24
21.84,C4E3,0.24
22.08,A#2A#3B2D#3,0.48
22.56,C4E3,0.24
22.80,A#3D#3,0.24
23.04,A2A3B2D3,0.48
23.52,B2D3,0.24
23.76,C4F#3,0.24
24.00,A#3F#3,0.24
24.24,C4F#3,0.24
24.48,A#3B2D3F#3,0.24
24.72,A3F#3,0.24
24.96,C3D3E3,0.48
25.44,C3D3,0.24
25.68,C4E3,0.24
25.92,A#3E3,0.24
26.16,C4E3,0.24
26.40,C3D3E3G#3,0.48
26.88,A3C#3D#3F3,0.24
27.12,A#3F3,0.24
27.36,A3F3,0.24
27.60,F3G#3,0.24
27.84,E3F#3,0.48
28.32,A3F3,0.24
28.56,A#3F3,0.24
28.80,A3B2C#3F3,0.24
29.04,F3G#3,0.24
29.28,E3F#3,0.24
29.52,F3,0.24
29.76,E3,0.24
30.00,A#2B2,0.72
30.72,A2C3,0.48
31.20,C3,0.24
31.44,E3,0.24
31.68,D#3,0.24
31.92,E3,0.24
32.16,A2D#3,0.24
32.40,E3,0.24
32.64,A#2C#3F3,0.48
33.12,C#3E3,0.24
33.36,D3,0.48
33.84,E3,0.24
34.08,A#2,0.48
34.56,A#2B2F#3,0.48
35.04,F#3,0.24
35.28,B2D#3F3,0.24
35.52,F#3,0.24
35.76,A#2B2,0.24
36.00,A#2B2F#3,0.48
36.48,F#3,0.24
36.72,B2D#3F3,0.24
36.96,F#3,0.24
37.20,A#2B2,0.24
37.44,F#3,0.24
37.68,F3,0.24
37.92,D#3F#3,0.24
38.16,B2F3,0.24
38.40,C#3F#3,0.24
38.64,B2F3,0.24
38.88,D#3F#3,0.24
39.12,B2,0.24
39.36,C#3E3,0.24
39.60,B2F3,0.12
39.72,A2,0.06
39.78,B2,0.06
39.84,D3F#3,0.48
40.32,B2F#3,0.24
40.56,F3,0.12
40.68,A2,0.06
40.74,B2,0.06
40.80,D3F#3,0.24
41.04,G#3,0.24
41.28,B2F#3,0.24
41.52,F3,0.12
41.64,A2,0.06
41.70,C3,0.06
41.76,D3F#3,0.48
42.24,C3F#3,0.24
42.48,F3,0.12
42.60,A2,0.06
42.66,C3,0.06
42.72,D3F#3,0.24
42.96,G#3,0.24
43.20,A3C3,0.24
43.44,G#3,0.12
43.56,A#2,0.06
43.62,C#3,0.06
43.68,D#3F3,0.48
44.16,C#3F3,0.24
44.40,E3,0.12
44.52,A#2,0.06
44.58,C#3,0.06
44.64,D#3F3,0.24
44.88,F#3,0.24
45.12,C#3F3,0.24
45.36,D3,0.12
45.48,B2,0.06
45.54,C#3,0.06
45.60,D#3F3,0.48
46.08,C#3F3,0.24
46.32,E3,0.12
46.44,B2,0.06
46.50,C#3,0.06
46.56,D#3F3,0.24
46.80,F#3,0.24
47.04,A#2B2F3,0.24
47.28,E3,0.12
47.40,A2,0.06
47.46,B2,0.06
47.52,D3,0.48
48.00,B2F#3,0.24
48.24,F3,0.12
48.36,A2,0.06
48.42,B2,0.06
48.48,D3F#3,0.24
48.72,G#3,0.24
48.96,B2F#3,0.24
49.20,F3,0.12
49.32,A2,0.06
49.38,C3,0.06
49.44,D3F#3,0.48
49.92,C3F#3,0.24
50.16,F3,0.12
50.28,A2,0.06
50.34,C3,0.06
50.40,D3F#3,0.24
50.64,G#3,0.24
50.88,A3C3,0.24
51.12,G#3,0.12
51.24,A#2,0.06
51.30,C#3,0.06
51.36,D#3F3,0.48
51.84,C#3F3,0.24
52.08,E3,0.12
52.20,A#2,0.06
52.26,C#3,0.06
52.32,D#3F3,0.24
52.56,F#3,0.24
52.80,C#3F3,0.24
53.04,E3,0.12
53.16,B2,0.06
53.22,C#3,0.06
53.28,D#3F3,0.48
53.76,C#3F3,0.24
54.00,E3,0.12
54.12,B2,0.06
54.18,C#3,0.06
54.24,D#3F3,0.24
54.48,F#3,0.24
54.72,A#2B2F3,0.24
54.96,E3,0.24
55.20,A2B2D3,0.24
55.44,D3,0.24
55.68,D#3,0.24
55.92,E3,0.24
56.16,D#3,0.24
56.40,D3,0.24
56.64,A2B2,0.24
56.88,D3,0.24
57.12,A2B2,0.24
57.36,D3,0.24
57.60,D#3,0.24
57.84,E3,0.24
58.08,D#3,0.24
58.32,A2B2D3,0.24
58.56,A2B2D3,0.48
59.04,A2C3D3,0.24
59.28,D3,0.24
59.52,D#3,0.24
