# 夏天的风GF
# Converted from SkyStudio format
# BPM: 220
# Total chords: 90

Time,Keys,Duration
0.54,F#3,0.27
0.82,G3,0.27
1.09,G#3,0.27
1.36,G#3,0.54
1.90,C3E3,0.54
2.45,E3,0.54
2.99,C#3D3,0.54
3.54,F3,0.54
4.08,C#3F#3,1.09
5.17,D#3,0.27
5.44,E3,0.27
5.71,F3,0.27
5.98,F3,0.54
6.53,C#3,0.54
7.07,B2D#3,0.54
7.62,C#3C3,0.54
8.16,F3,0.54
8.70,E3,1.09
9.79,F#3,0.27
10.06,G3,0.27
10.34,G#3,0.27
10.61,G#3,0.54
11.15,D3,0.54
11.70,D3E3,0.82
12.51,F3,0.27
12.78,F3,0.54
13.33,C#3D#3,0.54
13.87,B2C#3,1.09
14.96,A2G3,0.27
15.23,G3,0.27
15.50,F#3,0.27
15.78,F3,0.27
16.05,F#3,0.82
16.86,D3E3F#3,1.09
17.95,F#3,0.27
18.22,G3,0.27
18.50,G#3,0.27
18.77,G#3,0.54
19.31,C3E3,0.54
19.86,E3,0.54
20.40,D3,0.54
20.94,F3,0.54
21.49,C#3F#3,1.09
22.58,D#3F#3,0.27
22.85,E3,0.27
23.12,F3,0.27
23.39,F3,0.54
23.94,C#3,0.54
24.48,C3D#3,0.54
25.02,C#3D#3,0.54
25.57,D#3F3,0.54
26.11,D3E3,1.09
27.20,E3F#3,0.27
27.47,F3G3,0.27
27.74,G#3,0.27
28.02,G#3,0.54
28.56,A#2,0.54
29.10,D3E3,0.82
29.92,F3,0.27
30.19,F3,0.54
30.74,D#3,0.54
31.28,B2C#3,1.09
32.37,A2G3,0.27
32.64,G3,0.27
32.91,F#3,0.27
33.18,F3,0.27
33.46,E3F#3,1.09
34.54,D#3,0.27
34.82,E3,0.27
35.09,F3,0.27
35.36,F3,0.54
35.90,C3D3,0.54
36.45,D#3,0.54
36.99,C#3,0.54
37.54,F3,0.54
38.08,D3E3,1.09
39.17,F#3G#3,0.27
39.44,G3,0.27
39.71,F#3,0.27
39.98,F3,0.82
40.80,A#2,0.54
41.34,F#3,0.27
41.62,G3,0.54
42.16,G#3,0.27
42.43,F#3,0.27
42.70,E3,0.54
43.25,D#3,1.09
44.34,A2E3,1.09
45.42,G#3,1.09
46.51,C4G#3,0.50
