# 夏天的风
# Converted from SkyStudio format
# BPM: 220
# Total chords: 190

Time,Keys,Duration
0.27,;,0.27
0.54,l,0.27
0.82,k,0.27
1.09,h,0.27
1.36,lo,0.27
1.63,;,0.27
1.90,k,0.82
2.72,;,0.27
2.99,l,0.27
3.26,k,0.27
3.54,h,0.27
3.81,hl,0.27
4.08,;,0.27
4.35,k,0.82
5.17,;,0.27
5.44,l,0.27
5.71,k,0.27
5.98,h,0.27
6.26,lo,0.27
6.53,;,0.27
6.80,k,0.82
7.62,;,0.27
7.89,l,0.27
8.16,;,0.27
8.43,k,0.27
8.70,j,0.27
8.98,j,0.27
9.25,p,0.82
10.06,p,0.82
10.88,;,0.27
11.15,l,0.27
11.42,l,0.27
11.70,k,0.27
11.97,k,0.54
12.51,p,0.82
13.33,l,0.27
13.60,;,0.27
13.87,k,0.54
14.42,;,0.27
14.69,l,0.27
14.96,k,0.27
15.23,h,0.27
15.50,p,0.27
15.78,hl,0.27
16.05,;,0.27
16.32,m,0.82
17.14,;,0.27
17.41,l,0.27
17.68,k,0.27
17.95,h,0.27
18.22,p,0.27
18.50,lo,0.27
18.77,;,0.27
19.04,k,0.82
19.86,h,0.27
20.13,j,0.27
20.40,k,0.27
20.67,;,0.27
20.94,l,0.27
21.22,k,0.27
21.49,;,0.82
22.30,l,0.27
22.58,k,0.27
22.85,l,0.27
23.12,;,0.27
23.39,l,0.27
23.66,k,0.27
23.94,nu,0.27
24.21,m,0.27
24.48,m,0.27
24.75,;,0.27
25.02,l,0.82
25.84,;,0.27
26.11,l,0.27
26.38,k,0.27
26.66,j,0.27
26.93,k,0.27
27.20,im,0.27
27.47,l,0.27
27.74,;,0.27
28.02,k,0.27
28.29,h,0.27
28.56,k,0.82
29.38,p,0.27
29.65,h,0.27
29.92,k,0.27
30.19,m,0.54
30.74,;,0.27
31.01,;,0.27
31.28,l,0.82
32.10,k,0.27
32.37,k,0.27
32.64,,,0.54
33.18,m,0.27
33.46,m,0.27
33.73,m,0.27
34.00,l,0.27
34.27,l,0.27
34.54,k,0.27
34.82,l,1.63
36.45,;,0.27
36.72,n,0.27
36.99,m,0.27
37.26,m,0.54
37.81,ko,0.54
38.35,k,0.54
38.90,h,0.54
39.44,l,0.54
39.98,;p,1.09
41.07,j,0.27
41.34,k,0.27
41.62,l,0.27
41.89,l,0.54
42.43,p,0.54
42.98,ij,0.54
43.52,p,0.54
44.06,l,0.54
44.61,k,1.09
45.70,;,0.27
45.97,n,0.27
46.24,m,0.27
46.51,m,0.54
47.06,p,0.54
47.60,hk,0.82
48.42,l,0.27
48.69,l,0.54
49.23,j,0.54
49.78,p,1.09
50.86,ny,0.27
51.14,n,0.27
51.41,;,0.27
51.68,l,0.27
51.95,;,0.82
52.77,k,1.09
53.86,;,0.27
54.13,n,0.27
54.40,m,0.27
54.67,m,0.54
55.22,ko,0.54
55.76,k,0.54
56.30,h,0.54
56.85,l,0.54
57.39,;p,1.09
58.48,;j,0.27
58.75,k,0.27
59.02,l,0.27
59.30,l,0.54
59.84,p,0.54
60.38,jo,0.54
60.93,jp,0.54
61.47,jl,0.54
62.02,k,1.09
63.10,;,0.27
63.38,n,0.27
63.65,m,0.27
63.92,m,0.54
64.46,u,0.54
65.01,hk,0.82
65.82,l,0.27
66.10,l,0.54
66.64,j,0.54
67.18,p,1.09
68.27,ny,0.27
68.54,n,0.27
68.82,;,0.27
69.09,l,0.27
69.36,;,1.09
70.45,j,0.27
70.72,k,0.27
70.99,l,0.27
71.26,l,0.54
71.81,o,0.54
72.35,j,0.54
72.90,p,0.54
73.44,l,0.54
73.98,k,1.09
75.07,m,0.27
75.34,n,0.27
75.62,;,0.27
75.89,n,0.82
76.70,u,0.54
77.25,;,0.27
77.52,n,0.54
78.06,m,0.27
78.34,;,0.27
78.61,k,0.54
79.15,j,1.09
80.24,ky,1.09
81.33,m,1.09
82.42,/,0.50
