# 夜的钢琴曲(五)
# Converted from SkyStudio format
# BPM: 400
# Total chords: 677

Time,Keys,Duration
1.20,h,0.30
1.50,j,0.30
1.80,k,0.30
2.10,;,0.30
2.40,,o,0.30
2.70,y,0.30
3.00,p,0.30
3.30,h,0.30
3.60,hy,0.30
3.90,j,0.30
4.20,k,0.30
4.50,;,0.30
4.80,,p,0.30
5.10,u,0.30
5.40,h,0.30
5.70,j,0.30
6.00,lu,0.30
6.30,k,0.30
6.60,j,0.30
6.90,k,0.30
7.20,h,0.30
7.50,i,0.30
7.80,j,0.30
8.10,y,0.30
8.40,i,1.20
9.60,h,0.30
9.90,i,0.30
10.20,j,0.30
10.50,y,0.30
10.80,hi,0.30
11.10,j,0.30
11.40,k,0.30
11.70,;,0.30
12.00,,o,0.30
12.30,y,0.30
12.60,p,0.30
12.90,h,0.30
13.20,hy,0.30
13.50,j,0.30
13.80,k,0.30
14.10,;,0.30
14.40,,p,0.30
14.70,u,0.30
15.00,h,0.30
15.30,j,0.30
15.60,lu,0.30
15.90,k,0.30
16.20,j,0.30
16.50,k,0.30
16.80,h,0.30
17.10,i,0.30
17.40,j,0.30
17.70,y,0.30
18.00,i,1.20
19.20,h,0.30
19.50,i,0.30
19.80,j,0.30
20.10,y,0.30
20.40,i,0.30
20.70,p,0.30
21.00,hy,0.30
21.30,;,0.30
21.60,lo,0.30
21.90,y,0.30
22.20,p,0.30
22.50,;h,0.30
22.80,ly,0.30
23.10,;,0.30
23.40,lo,0.30
23.70,k,0.30
24.00,lp,0.30
24.30,u,0.30
24.60,p,0.30
24.90,j,0.30
25.20,lu,0.30
25.50,;j,0.30
25.80,mp,0.30
26.10,;,0.30
26.40,ip,0.30
26.70,j,0.30
27.00,i,0.30
27.30,ip,0.30
27.60,jp,0.30
27.90,i,0.30
28.20,ip,0.30
28.50,l,0.30
28.80,hk,0.30
29.10,u,0.30
29.40,p,0.30
29.70,h,0.30
30.00,hy,0.30
30.30,j,0.30
30.60,k,0.30
30.90,;,0.30
31.20,,o,0.30
31.50,y,0.30
31.80,p,0.30
32.10,;h,0.30
32.40,,;y,0.30
32.70,l,0.30
33.00,;o,0.30
33.30,l,0.30
33.60,.p,0.30
33.90,u,0.30
34.20,p,0.30
34.50,j,0.30
34.80,lu,0.30
35.10,k,0.30
35.40,j,0.30
35.70,k,0.30
36.00,h,0.30
36.30,i,0.30
36.60,j,0.30
36.90,y,0.30
37.20,i,1.20
38.40,h,0.30
38.70,i,0.30
39.00,j,0.30
39.30,y,0.30
39.60,hi,0.30
39.90,j,0.30
40.20,k,0.30
40.50,;,0.30
40.80,,o,0.30
41.10,y,0.30
41.40,p,0.30
41.70,h,0.30
42.00,hy,0.30
42.30,j,0.30
42.60,ko,0.30
42.90,;,0.30
43.20,,p,0.30
43.50,u,0.30
43.80,h,0.30
44.10,j,0.30
44.40,lu,0.30
44.70,k,0.30
45.00,j,0.30
45.30,k,0.30
45.60,h,0.30
45.90,i,0.30
46.20,j,0.30
46.50,y,0.30
46.80,i,0.30
47.10,j,0.30
47.40,y,0.30
47.70,i,0.30
48.00,hk,0.30
48.30,i,0.30
48.60,j,0.30
48.90,y,0.30
49.20,hi,0.30
49.50,j,0.30
49.80,ik,0.30
50.10,;,0.30
50.40,,o,0.30
50.70,y,0.30
51.00,p,0.30
51.30,h,0.30
51.60,hy,0.30
51.90,j,0.30
52.20,ko,0.30
52.50,;,0.30
52.80,,p,0.30
53.10,u,0.30
53.40,h,0.30
53.70,j,0.30
54.00,lu,0.30
54.30,k,0.30
54.60,j,0.30
54.90,k,0.30
55.20,h,0.30
55.50,i,0.30
55.80,j,0.30
56.10,y,0.30
56.40,i,0.30
56.70,j,0.30
57.00,y,0.30
57.30,i,0.30
57.60,hk,0.30
57.90,i,0.30
58.20,j,0.30
58.50,y,0.30
58.80,i,0.30
59.10,p,0.30
59.40,hj,0.30
59.70,;,0.30
60.00,lo,0.30
60.30,y,0.30
60.60,p,0.30
60.90,;h,0.30
61.20,ly,0.30
61.50,;,0.30
61.80,lo,0.30
62.10,k,0.30
62.40,lp,0.30
62.70,u,0.30
63.00,h,0.30
63.30,j,0.30
63.60,lu,0.30
63.90,;j,0.30
64.20,mp,0.30
64.50,;,0.30
64.80,ip,0.30
65.10,j,0.30
65.40,i,0.30
65.70,ip,0.30
66.00,jp,0.30
66.30,i,0.30
66.60,ip,0.30
66.90,l,0.30
67.20,hk,0.30
67.50,i,0.30
67.80,p,0.30
68.10,h,0.30
68.40,ky,0.30
68.70,l,0.30
69.00,;o,0.30
69.30,,,0.30
69.60,,o,0.30
69.90,y,0.30
70.20,p,0.30
70.50,;h,0.30
70.80,,;y,0.30
71.10,l,0.30
71.40,;o,0.30
71.70,l,0.30
72.00,.p,0.30
72.30,u,0.30
72.60,p,0.30
72.90,j,0.30
73.20,lu,0.30
73.50,k,0.30
73.80,j,0.30
74.10,k,0.30
74.40,h,0.30
74.70,i,0.30
75.00,j,0.30
75.30,y,0.30
75.60,i,0.30
75.90,j,0.30
76.20,y,0.30
76.50,i,0.30
76.80,hk,0.30
77.10,i,0.30
77.40,j,0.30
77.70,y,0.30
78.00,ky,0.30
78.30,lu,0.30
78.60,;ij,0.30
78.90,,h,0.30
79.20,,ho,0.30
79.50,y,0.30
79.80,p,0.30
80.10,h,0.30
80.40,ky,0.30
80.70,lu,0.30
81.00,;io,0.30
81.30,,h,0.30
81.60,,hp,0.30
81.90,u,0.30
82.20,h,0.30
82.50,j,0.30
82.80,kuy,0.30
83.10,lu,0.30
83.40,;ij,0.30
83.70,/k,0.30
84.00,,h,0.30
84.30,i,0.30
84.60,j,0.30
84.90,y,0.30
85.20,i,0.30
85.50,j,0.30
85.80,y,0.30
86.10,i,0.30
86.40,hk,0.30
86.70,i,0.30
87.00,j,0.30
87.30,y,0.30
87.60,k,0.30
87.90,l,0.30
88.20,;j,0.30
88.50,,k,0.30
88.80,,ko,0.30
89.10,y,0.30
89.40,p,0.30
89.70,h,0.30
90.00,ky,0.30
90.30,l,0.30
90.60,;o,0.30
90.90,,k,0.30
91.20,,kp,0.30
91.50,u,0.30
91.80,p,0.30
92.10,j,0.30
92.40,;hu,0.30
92.70,l,0.30
93.00,;j,0.30
93.30,m,0.30
93.60,;py,0.30
93.90,p,0.30
94.20,u,0.30
94.50,i,0.30
94.80,p,0.30
95.10,i,0.30
95.40,y,0.30
95.70,i,0.30
96.00,ly,0.30
96.30,i,0.30
96.60,;j,0.30
96.90,i,0.30
97.20,hy,0.30
97.50,jo,0.30
97.80,ky,0.30
98.10,;,0.30
98.40,,o,0.30
98.70,y,0.30
99.00,p,0.30
99.30,;h,0.30
99.60,;hy,0.30
99.90,l,0.30
100.20,;o,0.30
100.50,m,0.30
100.80,lp,0.30
101.10,u,0.30
101.40,h,0.30
101.70,j,0.30
102.00,lu,0.30
102.30,;j,0.30
102.60,mp,0.30
102.90,;,0.30
103.20,ip,0.30
103.50,j,0.30
103.80,i,0.30
104.10,ip,0.30
104.40,jp,0.30
104.70,i,0.30
105.00,ip,0.30
105.30,l,0.30
105.60,hk,0.30
