# 夜空中最亮的星
# Converted from SkyStudio format
# BPM: 224
# Total chords: 765

Time,Keys,Duration
1.07,A2,0.27
1.33,C#3,0.27
1.60,E3,0.27
1.87,C#3E3,0.53
2.40,E3,0.27
2.67,C#3,0.27
2.94,B2,0.27
3.20,A2,0.27
3.47,C#3,0.27
3.74,E3,0.27
4.00,C#3E3,0.53
4.54,E3,0.27
4.81,C#3,0.27
5.07,B2,0.27
5.34,A2,0.27
5.61,C#3,0.27
5.87,E3,0.27
6.14,C#3E3,0.53
6.67,E3,0.27
6.94,C#3,0.27
7.21,B2,0.27
7.48,A2,0.27
7.74,C#3,0.27
8.01,E3,0.27
8.28,C#3E3,0.53
8.81,E3,0.27
9.08,C#3,0.27
9.35,B2,0.27
9.61,A2F#3,0.27
9.88,C#3F3,0.27
10.15,E3F#3,0.27
10.41,C#3E3F3,0.27
10.68,F#3,0.27
10.95,E3G#3,0.27
11.21,C#3G#3,0.27
11.48,B2,0.27
11.75,A2,0.27
12.02,C#3,0.27
12.28,E3,0.27
12.55,C#3E3,0.53
13.08,E3,0.27
13.35,C#3,0.27
13.62,B2C#3,0.27
13.88,A2E3,0.27
14.15,B2,0.27
14.42,D3,0.27
14.69,B2D3F3,0.53
15.22,D3E3,0.27
15.49,B2,0.27
15.75,A2,0.27
16.02,A2,0.27
16.29,B2,0.27
16.55,D3,0.27
16.82,B2D3,0.53
17.36,D3,0.27
17.62,B2,0.27
17.89,A2E3,0.27
18.16,A2E3,0.27
18.42,C3F3,0.27
18.69,D3F#3,0.27
18.96,C3D3E3,0.53
19.49,D3,0.27
19.76,C3,0.27
20.02,A2E3,0.27
20.29,A2E3,0.27
20.56,C3F3,0.27
20.83,D3F#3,0.27
21.09,C3D3E3,0.53
21.63,D3,0.27
21.89,C3,0.27
22.16,A2C#3,0.27
22.43,B2F3,0.27
22.70,C#3,0.27
22.96,E3,0.27
23.23,C#3E3F#3,0.53
23.76,E3,0.27
24.03,C#3,0.27
24.30,B2,0.27
24.56,B2,0.27
24.83,C#3,0.27
25.10,E3,0.27
25.36,C#3E3,0.53
25.90,E3,0.27
26.17,C#3,0.27
26.43,B2C#3,0.27
26.70,A2F#3,0.27
26.97,C#3F3,0.27
27.23,E3F#3,0.27
27.50,C#3E3F3,0.27
27.77,F#3,0.27
28.04,E3G#3,0.27
28.30,C#3G#3,0.27
28.57,B2,0.27
28.84,A2,0.27
29.10,C#3,0.27
29.37,E3,0.27
29.64,C#3E3,0.53
30.17,E3,0.27
30.44,C#3,0.27
30.70,B2C#3,0.27
30.97,A2E3,0.27
31.24,B2,0.27
31.51,D3,0.27
31.77,B2D3F3,0.53
32.31,D3E3,0.27
32.57,B2,0.27
32.84,A2,0.27
33.11,A2,0.27
33.38,B2,0.27
33.64,D3,0.27
33.91,B2D3,0.53
34.44,D3,0.27
34.71,B2,0.27
34.98,A2E3,0.27
35.24,A2E3,0.27
35.51,C3F3,0.27
35.78,D3F#3,0.27
36.05,C3D3E3,0.53
36.58,D3,0.27
36.85,C3,0.27
37.11,A2E3,0.27
37.38,A2E3,0.27
37.65,C3F3,0.27
37.91,D3F#3,0.27
38.18,C3D3E3,0.53
38.72,D3,0.27
38.98,C3,0.27
39.25,A2C#3,0.27
39.52,B2G#3,0.27
39.78,C#3,0.27
40.05,E3,0.27
40.32,C#3E3F#3,0.53
40.85,E3,0.27
41.12,C#3G3,0.27
41.38,B2,0.27
41.65,B2G#3,0.27
41.92,C#3,0.27
42.19,E3,0.27
42.45,C#3E3,0.53
42.99,E3,0.27
43.25,C#3F#3,0.27
43.52,B2F3,0.27
43.79,B2D3E3,0.27
44.05,A2,0.27
44.32,B2D3E3,0.27
44.59,A2,0.27
44.86,B2D3E3,0.27
45.12,A2E3,0.27
45.39,B2D3,0.27
45.66,A2C#3,0.27
45.92,C3D3E3G#3,0.27
46.19,A2A3E3,0.27
46.46,C3D3,0.27
46.73,A2A3E3,0.27
46.99,C3D3,0.27
47.26,A2,0.27
47.53,C3D3E3,0.27
47.79,A2D#3F3,0.27
48.06,C#3E3F#3,0.27
48.33,B2E3G#3,0.27
48.59,C#3E3,0.27
48.86,B2E3G#3,0.27
49.13,C#3E3,0.27
49.40,B2,0.27
49.66,C#3E3,0.27
49.93,B2F3,0.27
50.20,C#3D#3,0.27
50.46,A#2,0.27
50.73,C#3D#3,0.27
51.00,A#2,0.27
51.26,C#3D#3,0.27
51.53,A#2,0.27
51.80,C#3D#3F#3,0.27
52.06,A#2E3,0.27
52.33,B2D3E3,0.27
52.60,A2,0.27
52.87,B2D3E3,0.27
53.13,A2,0.27
53.40,B2D3E3,0.27
53.67,A2E3,0.27
53.93,B2D3,0.27
54.20,A2C#3,0.27
54.47,C3D3E3G#3,0.27
54.73,A2A3E3,0.27
55.00,C3D3,0.27
55.27,A2A3E3,0.27
55.54,C3D3,0.27
55.80,A2,0.27
56.07,C3D3E3,0.27
56.34,A2F3,0.27
56.60,C#3E3F#3,0.27
56.87,B2E3G#3,0.27
57.14,C#3E3,0.27
57.41,B2E3G#3,0.27
57.67,C#3E3,0.27
57.94,B2,0.27
58.21,C#3E3F#3,0.27
58.47,B2F3,0.27
58.74,C#3D#3,0.27
59.01,A#2,0.27
59.27,C#3D#3,0.27
59.54,A#2,0.27
59.81,C#3D#3,0.27
60.08,A#2F3,0.27
60.34,C#3D#3F#3,0.27
60.61,A#2E3,0.27
60.88,B2D3E3,0.27
61.14,A2,0.27
61.41,B2D3E3,0.27
61.68,A2,0.27
61.94,B2D3E3,0.27
62.21,A2E3,0.27
62.48,B2D3,0.27
62.74,A2C#3,0.27
63.01,C3D3E3G#3,0.27
63.28,A2A3E3,0.27
63.55,C3D3,0.27
63.81,A2A3E3,0.27
64.08,C3D3,0.27
64.35,A2,0.27
64.61,C3D3E3,0.27
64.88,A2F3,0.27
65.15,C#3E3F#3,0.27
65.42,B2E3G#3,0.27
65.68,C#3E3,0.27
65.95,B2E3G#3,0.27
66.22,C#3E3,0.27
66.48,B2,0.27
66.75,C#3E3,0.27
67.02,B2F3,0.27
67.28,C#3D#3,0.27
67.55,A#2,0.27
67.82,C#3D#3,0.27
68.08,A#2,0.27
68.35,C#3D#3,0.27
68.62,A#2F3,0.27
68.89,C#3D#3F#3,0.27
69.15,A#2E3,0.27
69.42,B2D3E3,0.27
69.69,A2,0.27
69.95,B2D3E3,0.27
70.22,A2,0.27
70.49,B2D3E3,0.27
70.75,A2,0.27
71.02,B2D3,0.27
71.29,A2C#3,0.27
71.56,C3D3E3G#3,0.27
71.82,A2A3E3,0.27
72.09,C3D3,0.27
72.36,A2A3E3,0.27
72.62,C3D3,0.27
72.89,A2,0.27
73.16,C3D3E3,0.27
73.42,A2F3,0.27
73.69,C#3E3F#3,0.27
73.96,B2E3G#3,0.27
74.23,C#3E3,0.27
74.49,B2E3G#3,0.27
74.76,C#3E3,0.27
75.03,B2,0.27
75.29,C#3E3F#3,0.27
75.56,B2F3,0.27
75.83,C#3D#3,0.27
76.09,A#2,0.27
76.36,C#3D#3,0.27
76.63,A#2,0.27
76.90,C#3D#3,0.27
77.16,A#2F3,0.27
77.43,C#3D#3F#3,0.27
77.70,A#2E3,0.27
77.96,A2E3,0.27
78.23,C#3,0.27
78.50,E3F3,0.27
78.77,C#3E3,0.27
79.03,F#3,0.27
79.30,E3,0.27
79.57,C#3G#3,0.27
79.83,B2,0.27
80.10,A2E3,0.27
80.37,C#3,0.27
80.63,E3F3,0.27
80.90,C#3E3,0.27
81.17,F#3,0.27
81.44,E3,0.27
81.70,C#3E3,0.27
81.97,B2,0.27
82.24,A2E3,0.27
82.50,C#3,0.27
82.77,E3F3,0.27
83.04,C#3E3,0.27
83.30,F#3,0.27
83.57,E3,0.27
83.84,C#3G#3,0.27
84.11,B2,0.27
84.37,A2E3,0.27
84.64,C#3,0.27
84.91,E3F3,0.27
85.17,C#3E3,0.27
85.44,F#3,0.27
85.71,E3,0.27
85.97,C#3E3,0.27
86.24,B2,0.27
86.51,A2F#3,0.27
86.78,C#3F3,0.27
87.04,E3F#3,0.27
87.31,C#3E3F3,0.27
87.58,F#3,0.27
87.84,E3G#3,0.27
88.11,C#3G#3,0.27
88.38,B2,0.27
88.64,A2,0.27
88.91,C#3,0.27
89.18,E3,0.27
89.44,C#3E3,0.53
89.98,E3,0.27
90.25,C#3,0.27
90.51,B2C#3,0.27
90.78,A2E3,0.27
91.05,B2,0.27
91.31,D3,0.27
91.58,B2D3F3,0.53
92.11,D3E3,0.27
92.38,B2,0.27
92.65,A2,0.27
92.92,A2,0.27
93.18,B2,0.27
93.45,D3,0.27
93.72,B2D3,0.53
94.25,D3,0.27
94.52,B2,0.27
94.78,A2E3,0.27
95.05,A2E3,0.27
95.32,C3F3,0.27
95.59,D3F#3,0.27
95.85,C3D3E3,0.53
96.39,D3,0.27
96.65,C3,0.27
96.92,A2E3,0.27
97.19,A2E3,0.27
97.45,C3F3,0.27
97.72,D3F#3,0.27
97.99,C3D3E3,0.53
98.52,D3,0.27
98.79,C3,0.27
99.06,A2C#3,0.27
99.32,B2F3,0.27
99.59,C#3,0.27
99.86,E3,0.27
100.12,C#3E3F#3,0.53
100.66,E3,0.27
100.93,C#3,0.27
101.19,B2,0.27
101.46,B2,0.27
101.73,C#3,0.27
101.99,E3,0.27
102.26,C#3E3,0.53
102.80,E3,0.27
103.06,C#3,0.27
103.33,B2C#3,0.27
103.60,A2F#3,0.27
103.86,C#3F3,0.27
104.13,E3F#3,0.27
104.40,C#3E3F3,0.27
104.66,F#3,0.27
104.93,E3G#3,0.27
105.20,C#3G#3,0.27
105.47,B2,0.27
105.73,A2,0.27
106.00,C#3,0.27
106.27,E3,0.27
106.53,C#3E3,0.53
107.07,E3,0.27
107.33,C#3,0.27
107.60,B2C#3,0.27
107.87,A2E3,0.27
108.14,B2,0.27
108.40,D3,0.27
108.67,B2D3F3,0.53
109.20,D3E3,0.27
109.47,B2,0.27
109.74,A2,0.27
110.00,A2,0.27
110.27,B2,0.27
110.54,D3,0.27
110.81,B2D3,0.53
111.34,D3,0.27
111.61,B2,0.27
111.87,A2E3,0.27
112.14,A2E3,0.27
112.41,C3F3,0.27
112.67,D3F#3,0.27
112.94,C3D3E3,0.53
113.47,D3,0.27
113.74,C3,0.27
114.01,A2E3,0.27
114.28,A2E3,0.27
114.54,C3F3,0.27
114.81,D3F#3,0.27
115.08,C3D3E3,0.53
115.61,D3,0.27
115.88,C3,0.27
116.14,A2C#3,0.27
116.41,B2G#3,0.27
116.68,C#3,0.27
116.95,E3,0.27
117.21,C#3E3F#3,0.53
117.75,E3,0.27
118.01,C#3G3,0.27
118.28,B2,0.27
118.55,B2G#3,0.27
118.81,C#3,0.27
119.08,E3,0.27
119.35,C#3E3,0.53
119.88,E3,0.27
120.15,C#3F#3,0.27
120.42,B2F3,0.27
120.68,B2D3E3,0.27
120.95,A2,0.27
121.22,B2D3E3,0.27
121.48,A2,0.27
121.75,B2D3E3,0.27
122.02,A2E3,0.27
122.29,B2D3,0.27
122.55,A2C#3,0.27
122.82,C3D3E3G#3,0.27
123.09,A2A3E3,0.27
123.35,C3D3,0.27
123.62,A2A3E3,0.27
123.89,C3D3,0.27
124.16,A2,0.27
124.42,C3D3E3,0.27
124.69,A2D#3F3,0.27
124.96,C#3E3F#3,0.27
125.22,B2E3G#3,0.27
125.49,C#3E3,0.27
125.76,B2E3G#3,0.27
126.02,C#3E3,0.27
126.29,B2,0.27
126.56,C#3E3,0.27
126.83,B2F3,0.27
127.09,C#3D#3,0.27
127.36,A#2,0.27
127.63,C#3D#3,0.27
127.89,A#2,0.27
128.16,C#3D#3,0.27
128.43,A#2,0.27
128.69,C#3D#3F#3,0.27
128.96,A#2E3,0.27
129.23,B2D3E3,0.27
129.50,A2,0.27
129.76,B2D3E3,0.27
130.03,A2,0.27
130.30,B2D3E3,0.27
130.56,A2E3,0.27
130.83,B2D3,0.27
131.10,A2C#3,0.27
131.36,C3D3E3G#3,0.27
131.63,A2A3E3,0.27
131.90,C3D3,0.27
132.16,A2A3E3,0.27
