# 大悲咒
# Converted from SkyStudio format
# BPM: 151
# Total chords: 314

Time,Keys,Duration
0.00,k,0.79
0.79,l,0.40
1.19,l,0.40
1.59,l,0.79
2.38,l,0.79
3.18,k,0.40
3.57,;,0.40
3.97,;,0.40
4.37,m,0.40
4.76,;,0.40
5.16,;,0.40
5.56,;,0.40
5.96,l,0.40
6.35,k,0.79
7.15,k,0.79
7.94,;,0.40
8.34,l,0.40
8.73,l,0.79
9.53,l,0.40
9.93,l,0.40
10.32,k,0.40
10.72,h,0.40
11.12,h,0.79
11.91,l,0.40
12.31,l,0.40
12.70,l,0.40
13.10,l,0.40
13.50,;,0.40
13.89,;,0.40
14.29,;,0.40
14.69,m,0.40
15.09,;,0.40
15.48,l,0.40
15.88,k,0.40
16.28,k,0.40
16.67,k,0.40
17.07,k,0.40
17.47,;,0.40
17.86,l,0.40
18.26,l,0.79
19.06,l,0.40
19.45,l,0.40
19.85,l,0.79
20.64,k,0.40
21.04,h,0.40
21.44,h,0.40
21.84,h,0.40
22.23,h,0.79
23.03,l,0.40
23.42,l,0.40
23.82,l,0.40
24.22,l,0.40
24.61,l,0.79
25.41,l,0.40
25.80,;,0.40
26.20,;,0.40
26.60,m,0.40
27.00,;,0.40
27.39,l,0.40
27.79,k,0.79
28.58,k,0.40
28.98,l,0.40
29.38,;,0.40
29.77,l,0.40
30.17,l,0.79
30.97,l,0.79
31.76,l,0.40
32.16,l,0.40
32.55,;,0.40
32.95,;,0.40
33.35,l,0.40
33.74,l,0.40
34.14,l,0.40
34.54,l,0.40
34.94,k,0.40
35.33,h,0.40
35.73,h,0.79
36.52,l,0.40
36.92,l,0.40
37.32,l,0.79
38.11,l,0.79
38.91,l,0.79
39.70,l,0.40
40.10,l,0.40
40.49,;,0.40
40.89,;,0.40
41.29,;,0.40
41.69,m,0.40
42.08,;,0.40
42.48,l,0.40
42.88,k,0.40
43.27,k,0.40
43.67,k,0.40
44.07,k,0.40
44.46,;,0.40
44.86,;,0.40
45.26,l,0.40
45.66,l,0.40
46.05,l,0.79
46.85,l,0.40
47.24,l,0.40
47.64,k,0.40
48.04,h,0.40
48.43,h,0.79
49.23,l,0.40
49.62,l,0.40
50.02,l,0.40
50.42,l,0.40
50.82,k,0.79
51.61,k,0.79
52.40,;,0.40
52.80,l,0.40
53.20,l,0.79
53.99,l,0.40
54.39,l,0.40
54.79,l,0.40
55.18,;,0.40
55.58,l,0.40
55.98,k,0.40
56.37,h,0.79
57.17,l,0.40
57.56,l,0.40
57.96,l,0.40
58.36,l,0.40
58.76,k,0.40
59.15,l,0.40
59.55,l,0.79
60.34,l,0.40
60.74,;,0.40
61.14,m,0.40
61.53,;,0.40
61.93,;,0.40
62.33,l,0.40
62.73,k,0.40
63.12,k,0.40
63.52,k,0.40
63.92,l,0.40
64.31,;,0.40
64.71,l,0.40
65.11,l,0.40
65.50,l,0.40
65.90,l,0.79
66.70,l,0.40
67.09,l,0.40
67.49,;,0.79
68.28,l,0.79
69.08,l,0.40
69.47,l,0.40
69.87,k,0.40
70.27,h,0.40
70.67,h,0.79
71.46,l,0.40
71.86,l,0.40
72.25,l,0.40
72.65,l,0.40
73.05,l,0.40
73.44,l,0.40
73.84,l,0.40
74.24,l,0.40
74.64,;,0.79
75.43,;,0.79
76.22,;,0.40
76.62,m,0.40
77.02,;,0.40
77.42,l,0.40
77.81,k,0.40
78.21,k,0.40
78.61,k,0.40
79.00,k,0.40
79.40,;,0.40
79.80,l,0.40
80.19,l,0.79
80.99,l,0.40
81.39,l,0.40
81.78,l,0.79
82.58,k,0.40
82.97,h,0.40
83.37,h,0.79
84.16,l,0.40
84.56,l,0.40
84.96,l,0.40
85.36,l,0.40
85.75,l,0.40
86.15,l,0.40
86.55,;,0.40
86.94,m,0.79
87.74,;,0.40
88.13,;,0.40
88.53,;,0.40
88.93,l,0.40
89.33,k,0.40
89.72,k,0.40
90.12,k,0.40
90.52,k,0.40
90.91,;,0.40
91.31,l,0.40
91.71,l,0.79
92.50,l,0.40
92.90,l,0.40
93.30,l,0.40
93.69,l,0.40
94.09,k,0.40
94.49,h,0.40
94.88,h,0.79
95.68,l,0.40
96.07,l,0.40
96.47,l,0.40
96.87,;,0.40
97.27,;,0.40
97.66,m,0.40
98.06,;,0.40
98.46,l,0.40
98.85,;,0.40
99.25,l,0.40
99.65,;,0.79
100.44,;,0.40
100.84,;,0.40
101.23,;,0.40
101.63,l,0.40
102.03,k,0.40
102.43,k,0.40
102.82,k,0.79
103.62,;,0.40
104.01,l,0.40
104.41,;,0.40
104.81,;,0.40
105.20,l,0.40
105.60,l,0.40
106.00,l,0.40
106.40,l,0.40
106.79,k,0.40
107.19,h,0.40
107.59,h,0.79
108.38,l,0.79
109.17,l,0.40
109.57,l,0.40
109.97,l,0.40
110.37,l,0.40
110.76,l,0.40
111.16,l,0.40
111.56,;,0.40
111.95,;,0.40
112.35,;,0.79
113.14,;,0.40
113.54,m,0.40
113.94,;,0.40
114.34,l,0.40
114.73,;,0.40
115.13,;,0.40
115.53,;,0.79
116.32,;,0.40
116.72,l,0.40
117.11,k,0.79
117.91,l,0.40
118.31,;,0.40
118.70,;,0.40
119.10,m,0.40
