# 大鱼(简易)
# Converted from SkyStudio format
# BPM: 288
# Total chords: 233

Time,Keys,Duration
0.00,;oy,0.42
0.42,l,0.42
0.83,;,0.42
1.25,,,0.42
1.66,;pu,0.42
2.08,l,0.42
2.50,;,0.42
2.91,.,0.42
3.33,;hi,0.42
3.74,l,0.42
4.16,;,0.42
4.58,/,0.42
4.99,.,0.83
5.82,m,0.83
6.66,;oy,0.42
7.07,l,0.42
7.49,;,0.42
7.90,,,0.42
8.32,;pu,0.42
8.74,l,0.42
9.15,;,0.42
9.57,.,0.42
9.98,him,0.83
10.82,k,0.83
11.65,j,1.66
13.31,;oy,0.42
13.73,l,0.42
14.14,;,0.42
14.56,,,0.42
14.98,;pu,0.42
15.39,l,0.42
15.81,;,0.42
16.22,.,0.42
16.64,;hi,0.42
17.06,l,0.42
17.47,;,0.42
17.89,/,0.42
18.30,.,0.83
19.14,m,0.83
19.97,lu,0.42
20.38,;h,0.42
20.80,hu,0.83
21.63,il,0.42
22.05,;j,0.42
22.46,hi,0.42
22.88,p,0.42
23.30,h,0.42
23.71,i,0.42
24.13,h,0.42
24.54,i,0.42
24.96,y,0.42
25.38,i,0.42
25.79,h,0.42
26.21,i,0.42
26.62,ho,0.42
27.04,ky,0.42
27.46,ko,0.42
27.87,l,0.42
28.29,l,0.42
28.70,;,0.42
29.12,;,0.42
29.54,,,0.42
29.95,im,0.42
30.37,j,0.42
30.78,i,0.42
31.20,;,0.42
31.62,l,1.66
33.28,ho,0.42
33.70,ky,0.42
34.11,ko,0.42
34.53,l,0.42
34.94,l,0.42
35.36,;,0.42
35.78,;,0.83
36.61,hi,0.42
37.02,jp,0.42
37.44,i,2.50
39.94,ho,0.42
40.35,ky,0.42
40.77,ko,0.42
41.18,l,0.42
41.60,l,0.42
42.02,;,0.42
42.43,;,0.42
42.85,,,0.42
43.26,im,0.42
43.68,j,0.42
44.10,i,0.42
44.51,;,0.42
44.93,l,1.66
46.59,lu,0.42
47.01,;h,0.42
47.42,h,0.83
48.26,il,0.42
48.67,;j,0.42
49.09,hi,0.42
49.50,p,0.42
49.92,h,0.42
50.34,i,0.42
50.75,h,0.42
51.17,i,0.42
51.58,y,0.42
52.00,i,0.42
52.42,h,0.42
52.83,ik,0.42
53.25,lo,0.42
53.66,y,0.42
54.08,o,0.42
54.50,k,0.21
54.70,h,0.21
54.91,p,0.42
55.33,u,0.42
55.74,hp,0.42
56.16,k,0.42
56.58,hl,0.42
56.99,i,0.42
57.41,h,0.42
57.82,i,0.42
58.24,ky,0.42
58.66,;i,0.42
59.07,;h,0.42
59.49,im,0.42
59.90,,o,0.42
60.32,y,0.42
60.74,,o,0.42
61.15,m,0.42
61.57,;p,0.42
61.98,lu,0.42
62.40,kp,0.83
63.23,ly,0.42
63.65,p,0.42
64.06,y,0.42
64.48,;p,0.42
64.90,i,0.42
65.31,p,0.42
65.73,hy,0.42
66.14,kp,0.42
66.56,lo,0.42
66.98,y,0.42
67.39,o,0.42
67.81,k,0.21
68.02,h,0.21
68.22,p,0.42
68.64,u,0.42
69.06,hp,0.42
69.47,k,0.42
69.89,hl,0.42
70.30,i,0.42
70.72,hk,0.42
71.14,i,0.42
71.55,;y,0.42
71.97,i,0.42
72.38,h,0.42
72.80,i,0.42
73.22,lu,0.42
73.63,;h,0.42
74.05,h,0.83
74.88,il,0.42
75.30,;j,0.42
75.71,hi,0.42
76.13,p,0.42
76.54,h,0.42
76.96,i,0.42
77.38,h,0.42
77.79,i,0.42
78.21,y,0.42
78.62,i,0.42
79.04,;h,0.42
79.46,im,0.42
79.87,/o,0.42
80.29,y,0.42
80.70,o,0.42
81.12,.y,0.42
81.54,;p,0.42
81.95,u,0.42
82.37,;p,0.42
82.78,lu,0.42
83.20,hk,0.42
83.62,i,0.42
84.03,hk,0.42
84.45,il,0.42
84.86,;y,0.42
85.28,i,0.42
85.70,;h,0.42
86.11,il,0.42
86.53,ko,0.42
86.94,y,0.42
87.36,,o,0.42
87.78,/y,0.42
88.19,.p,0.42
88.61,,u,0.42
89.02,mp,0.42
89.44,lu,0.42
89.86,;h,0.42
90.27,i,0.42
90.69,h,0.42
91.10,i,0.42
91.52,y,0.42
91.94,i,0.42
92.35,;h,0.42
92.77,im,0.42
93.18,/o,0.42
93.60,y,0.42
94.02,o,0.42
94.43,.y,0.42
94.85,;p,0.42
95.26,u,0.42
95.68,;p,0.42
96.10,lu,0.42
96.51,hk,0.42
96.93,i,0.42
97.34,hk,0.42
97.76,il,0.42
98.18,;y,0.42
98.59,i,0.42
99.01,h,0.42
99.42,i,0.42
99.84,lu,0.42
100.26,;h,0.42
100.67,h,0.83
101.50,il,0.42
101.92,;j,0.42
102.34,hi,0.42
102.75,p,0.42
103.17,h,0.42
103.58,i,0.42
104.00,h,0.42
104.42,i,0.42
104.83,y,0.42
105.25,i,0.42
105.66,h,0.42
106.08,i,0.42
106.50,hiy,0.50
