# Untitle
# Converted from SkyStudio format
# BPM: 400
# Total chords: 609

Time,Keys,Duration
0.00,hiy,0.60
0.60,k,0.60
1.20,hlou,0.30
1.50,k,0.15
1.65,k,0.30
1.95,l,0.30
2.25,l,0.30
2.55,jpu,0.30
2.85,l,0.30
3.15,m,0.30
3.45,n,0.30
3.75,;py,0.15
3.90,l,0.30
4.20,;,0.15
4.35,;,0.60
4.95,;hiy,0.60
5.55,m,0.60
6.15,,houy,0.30
6.45,l,0.15
6.60,l,0.30
6.90,k,0.30
7.20,ijmpuy,0.40
7.60,m,0.40
8.00,;,0.40
8.40,m,0.40
8.80,hikmo,0.30
9.10,,,0.15
9.25,,,0.90
10.15,h,0.30
10.45,h,0.30
10.75,hy,0.30
11.05,y,0.30
11.35,hou,0.15
11.50,u,0.25
11.75,uy,0.15
11.90,uy,0.15
12.05,u,0.15
12.20,hu,0.30
12.50,jpu,0.30
12.80,pu,0.30
13.10,p,0.30
13.40,jo,0.30
13.70,iy,0.15
13.85,uy,0.25
14.10,iy,0.15
14.25,iy,0.30
14.55,j,0.30
14.85,hiy,0.30
15.15,h,0.30
15.45,hp,0.30
15.75,y,0.30
16.05,hou,0.15
16.20,u,0.25
16.45,u,0.15
16.60,u,0.15
16.75,h,0.30
17.05,y,0.30
17.35,jpu,0.30
17.65,jpu,0.30
17.95,ijpu,0.30
18.25,jpu,0.30
18.55,hip,0.15
18.70,h,0.30
19.00,hi,0.15
19.15,hip,0.60
19.75,ipy,0.60
20.35,k,0.30
20.65,p,0.15
20.80,p,0.15
20.95,p,0.70
21.65,k,0.30
21.95,jkpu,0.30
22.25,l,0.15
22.40,l,0.30
22.70,p,0.30
23.00,p,0.70
23.70,p,0.30
24.00,;hiy,0.30
24.30,n,0.15
24.45,n,0.30
24.75,;,0.30
25.05,ijlpu,0.30
25.35,k,0.15
25.50,k,0.30
25.80,l,0.30
26.10,;hioy,0.30
26.40,n,0.15
26.55,n,0.30
26.85,;,0.30
27.15,h,0.70
27.85,h,0.15
28.00,j,0.15
28.15,kpuy,0.30
28.45,k,0.15
28.60,k,0.30
28.90,j,0.30
29.20,jpu,0.40
29.60,k,0.15
29.75,l,0.15
29.90,npy,0.30
30.20,;,0.15
30.35,;,0.30
30.65,l,0.30
30.95,hkp,0.70
31.65,;,0.30
31.95,;hj,0.30
32.25,l,0.15
32.40,l,0.30
32.70,k,0.30
33.00,l,0.60
33.60,h,0.60
34.20,hiou,0.70
34.90,j,0.30
35.20,ijp,0.70
35.90,ipy,0.60
36.50,k,0.30
36.80,p,0.15
36.95,p,0.15
37.10,p,0.70
37.80,k,0.30
38.10,jkpu,0.30
38.40,l,0.15
38.55,l,0.30
38.85,p,0.30
39.15,p,0.60
39.75,p,0.30
40.05,p,0.30
40.35,;hiy,0.30
40.65,n,0.15
40.80,n,0.30
41.10,;,0.30
