# 天堂岛之歌
# Converted from SkyStudio format
# BPM: 175
# Total chords: 272

Time,Keys,Duration
1.37,E3,0.68
2.05,E3,0.68
2.74,E3,0.34
3.08,E3,0.34
3.42,E3,0.68
4.10,F#3,0.68
4.79,G#3,0.34
5.13,G#3,0.34
5.47,F#3,0.34
5.81,F#3,0.34
6.16,E3,0.68
6.84,F3,0.68
7.52,F3,0.68
8.21,F3,0.34
8.55,F3,0.34
8.89,F3,0.68
9.58,D#3,0.68
10.26,F3,0.34
10.60,F3,0.34
10.94,D#3,0.34
11.29,D#3,0.34
11.63,C#3,0.68
12.31,A2E3,0.68
13.00,B2E3,0.34
13.34,E3,0.34
13.68,C#3E3,0.68
14.36,B2E3,0.68
15.05,B2F#3,0.68
15.73,C#3G#3,0.34
16.07,G#3,0.34
16.42,E3F#3,0.68
17.10,C#3E3,0.68
17.78,A#2G#3,0.68
18.47,C#3,0.34
18.81,G3,0.34
19.15,D#3F#3,0.68
19.84,F3,0.68
20.52,A2B2E3,6.16
26.68,B2D3F#3,0.68
27.36,B2D3,0.68
28.04,A#2C#3,0.34
28.39,D3,0.34
28.73,A#2C#3D#3,0.34
29.07,F3,0.34
29.41,B2D3E3,0.68
30.10,B2D3,0.68
30.78,C#3D#3,0.34
31.12,E3,0.34
31.46,C#3D#3F3,0.34
31.81,G3,0.34
32.15,E3F#3,0.68
32.83,E3F#3,0.68
33.52,E3F#3,0.34
33.86,F3,0.34
34.20,E3F#3,0.34
34.54,G3,0.34
34.88,A3F#3,0.68
35.57,G3,0.68
36.25,E3F#3,0.68
36.94,F3,0.68
37.62,B2D3F#3,0.68
38.30,B2D3,0.68
38.99,A#2C#3,0.34
39.33,D3,0.34
39.67,A#2C#3D#3,0.34
40.01,F3,0.34
40.36,B2D3E3,0.68
41.04,B2D3,0.68
41.72,C#3D#3,0.34
42.07,E3,0.34
42.41,C#3D#3F3,0.34
42.75,G3,0.34
43.09,E3F#3,0.68
43.78,E3F#3,0.68
44.46,E3F#3,0.34
44.80,F3,0.34
45.14,E3F#3,0.34
45.49,G3,0.34
45.83,A3F#3,0.68
46.51,A3,0.68
47.20,A3F#3,0.68
47.88,A#3,0.68
48.56,A3C4D3,0.68
49.25,A3D3,0.34
49.59,A3,0.34
49.93,D3E3F#3,0.68
50.62,D3E3F#3,0.68
51.30,A#3D#3F#3,0.68
51.98,A3E3F#3,0.68
52.67,B2D3,0.68
53.35,B2D3,0.68
54.04,A3C4D3,0.68
54.72,A3D3,0.34
55.06,A3,0.34
55.40,D3E3F#3,0.68
56.09,C4D3E3F#3,0.68
56.77,A#3D#3F3,0.68
57.46,A3E3,0.68
58.14,D#3F#3,0.68
58.82,E3,0.68
59.51,A3C4D3,0.68
60.19,A3D3,0.34
60.53,A3,0.34
60.88,D3E3F#3,0.68
61.56,D3E3F#3,0.68
62.24,A#3D#3F#3,0.68
62.93,A3E3F#3,0.68
63.61,B2D3,0.68
64.30,B2D3,0.68
64.98,A3C4D3,0.68
65.66,A3D3,0.34
66.01,A3,0.34
66.35,D3E3F#3,0.68
67.03,B2C4F#3,0.68
67.72,A#2A#3F3,0.68
68.40,B2C4F#3,0.68
69.08,C3C4G3,0.68
69.77,B2C4F#3,2.39
72.16,D3E3F#3,0.34
72.50,B2,0.34
72.85,B2D3,0.34
73.19,B2,0.34
73.53,C#3,0.34
73.87,A#2D3,0.34
74.21,A#2C#3D#3,0.34
74.56,A#2F3,0.34
74.90,D3E3,0.34
75.24,B2,0.34
75.58,B2D3,0.34
75.92,B2,0.34
76.27,D#3,0.34
76.61,C#3E3,0.34
