# 天外来物(暴躁)
# Converted from SkyStudio format
# BPM: 298
# Total chords: 336

Time,Keys,Duration
1.61,C#3,0.40
2.01,A2C#3F3,0.40
2.41,B2E3,0.40
2.81,E3,0.40
3.22,B2E3,0.40
3.62,B2,0.40
4.02,B2,0.40
4.42,B2,0.40
4.82,D#3,0.40
5.23,E3,0.40
5.63,D#3,0.40
6.03,D#3,0.40
6.43,C#3,0.40
6.83,B2C#3,0.40
7.24,B2,0.40
7.64,B2,0.40
8.04,B2,0.40
8.44,B2,0.40
8.84,C#3,0.40
9.25,A2C#3F3,0.40
9.65,B2E3,0.40
10.05,E3,0.40
10.45,B2E3,0.40
10.85,B2,0.80
11.66,D#3,0.40
12.06,D#3,0.40
12.46,E3,0.40
12.86,F#3,0.40
13.27,F#3,0.40
13.67,D#3,0.40
14.07,D#3,0.80
14.87,C#3,0.40
15.28,B2,0.40
15.68,B2C3D3,0.40
16.08,D3,0.40
16.48,E3,0.40
16.88,D3E3,0.40
17.29,F#3,0.40
17.69,D3,0.40
18.09,F3,0.40
18.49,D3F3,0.80
19.30,D#3,0.40
19.70,D#3,0.40
20.10,E3,0.40
20.50,E3,0.40
20.90,F#3,0.40
21.31,E3,0.40
21.71,E3,0.40
22.11,B2,0.40
22.51,D3,0.40
22.91,A#2D3F#3,0.40
23.32,D3,0.40
23.72,E3,0.40
24.12,D3E3,0.40
24.52,D3,0.40
24.92,D3E3,0.40
25.33,D3,0.40
25.73,D3,0.40
26.13,D3,0.40
26.53,C#3,0.40
26.93,C#3,0.40
27.34,A#2C#3,1.61
28.94,C#3,0.40
29.35,A2F3,0.40
29.75,C#3E3,0.40
30.15,E3,0.40
30.55,A2E3,0.40
30.95,B2,0.40
31.36,C#3,0.40
31.76,D#3,0.40
32.16,E3,0.40
32.56,D#3,0.40
32.96,D#3,0.40
33.37,C#3,0.40
33.77,A#2C#3,0.40
34.17,B2,0.40
34.57,C#3,0.40
34.97,B2,0.40
35.38,C#3,0.40
35.78,A2F3,0.40
36.18,C#3E3,0.40
36.58,E3,0.40
36.98,A2E3,0.40
37.39,C#3,0.40
37.79,A2,0.40
38.19,D#3,0.40
38.59,E3,0.40
38.99,F#3,0.40
39.40,F#3,0.40
39.80,D#3,0.40
40.20,D#3,0.40
40.60,B2,0.40
41.00,F#3,0.40
41.41,C3F#3,0.40
41.81,A2,0.40
42.21,E3,0.40
42.61,D3E3,0.40
43.01,F#3,0.40
43.42,F3,0.40
43.82,A2F3,0.40
44.22,D#3,0.40
44.62,D#3,0.40
45.02,E3,0.40
45.43,E3,0.40
45.83,F#3,0.40
46.23,E3,0.40
46.63,E3,0.60
47.23,D3,0.40
47.64,D3,0.40
48.04,A#2F#3,0.40
48.44,D3,0.40
48.84,E3,0.40
49.24,A#2E3,0.40
49.65,D3,0.40
50.05,D3E3,0.40
50.45,D3,0.40
50.85,D3,0.40
51.26,E3,0.40
51.66,C#3F3,0.40
52.06,A#2,0.40
52.46,C#3,0.40
52.86,A#2,0.40
53.27,D3,0.40
53.67,C3F#3,0.40
54.07,A2E3,0.40
54.47,D3E3,0.40
54.87,D3,0.40
55.27,D3,0.40
55.68,E3,0.40
56.08,C#3E3,0.40
56.48,E3,0.40
56.88,E3,0.40
57.28,A#3,0.40
57.69,A#3,0.40
58.09,C4,0.40
58.49,A#3,0.40
58.89,G#3,0.40
59.30,G#3,0.40
59.70,A2G#3,0.40
60.10,F#3,0.40
60.50,F3,0.40
60.90,F3,0.40
61.30,F#3,0.40
61.71,G3,0.40
62.11,G3,0.40
62.51,F#3,0.80
63.31,C#3F#3,0.40
63.72,B2,0.40
64.12,C#3,0.40
64.52,E3,0.40
64.92,E3,0.40
65.33,A3,0.40
65.73,A3C3,0.40
66.13,A2G#3,0.40
66.53,D3G#3,0.40
66.93,F#3,0.40
67.33,F#3,0.40
67.74,C3F#3,0.40
68.14,E3,0.40
68.54,A2,0.40
68.94,D3,0.40
69.34,D3E3,0.40
69.75,F#3,0.40
70.15,E3,0.40
70.55,C3E3,0.40
70.95,A2,0.40
71.36,D3,0.40
71.76,B2C#3,0.60
72.36,E3,0.60
72.96,E3,0.40
73.36,A#3,0.40
73.77,A#3,0.40
74.17,C4,0.40
74.57,A#3,0.40
74.97,G#3,0.40
75.38,G#3,0.40
75.78,A2G#3,0.40
76.18,F#3,0.40
76.58,F3,0.40
76.98,F3,0.40
77.39,F#3,0.40
77.79,G3,0.40
78.19,G3,0.40
78.59,F#3,0.40
78.99,C#3F#3,0.40
79.39,B2,0.40
79.80,C#3,0.40
80.20,E3,0.40
80.60,E3,0.40
81.00,A3,0.40
81.41,A3C3,0.40
81.81,G#3,0.40
82.21,A2G#3,0.40
82.61,D3G#3,0.40
83.01,F#3,0.40
83.42,F#3,0.40
83.82,C3F#3,0.40
84.22,E3,0.40
84.62,A2,0.40
85.02,D3,0.40
85.42,D3E3,0.40
85.83,F#3,0.40
86.23,E3,0.40
86.63,C3E3,0.40
87.03,A2,0.40
87.44,D3,0.40
87.84,B2C#3,0.40
88.24,A#2A3,0.40
88.64,E3,0.40
89.04,A2,0.40
89.44,F#3,0.40
89.85,C#3F#3,0.40
90.25,A2E3,0.40
90.65,D3E3,0.40
91.05,D3,0.40
91.45,E3,0.40
91.86,A2E3,0.40
92.26,F#3,0.40
92.66,D3,0.40
93.06,F#3,0.40
93.47,C#3F#3,0.40
93.87,A2E3,0.40
94.27,E3,0.40
94.67,D3E3,0.40
95.07,D3,0.40
95.47,C#3F#3,0.40
95.88,A#2,0.40
96.28,F3,0.40
96.68,C#3E3,0.40
97.08,E3,0.40
97.48,A2E3,0.40
97.89,C#3,0.40
98.29,A2,0.40
98.69,B2,0.40
99.09,C#3,0.40
99.50,B2E3,0.40
99.90,E3,0.40
100.30,A#3,0.40
100.70,C4,0.40
101.10,A#3,0.40
101.50,G#3,0.40
101.91,G#3,0.40
102.31,G#3,0.40
102.71,A2G#3,0.40
103.11,F#3,0.40
103.52,F3,0.40
103.92,F3,0.40
104.32,F#3,0.40
104.72,G3,0.40
105.12,G3,0.40
105.53,F#3,0.40
105.93,C#3F#3,0.40
