# 失眠飞行 insomnia flight 烛子ikina
# Converted from SkyStudio format
# BPM: 720
# Total chords: 256

Time,Keys,Duration
0.66,E3,0.33
1.00,F3,0.33
1.33,D3E3F#3,0.25
1.58,F#3,0.08
1.66,F#3,0.17
1.83,D3E3,0.08
1.91,G3,0.08
1.99,F#3,0.33
2.32,C3E3,1.00
3.32,C3E3,0.33
3.65,C3E3,0.33
3.98,C#3E3F3,0.25
4.23,F3,0.08
4.32,F3,0.17
4.48,C#3,0.08
4.57,E3,0.08
4.65,G3,0.33
4.98,A2E3F#3,1.00
5.98,A2E3,0.33
6.31,A2E3F3,0.33
6.64,D3E3F#3,0.25
6.89,F#3,0.08
6.97,F#3,0.17
7.14,D3E3,0.08
7.22,G3,0.08
7.30,F#3,0.33
7.64,C3E3,1.00
8.63,C3E3,0.33
8.96,C3E3,0.33
9.30,C#3F3,0.25
9.54,F3,0.08
9.63,F3,0.17
9.79,C#3,0.08
9.88,E3,0.08
9.96,E3,0.33
10.29,A2C#3E3,1.49
11.79,C#3,0.17
11.95,B2D3E3,0.33
12.28,C#3,0.17
12.45,C#3,0.17
12.62,B2D3E3,0.33
12.95,C#3,0.17
13.11,C#3,0.17
13.28,A2C3E3,0.33
13.61,C#3,0.33
13.94,A2C3,0.33
14.28,A2C3,0.17
14.44,C#3,0.17
14.61,A#2C#3E3,0.33
14.94,C#3,0.17
15.11,C#3,0.17
15.27,A#2C#3E3,0.33
15.60,C#3,0.17
15.77,C#3,0.17
15.94,A2C#3E3,0.33
16.27,C#3,0.33
16.60,A2C#3E3,0.33
16.93,A2C#3F3,0.33
17.26,D3E3F#3,0.25
17.51,F#3,0.08
17.60,F#3,0.17
17.76,D3E3,0.08
17.84,G3,0.08
17.93,F#3,0.33
18.26,C3E3,1.00
19.26,C3E3,0.33
19.59,C3E3,0.33
19.92,C#3E3F3,0.25
20.17,F3,0.08
20.25,F3,0.17
20.42,C#3,0.08
20.50,E3,0.08
20.58,F#3,0.33
20.92,A2E3,1.00
21.91,C#3E3,0.33
22.24,C#3E3,0.33
22.58,B2C#3,0.25
22.82,E3,0.08
22.91,G#3,0.17
23.07,B2C#3,0.08
23.16,F3,0.08
23.24,F3,0.25
23.49,F3,0.08
23.57,B2C#3F3,0.25
23.82,E3,0.08
23.90,A2C3E3,0.33
24.24,E3,0.17
24.40,A2C3E3,0.17
24.57,E3,0.25
24.82,E3,0.08
24.90,A2C3E3,0.33
25.23,A#2C#3,0.25
25.48,E3,0.08
25.56,F3,0.17
25.73,A#2C#3,0.08
25.81,E3,0.08
25.90,F3,0.25
26.14,E3,0.08
26.23,A#2C#3F3,0.25
26.48,E3,0.08
26.56,A2C#3E3,0.33
26.89,E3,0.17
27.06,A2C#3,0.08
27.14,E3,0.33
27.47,E3,0.08
27.56,A2C#3D3,0.25
27.80,C#3,0.08
27.89,B2C#3,0.25
28.14,E3,0.08
28.22,G#3,0.17
28.39,B2C#3,0.08
