# 失语症
# Converted from SkyStudio format
# BPM: 490
# Total chords: 355

Time,Keys,Duration
0.00,oy,0.24
0.24,p,0.24
0.49,j,0.24
0.73,k,0.24
0.98,m,0.98
1.95,pu,0.24
2.20,j,0.24
2.44,k,0.24
2.68,l,0.24
2.93,m,0.98
3.90,hi,0.24
4.15,j,0.24
4.39,k,0.24
4.64,l,0.24
4.88,m,0.98
5.86,hu,0.24
6.10,j,0.24
6.34,k,0.24
6.59,l,0.24
6.83,my,0.24
7.08,n,0.24
7.32,;,0.24
7.56,l,0.24
7.81,oy,0.24
8.05,p,0.24
8.30,jy,0.24
8.54,k,0.24
8.78,my,0.49
9.27,y,0.49
9.76,pu,0.24
10.00,j,0.24
10.25,ku,0.24
10.49,l,0.24
10.74,mu,0.49
11.22,u,0.49
11.71,hiy,0.24
11.96,j,0.24
12.20,iky,0.24
12.44,l,0.24
12.69,imy,0.49
13.18,iy,0.49
13.66,pu,0.24
13.91,j,0.24
14.15,ku,0.24
14.40,p,0.24
14.64,u,0.24
14.88,j,0.24
15.13,ku,0.24
15.37,p,0.24
15.62,oy,0.24
15.86,p,0.24
16.10,jy,0.24
16.35,ky,0.24
16.59,my,0.49
17.08,y,0.49
17.57,pu,0.24
17.81,j,0.24
18.06,ku,0.24
18.30,lu,0.24
18.54,mu,0.49
19.03,u,0.49
19.52,hiy,0.24
19.76,j,0.24
20.01,iky,0.24
20.25,il,0.24
20.50,imy,0.49
20.98,iy,0.49
21.47,hu,0.24
21.72,j,0.24
21.96,ku,0.24
22.20,l,0.24
22.45,mu,0.24
22.69,nu,0.24
22.94,;u,0.24
23.18,l,0.24
23.42,oy,0.24
23.67,p,0.24
23.91,jpy,0.24
24.16,kp,0.24
24.40,mpy,0.24
24.64,p,0.24
24.89,y,0.24
25.13,u,0.24
25.38,pu,0.24
25.62,jy,0.24
25.86,ku,0.24
26.11,lu,0.24
26.35,mu,0.24
26.60,u,0.24
26.84,hu,0.24
27.08,y,0.24
27.33,hiy,0.24
27.57,jy,0.24
27.82,iky,0.24
28.06,ly,0.24
28.30,imy,0.24
28.55,y,0.24
28.79,iy,0.24
29.04,y,0.24
29.28,pu,0.24
29.52,jy,0.24
29.77,kuy,0.24
30.01,py,0.24
30.26,uy,0.24
30.50,jy,0.24
30.74,kuy,0.24
30.99,py,0.24
31.23,opy,0.24
31.48,p,0.24
31.72,jy,0.24
31.96,kp,0.24
32.21,mpy,0.24
32.45,y,0.24
32.70,y,0.24
32.94,u,0.24
33.18,puy,0.24
33.43,ju,0.24
33.67,kuy,0.24
33.92,lu,0.24
34.16,muy,0.24
34.40,u,0.24
34.65,uy,0.24
34.89,u,0.24
35.14,hiy,0.12
35.26,i,0.12
35.38,ijy,0.12
35.50,i,0.12
35.62,iky,0.12
35.75,i,0.12
35.87,ily,0.12
35.99,i,0.12
36.11,imy,0.12
36.23,i,0.12
36.36,iy,0.12
36.48,i,0.12
36.60,iy,0.12
36.72,i,0.12
36.84,iy,0.24
37.09,ipy,0.24
37.33,j,0.24
37.58,ky,0.24
37.82,p,0.49
38.31,j,0.24
38.55,ky,0.24
38.80,p,0.24
39.04,lmpu,0.49
39.53,lmpu,0.49
40.02,lmpu,0.49
40.50,ky,0.24
40.75,lu,0.49
41.24,lpu,0.24
41.48,lu,0.24
41.72,lpu,0.24
41.97,lu,0.24
42.21,lpu,0.24
42.46,h,0.24
42.70,ky,0.24
42.94,lmpu,0.49
43.43,lmpu,0.49
43.92,lmpu,0.49
44.41,ky,0.24
44.65,lu,0.49
45.14,lpu,0.24
45.38,lu,0.24
45.63,lpu,0.24
45.87,lu,0.24
46.12,;hi,0.24
46.36,;i,0.24
46.60,;hi,0.24
46.85,lmpu,0.49
47.34,lmpu,0.49
47.82,lmpu,0.49
48.31,ky,0.24
48.56,lu,0.49
49.04,lpu,0.24
49.29,lu,0.24
49.53,lpu,0.24
49.78,lu,0.24
50.02,lpu,0.24
50.26,h,0.24
50.51,k,0.24
