# 奇妙能力歌
# Converted from SkyStudio format
# BPM: 240
# Total chords: 342

Time,Keys,Duration
0.75,o,0.50
1.25,h,0.50
1.75,hn,0.50
2.25,h,0.25
2.50,k,0.25
2.75,p,0.50
3.25,j,0.50
3.75,jm,0.50
4.25,j,0.25
4.50,l,0.25
4.75,i,0.50
5.25,p,0.50
5.75,km,0.50
6.25,p,0.25
6.50,j,0.25
6.75,h,0.50
7.25,k,0.50
7.75,,;,0.50
8.25,k,0.25
8.50,;,0.25
8.75,o,0.50
9.25,h,0.50
9.75,hn,0.50
10.25,h,0.25
10.50,k,0.25
10.75,p,0.50
11.25,j,0.50
11.75,jm,0.50
12.25,j,0.25
12.50,l,0.25
12.75,h,0.50
13.25,k,0.50
13.75,/m,0.50
14.25,k,0.50
14.75,;,1.00
15.75,h,0.50
16.25,k,0.50
16.75,o,0.25
17.00,h,0.25
17.25,ky,0.25
17.50,h,0.25
17.75,koy,0.50
18.25,o,0.25
18.50,hy,0.25
18.75,kp,0.25
19.00,k,0.25
19.25,u,0.25
19.50,l,0.25
19.75,pu,0.50
20.25,p,0.25
20.50,u,0.25
20.75,p,0.25
21.00,j,0.25
21.25,ij,0.25
21.50,j,0.25
21.75,ijp,0.50
22.25,p,0.25
22.50,ip,0.25
22.75,hj,0.25
23.00,k,0.25
23.25,i,0.25
23.50,h,0.25
23.75,i,0.50
24.25,h,0.25
24.50,i,0.25
24.75,o,0.25
25.00,k,0.25
25.25,ky,0.25
25.50,k,0.25
25.75,koy,0.50
26.25,o,0.25
26.50,ky,0.25
26.75,kp,0.25
27.00,l,0.25
27.25,u,0.25
27.50,l,0.25
27.75,pu,0.50
28.25,lp,0.25
28.50,u,0.25
28.75,lp,0.25
29.00,k,0.25
29.25,i,0.25
29.50,;,0.25
29.75,ip,0.50
30.25,y,0.50
30.75,i,1.00
31.75,h,0.50
32.25,k,0.50
32.75,o,0.25
33.00,h,0.25
33.25,ky,0.25
33.50,h,0.25
33.75,koy,0.50
34.25,o,0.25
34.50,hy,0.25
34.75,kp,0.25
35.00,k,0.25
35.25,u,0.25
35.50,l,0.25
35.75,pu,0.50
36.25,p,0.25
36.50,u,0.25
