# 奏之曲
# Converted from SkyStudio format
# BPM: 240
# Total chords: 271

Time,Keys,Duration
0.00,;,0.50
0.50,l,0.50
1.00,;,0.50
1.50,,,0.50
2.00,;,0.50
2.50,l,0.50
3.00,;,0.50
3.50,,,0.50
4.00,;,0.50
4.50,l,0.50
5.00,;,0.50
5.50,,,0.50
6.00,;,0.50
6.50,l,0.50
7.00,j,0.50
7.50,p,0.50
8.00,;,0.50
8.50,l,0.50
9.00,;,0.50
9.50,,,0.50
10.00,;,0.50
10.50,l,0.50
11.00,;,0.50
11.50,,,0.50
12.00,.,1.00
13.00,m,2.00
15.00,h,0.50
15.50,j,0.50
16.00,k,1.00
17.00,;,1.00
18.00,l,1.00
19.00,k,0.50
19.50,j,0.50
20.00,h,0.50
20.50,j,0.50
21.00,k,0.50
21.50,j,0.50
22.00,h,0.50
22.50,p,0.50
23.00,h,1.50
24.50,;,0.50
25.00,;,0.50
25.50,;,0.50
26.00,;,1.00
27.00,k,0.50
27.50,l,0.50
28.00,;,0.50
28.50,l,0.50
29.00,;,0.50
29.50,m,0.50
30.00,n,0.50
30.50,;,0.50
31.00,;,1.00
32.00,k,0.50
32.50,;,0.50
33.00,l,2.00
35.00,k,0.50
35.50,;,0.50
36.00,j,1.00
37.00,p,2.00
39.00,h,0.50
39.50,j,0.50
40.00,k,1.00
41.00,;,1.00
42.00,l,1.00
43.00,k,0.50
43.50,j,0.50
44.00,h,0.50
44.50,j,0.50
45.00,k,0.50
45.50,j,0.50
46.00,h,0.50
46.50,p,0.50
47.00,h,1.50
48.50,;,0.50
49.00,;,0.50
49.50,;,0.50
50.00,;,1.00
51.00,k,0.50
51.50,l,0.50
52.00,;,0.50
52.50,l,0.50
53.00,;,0.50
53.50,m,0.50
54.00,n,0.50
54.50,;,0.50
55.00,;,1.00
56.00,k,0.50
56.50,;,0.50
57.00,l,2.00
59.00,k,0.50
59.50,;,0.50
60.00,l,1.00
61.00,m,3.50
64.50,n,0.50
65.00,n,0.50
65.50,n,0.50
66.00,l,0.50
66.50,;,0.50
67.00,n,0.50
67.50,n,0.50
68.00,;,0.50
68.50,n,0.50
69.00,;,0.50
69.50,l,0.50
70.00,k,0.50
70.50,h,0.50
71.00,h,1.50
72.50,n,0.50
73.00,n,0.50
73.50,n,0.50
74.00,l,0.50
74.50,;,0.50
75.00,n,1.00
76.00,;,0.50
76.50,n,0.50
77.00,;,0.50
77.50,l,0.50
78.00,k,0.50
78.50,l,0.50
79.00,;,1.50
80.50,;,0.50
81.00,;,0.50
81.50,;,0.50
82.00,k,0.50
82.50,l,0.50
83.00,;,1.00
84.00,l,0.50
84.50,;,0.50
85.00,l,0.50
85.50,k,0.50
86.00,j,2.00
88.00,k,0.50
88.50,l,0.50
89.00,k,3.00
92.00,k,0.50
92.50,l,0.50
93.00,k,0.50
93.50,k,0.50
94.00,k,2.00
96.00,k,0.50
96.50,l,0.50
97.00,;,0.50
97.50,l,0.50
98.00,l,0.50
98.50,l,0.50
99.00,k,1.00
100.00,j,3.00
103.00,h,0.50
103.50,j,0.50
104.00,k,1.00
105.00,;,1.00
106.00,l,0.50
106.50,l,0.50
107.00,m,1.00
108.00,n,0.50
108.50,;,0.50
109.00,l,1.00
110.00,;,1.00
111.00,h,0.50
111.50,j,0.50
112.00,k,1.00
113.00,;,1.00
114.00,l,1.00
115.00,k,0.50
115.50,j,0.50
116.00,k,0.50
116.50,j,0.50
117.00,h,2.00
119.00,h,0.50
119.50,j,0.50
120.00,k,1.00
121.00,;,1.00
122.00,l,1.00
123.00,m,1.00
124.00,,,0.50
124.50,m,0.50
125.00,,,3.00
128.00,;,0.50
128.50,l,0.50
129.00,;,0.50
129.50,,,0.50
130.00,;,0.50
130.50,l,0.50
131.00,;,0.50
131.50,,,0.50
132.00,;,0.50
132.50,l,0.50
133.00,;,0.50
133.50,,,0.50
134.00,;,0.50
134.50,l,0.50
135.00,j,0.50
135.50,p,0.50
136.00,;,0.50
136.50,l,0.50
137.00,;,0.50
137.50,,,0.50
138.00,;,0.50
138.50,l,0.50
139.00,;,0.50
139.50,,,0.50
140.00,m,0.50
140.50,,,0.50
141.00,.,0.50
141.50,,,0.50
142.00,m,2.00
144.00,;,0.50
144.50,l,0.50
145.00,;,0.50
145.50,,,0.50
146.00,;,0.50
146.50,l,0.50
147.00,;,0.50
147.50,,,0.50
148.00,l,0.50
148.50,k,0.50
149.00,l,0.50
149.50,n,0.50
150.00,l,0.50
150.50,k,0.50
151.00,j,0.50
151.50,o,0.50
152.00,p,4.00
156.00,p,3.00
159.00,h,0.50
159.50,j,0.50
160.00,k,1.00
161.00,;,1.00
162.00,l,0.50
162.50,l,0.50
163.00,m,1.00
164.00,n,0.50
164.50,;,0.50
165.00,l,1.00
166.00,;,1.00
167.00,h,0.50
167.50,j,0.50
168.00,k,1.00
169.00,;,1.00
170.00,l,1.00
171.00,k,0.50
171.50,j,0.50
172.00,k,0.50
172.50,j,0.50
173.00,h,2.00
175.00,h,0.50
175.50,j,0.50
176.00,k,1.00
177.00,;,1.00
178.00,l,0.50
178.50,l,0.50
179.00,m,1.00
180.00,n,0.50
180.50,;,0.50
181.00,l,1.00
182.00,;,1.00
183.00,h,0.50
183.50,j,0.50
184.00,k,1.00
185.00,;,1.00
186.00,l,1.00
187.00,m,1.00
188.00,,,0.50
188.50,m,0.50
189.00,,,3.00
192.00,;,0.50
192.50,l,0.50
193.00,;,0.50
193.50,,,0.50
194.00,,,0.50
