# 她说
# Converted from SkyStudio format
# BPM: 318
# Total chords: 187

Time,Keys,Duration
0.75,E3,0.38
1.13,E3,0.38
1.50,D#3,0.38
1.88,D#3,0.38
2.26,C#3,0.38
2.63,E3,0.38
3.01,D3,3.01
6.02,E3,0.38
6.39,E3,0.38
6.77,D#3,0.38
7.14,D#3,0.38
7.52,C#3,0.38
7.90,E3,0.38
8.27,C#3,3.01
11.28,E3,0.38
11.66,E3,0.38
12.03,D#3,0.38
12.41,D#3,0.38
12.78,E3,0.38
13.16,F3,0.38
13.54,F3,3.01
16.54,E3,0.38
16.92,E3,0.38
17.30,D#3,0.38
17.67,D#3,0.38
18.05,E3,0.38
18.42,F3,0.38
18.80,F3,1.13
19.93,E3,0.38
20.30,F#3,2.26
22.56,E3,0.38
22.94,E3,0.38
23.31,F3,0.38
23.69,E3,0.38
24.06,F3,0.38
24.44,E3,0.38
24.82,A3,3.76
28.58,E3,0.38
28.95,E3,0.38
29.33,F3,0.38
29.70,E3,0.38
30.08,F3,0.38
30.46,E3,0.38
30.83,G#3,2.26
33.09,F#3,0.38
33.46,F3,0.38
33.84,E3,1.50
35.34,E3,0.38
35.72,E3,0.38
36.10,E3,0.38
36.47,F3,0.38
36.85,F3,3.01
39.86,E3,0.38
40.23,E3,0.38
40.61,D#3,0.38
40.98,E3,0.38
41.36,F3,0.38
41.74,E3,0.38
42.11,G3,0.38
42.49,F#3,0.38
42.86,G3,0.38
43.24,F#3,0.38
43.62,G3,0.38
43.99,F#3,0.38
44.37,G3,0.38
44.74,F#3,0.38
45.12,F#3,0.38
45.50,G#3,1.13
46.62,F#3,0.38
47.00,G3,0.38
47.38,G#3,0.38
47.75,E3,0.38
48.13,A3,0.75
48.88,E3,0.38
49.26,D#3,0.38
49.63,D3,0.38
50.01,D#3,0.38
50.38,E3,0.38
50.76,A3,0.38
51.14,G#3,1.50
52.64,F3,0.38
53.02,F#3,0.38
53.39,G3,0.38
53.77,F#3,0.38
54.14,G#3,0.75
54.90,D#3,0.38
55.27,D3,0.38
55.65,C#3,0.38
56.02,D3,0.38
56.40,D#3,0.38
56.78,G#3,0.38
57.15,F#3,2.26
59.41,F3,0.38
59.78,F#3,0.38
60.16,G3,0.38
60.54,F#3,0.38
60.91,G3,0.38
61.29,F#3,0.38
61.66,G3,0.75
62.42,F3,0.38
62.79,F#3,0.38
63.17,G3,0.38
63.54,F#3,0.38
63.92,G3,0.38
64.30,F#3,0.38
64.67,G3,0.38
65.05,G#3,0.75
65.80,F#3,4.14
69.94,F#3,0.38
70.31,G3,0.38
70.69,G#3,0.38
71.06,E3,0.38
71.44,A3,0.75
72.19,E3,0.38
72.57,D#3,0.38
72.94,D3,0.38
73.32,D#3,0.38
73.70,E3,0.38
74.07,A3,0.38
74.45,G#3,1.50
75.95,F3,0.38
76.33,F#3,0.38
76.70,G3,0.38
77.08,F#3,0.38
77.46,G#3,0.75
78.21,D#3,0.38
78.58,D3,0.38
78.96,C#3,0.38
79.34,D3,0.38
79.71,D#3,0.38
80.09,G#3,0.38
80.46,F#3,2.26
82.72,F3,0.38
83.10,F#3,0.38
83.47,G3,0.38
83.85,F#3,0.38
84.22,G3,0.38
84.60,F#3,0.38
84.98,G3,0.75
85.73,F3,0.38
86.10,F#3,0.38
86.48,G3,0.38
86.86,F#3,0.38
87.23,G3,0.38
87.61,F#3,0.38
87.98,G3,0.38
88.36,G#3,0.75
89.11,F#3,4.14
93.25,F#3,0.38
93.62,G3,0.38
94.00,G#3,0.38
94.38,E3,0.38
94.75,A3,0.75
95.50,E3,0.38
95.88,D#3,0.38
96.26,D3,0.38
96.63,D#3,0.38
97.01,E3,0.38
97.38,A#3,0.38
97.76,G#3,1.50
99.26,F3,0.38
99.64,F#3,0.38
100.02,G3,0.38
100.39,F#3,0.38
100.77,G#3,0.75
101.52,G#3,0.38
101.90,F#3,0.38
102.27,G#3,0.38
102.65,F#3,0.38
103.02,G#3,0.19
103.21,A3,0.56
103.78,F#3,0.75
104.53,F#3,0.38
104.90,F#3,0.38
105.28,F3,0.38
105.66,F3,0.38
106.03,F#3,0.38
106.41,G3,0.38
106.78,G3,3.01
109.79,E3,0.38
110.17,E3,0.38
110.54,D#3,0.38
110.92,D#3,0.38
111.30,E3,0.38
111.67,F3,0.38
112.05,F3,1.13
113.18,E3,0.50
