# 妖精的尾巴
# Converted from SkyStudio format
# BPM: 400
# Total chords: 166

Time,Keys,Duration
0.00,h,0.30
0.30,j,0.15
0.45,h,0.15
0.60,p,0.30
0.90,i,0.30
1.20,u,0.30
1.50,i,0.15
1.65,p,0.15
1.80,h,0.30
2.10,p,0.30
2.40,h,0.30
2.70,j,0.15
2.85,h,0.15
3.00,p,0.30
3.30,i,0.30
3.60,u,0.30
3.90,i,0.15
4.05,p,0.15
4.20,k,0.30
4.50,j,0.30
4.80,h,0.30
5.10,j,0.15
5.25,h,0.15
5.40,p,0.30
5.70,i,0.30
6.00,u,0.30
6.30,i,0.15
6.45,p,0.15
6.60,h,0.30
6.90,p,0.30
7.20,k,0.30
7.50,j,0.15
7.65,h,0.15
7.80,j,0.30
8.10,h,0.15
8.25,p,0.15
8.40,i,0.15
8.55,p,0.15
8.70,h,0.15
8.85,p,0.15
9.00,k,0.30
9.30,j,0.30
9.60,l,0.30
9.90,;,0.15
10.05,l,0.15
10.20,k,0.30
10.50,h,0.30
10.80,p,0.30
11.10,h,0.15
11.25,k,0.15
11.40,l,0.30
11.70,k,0.30
12.00,l,0.30
12.30,;,0.15
12.45,l,0.15
12.60,k,0.30
12.90,h,0.30
13.20,p,0.30
13.50,h,0.15
13.65,k,0.15
13.80,n,0.30
14.10,;,0.30
14.40,l,0.30
14.70,;,0.15
14.85,l,0.15
15.00,k,0.30
15.30,h,0.30
15.60,p,0.30
15.90,h,0.15
16.05,k,0.15
16.20,l,0.30
16.50,k,0.30
16.80,n,0.30
17.10,;,0.15
17.25,l,0.15
17.40,;,0.30
17.70,l,0.15
17.85,k,0.15
18.00,h,0.15
18.15,k,0.15
18.30,l,0.15
18.45,k,0.15
18.60,n,0.30
18.90,;,0.30
19.20,hl,0.30
19.50,;j,0.15
19.65,hl,0.15
19.80,kp,0.30
20.10,hi,0.30
20.40,pu,0.30
20.70,hi,0.15
20.85,kp,0.15
21.00,hl,0.30
21.30,kp,0.30
21.60,hl,0.30
21.90,;j,0.15
22.05,hl,0.15
22.20,kp,0.30
22.50,hi,0.30
22.80,pu,0.30
23.10,hi,0.15
23.25,kp,0.15
23.40,kn,0.30
23.70,;j,0.30
24.00,hl,0.30
24.30,;j,0.15
24.45,hl,0.15
24.60,kp,0.30
24.90,hi,0.30
25.20,pu,0.30
25.50,hi,0.15
25.65,kp,0.15
25.80,hl,0.30
26.10,kp,0.30
26.40,kn,0.30
26.70,;j,0.15
26.85,hl,0.15
27.00,;j,0.30
27.30,hl,0.15
27.45,kp,0.15
27.60,hi,0.15
27.75,kp,0.15
27.90,hl,0.15
28.05,kp,0.15
28.20,kn,0.30
28.50,;j,0.30
28.80,u,0.30
29.10,i,0.15
29.25,o,0.15
29.40,i,0.30
29.70,p,0.30
30.00,o,0.30
30.30,h,0.30
30.60,p,0.15
30.75,o,0.15
30.90,i,0.30
31.20,u,0.30
31.50,i,0.15
31.65,o,0.15
31.80,i,0.30
32.10,p,0.30
32.40,o,0.30
32.70,h,0.30
33.00,p,0.15
33.15,o,0.15
33.30,i,0.30
33.60,u,0.30
33.90,i,0.15
34.05,o,0.15
34.20,i,0.30
34.50,p,0.30
34.80,o,0.30
35.10,h,0.30
35.40,p,0.15
35.55,o,0.15
35.70,i,0.30
36.00,l,0.30
36.30,;,0.15
36.45,n,0.15
36.60,;,0.30
36.90,m,0.30
37.20,n,0.30
37.50,,,0.30
37.80,m,0.15
37.95,n,0.15
38.10,;,0.50
