# 威风堂堂 烛子ikina
# Converted from SkyStudio format
# BPM: 520
# Total chords: 848

Time,Keys,Duration
0.00,D3,0.12
0.12,D3,0.34
0.46,A3,0.12
0.57,A3,0.34
0.92,D3,0.12
1.03,D3,0.34
1.38,C#3,0.12
1.50,C#3,0.34
1.84,D3,0.12
1.96,D3,0.34
2.30,A3,0.12
2.42,A3,0.34
2.76,D3,0.12
2.88,D3,0.34
3.22,C#3,0.12
3.33,C#3,0.34
3.68,D3,0.12
3.79,D3,0.34
4.14,A3,0.12
4.25,A3,0.34
4.60,D3,0.12
4.71,D3,0.34
5.06,C#3,0.12
5.17,C#3,0.34
5.52,D3,0.12
5.63,D3,0.34
5.98,A3,0.12
6.09,A3,0.34
6.44,D3,0.12
6.55,D3,0.34
6.90,C#3,0.12
7.01,C#3,0.34
7.36,B2C#3,0.23
7.59,D3,0.23
7.82,B2,0.23
8.05,D3,0.23
8.28,B2,0.23
8.51,F3,0.23
8.74,B2,0.23
8.97,C#3,0.23
9.20,B2,0.23
9.43,D3,0.23
9.66,B2,0.23
9.89,F#3,0.23
10.12,B2,0.23
10.35,F3,0.23
10.58,B2,0.23
10.81,E3,0.23
11.04,B2C#3,0.23
11.27,D3,0.23
11.50,B2,0.23
11.73,D3,0.23
11.96,B2,0.23
12.19,F3,0.23
12.42,B2,0.23
12.65,C#3,0.23
12.88,B2,0.23
13.11,D3,0.23
13.34,B2,0.23
13.57,F#3,0.23
13.80,B2,0.23
14.03,F3,0.23
14.26,B2,0.23
14.49,E3,0.23
14.72,B2C#3G#3,0.23
14.95,A3D3,0.23
15.18,B2,0.23
15.41,A3D3,0.23
15.64,B2,0.23
15.87,F3,0.23
16.10,B2,0.23
16.33,C#3G#3,0.23
16.56,B2,0.23
16.79,A3D3,0.23
17.02,B2,0.23
17.25,F#3,0.23
17.48,B2,0.23
17.71,F3,0.23
17.94,B2,0.23
18.17,C4E3,0.23
18.40,B2C#3G#3,0.23
18.63,A3D3,0.23
18.86,B2,0.23
19.09,A3D3,0.23
19.32,B2,0.23
19.55,F3,0.23
19.78,B2,0.23
20.01,C#3G#3,0.23
20.24,B2,0.23
20.47,A3D3,0.23
20.70,B2,0.23
20.93,F#3,0.23
21.16,B2,0.23
21.39,F3,0.23
21.62,B2,0.23
21.85,E3,0.23
22.08,B2D3,0.23
22.31,F#3,0.12
22.43,F#3,0.12
22.54,B2F#3,0.12
22.66,F#3,0.12
22.77,F#3,0.12
22.89,F#3,0.12
23.00,B2F3,0.23
23.23,F#3,0.23
23.46,B2F3,0.23
23.69,F#3,0.23
23.92,B2D3,0.23
24.15,F#3,0.12
24.27,F#3,0.12
24.38,B2F#3,0.12
24.50,F#3,0.12
24.61,F#3,0.12
24.73,F#3,0.12
