# 威风堂堂
# Converted from SkyStudio format
# BPM: 540
# Total chords: 801

Time,Keys,Duration
0.00,p,0.11
0.11,p,0.33
0.44,m,0.11
0.56,m,0.33
0.89,p,0.11
1.00,p,0.33
1.33,o,0.11
1.44,o,0.33
1.78,p,0.11
1.89,p,0.33
2.22,m,0.11
2.33,m,0.33
2.66,p,0.11
2.77,p,0.33
3.11,o,0.11
3.22,o,0.33
3.55,p,0.11
3.66,p,0.33
4.00,m,0.11
4.11,m,0.33
4.44,p,0.11
4.55,p,0.33
4.88,o,0.11
5.00,o,0.33
5.33,p,0.11
5.44,p,0.33
5.77,m,0.11
5.88,m,0.33
6.22,p,0.11
6.33,p,0.33
6.66,o,0.11
6.77,o,0.56
7.33,py,0.22
7.55,o,0.22
7.77,iy,0.44
8.21,ju,0.22
8.44,h,0.22
8.66,u,0.44
9.10,il,0.22
9.32,k,0.22
9.55,iy,0.44
9.99,no,0.22
10.21,;,0.22
10.43,o,0.44
10.88,py,0.22
11.10,o,0.22
11.32,iy,0.44
11.77,ju,0.22
11.99,h,0.22
12.21,u,0.44
12.65,il,0.22
12.88,k,0.22
13.10,iy,0.44
13.54,no,0.22
13.76,;,0.22
13.99,oy,0.22
14.21,py,0.44
14.65,py,0.44
15.10,ku,0.44
15.54,py,0.44
15.98,py,0.44
16.43,ku,0.44
16.87,ju,0.44
17.32,hu,0.22
17.54,oy,0.22
17.76,py,0.44
18.20,py,0.44
18.65,ku,0.44
19.09,py,0.44
19.54,py,0.44
19.98,ku,0.44
20.42,ju,0.44
20.87,hu,0.22
21.09,hi,0.22
21.31,l,0.11
21.42,l,0.11
21.53,hi,0.22
21.76,l,0.11
21.87,l,0.11
21.98,hik,0.22
22.20,l,0.22
22.42,hik,0.22
22.64,l,0.22
22.87,pu,0.11
22.98,l,0.11
23.09,l,0.11
23.20,l,0.11
23.31,pu,0.11
23.42,l,0.11
23.53,l,0.11
23.64,l,0.11
23.75,npu,0.22
23.98,l,0.22
24.20,npu,0.22
24.42,l,0.22
24.64,loy,0.11
24.75,l,0.11
24.86,l,0.22
25.09,loy,0.11
25.20,l,0.11
25.31,l,0.11
25.42,l,0.11
25.53,koy,0.22
25.75,l,0.22
25.97,koy,0.22
26.20,l,0.22
26.42,ipy,0.22
26.64,h,0.22
26.86,ipy,0.22
27.08,h,0.22
27.31,ipy,0.44
27.75,oy,0.44
28.19,hi,0.11
28.30,l,0.11
28.42,l,0.11
28.53,l,0.11
28.64,hi,0.11
28.75,l,0.11
28.86,l,0.11
28.97,l,0.11
29.08,hik,0.22
29.30,l,0.22
29.53,hik,0.22
29.75,l,0.22
29.97,pu,0.11
30.08,l,0.11
30.19,l,0.11
30.30,l,0.11
30.41,pu,0.11
30.52,l,0.11
30.64,l,0.11
30.75,l,0.11
30.86,npu,0.22
