# 婚礼进行曲(整活用)
# Converted from SkyStudio format
# BPM: 280
# Total chords: 77

Time,Keys,Duration
0.00,A2,0.86
0.86,C3,0.64
1.50,C3,0.21
1.71,C3,1.71
3.42,A2,0.86
4.28,C#3,0.64
4.92,B2,0.21
5.14,C3,1.71
6.85,A2,0.86
7.70,C3,0.64
8.35,D#3,0.21
8.56,D#3,0.86
9.42,D3,0.64
10.06,C#3,0.21
10.27,C3,0.86
11.13,B2,0.64
11.77,C3,0.21
11.98,C#3,1.71
13.70,A2,0.86
14.55,C3,0.64
15.19,C3,0.21
15.41,C3,1.71
17.12,A2,0.86
17.98,C#3,0.64
18.62,B2,0.21
18.83,C3,1.71
20.54,A2,0.86
21.40,C3,0.64
22.04,D3,0.21
22.26,E3,0.86
23.11,D3,0.64
23.75,C3,0.21
23.97,A#2,0.86
24.82,C#3,0.64
25.47,D3,0.21
25.68,C3,1.71
27.39,D#3,0.86
28.25,D3,0.64
28.89,C#3,0.21
29.10,A#2,0.86
29.96,A#2,0.86
30.82,B2,0.86
31.67,C3,0.64
32.31,C#3,0.21
32.53,C#3,1.71
34.24,D#3,0.86
35.10,D3,0.64
35.74,C#3,0.21
35.95,A#2,0.86
36.81,A#2,0.86
37.66,B2,0.86
38.52,C3,0.64
39.16,C#3,0.21
39.38,C#3,1.71
41.09,A2,0.86
41.94,C3,0.64
42.59,C3,0.21
42.80,C3,1.71
44.51,A2,0.86
45.37,C#3,0.64
46.01,B2,0.21
46.22,C3,1.71
47.94,A2,0.86
48.79,C3,0.64
49.43,D3,0.21
49.65,E3,0.86
50.50,D3,0.64
51.15,C3,0.21
51.36,A#2,0.86
52.22,C#3,0.64
52.86,D3,0.21
53.07,C3,1.71
54.78,A#2,0.86
55.64,C#3,0.64
56.28,D3,0.21
56.50,C3,1.71
58.21,C3,0.50
