# 婚礼进行曲半成品
# Converted from SkyStudio format
# BPM: 240
# Total chords: 141

Time,Keys,Duration
0.00,A2,0.25
0.25,A2,0.25
0.50,A2,0.75
1.25,A2,0.25
1.50,A2,0.25
1.75,A2,0.25
2.00,A2,0.75
2.75,A2,0.25
3.00,A2,0.25
3.25,A2,0.25
3.50,A2B2,0.50
4.00,A2B2,0.25
4.25,B2,0.25
4.50,A2,0.25
4.75,A2B2,0.25
5.00,A2B2,0.50
5.50,A2B2,0.25
5.75,A2B2,0.25
6.00,A2B2,0.50
6.50,A2B2C#3,0.50
7.00,A2B2C#3,0.25
7.25,B2C#3,0.25
7.50,A2,0.25
7.75,A2B2C#3,0.25
8.00,A2B2C#3,0.50
8.50,A2B2C#3,0.25
8.75,C#3,0.25
9.00,A2B2,0.25
9.25,A2B2C#3,0.25
9.50,C4F#3G3,0.25
9.75,D3,0.75
10.50,A#3D#3F3G3,0.75
11.25,D#3F3G3,0.25
11.50,A3B2F#3,0.50
12.00,B2F3G#3,0.75
12.75,C3D3F3G3,0.50
13.25,C3D3F3,0.50
13.75,B2C#3D#3E3,0.50
14.25,D#3,0.25
14.50,E3,0.25
14.75,C#3C3D#3F3,0.50
15.25,C#3,0.25
15.50,F3,0.25
15.75,A2B2E3F#3,0.25
16.00,A2,0.25
16.25,B2,0.25
16.50,C#3,0.25
16.75,E3,0.25
17.00,F#3,0.25
17.25,G#3,0.25
17.50,C4,0.25
17.75,D3F#3G3,0.75
18.50,A#3F3G3,0.25
18.75,D#3,0.50
19.25,C#3F3G3,0.50
19.75,A3B2F#3,0.50
20.25,B2F3G#3,0.50
20.75,G3,0.25
21.00,C3D3F3,0.50
21.50,C3D3F3,0.75
22.25,B2C#3D#3E3,0.50
22.75,D#3,0.25
23.00,E3,0.25
23.25,B2C#3E3F#3,0.50
23.75,C#3C3D#3F3,0.25
24.00,C#3E3F#3,0.25
24.25,B2C#3C3E3F3,0.75
25.00,E3,0.25
25.25,A2B2,0.25
25.50,A2,0.25
25.75,A2,0.25
26.00,A2,0.50
26.50,A2,0.25
26.75,B2,0.25
27.00,E3,0.25
27.25,C#3,0.50
27.75,A2,0.25
28.00,A2,0.25
28.25,A2,0.25
28.50,A2,0.50
29.00,B2,0.25
29.25,C#3,0.25
29.50,F#3,0.25
29.75,E3,0.50
30.25,A2,0.25
30.50,A2,0.25
30.75,A2,0.50
31.25,B2,0.50
31.75,C#3,0.25
32.00,E3,0.25
32.25,A2F#3,0.50
32.75,A2C#3,0.25
33.00,E3,0.25
33.25,F#3G#3,0.25
33.50,A2,0.50
34.00,A2C#3,0.50
34.50,E3,0.25
34.75,F#3G#3,0.25
35.00,A2,0.50
35.50,E3,0.25
35.75,A2,0.25
36.00,F#3,0.25
36.25,G#3,0.50
36.75,C4D3G3,0.75
37.50,A#3D#3F3G3,0.75
38.25,D#3F3G3,0.25
38.50,A3B2F#3,0.50
39.00,B2F3G#3,0.50
39.50,D3F3G3,0.25
39.75,C3,0.50
40.25,C3D3F3,0.50
40.75,C#3D#3E3,0.25
41.00,B2,0.25
41.25,D#3,0.25
41.50,E3,0.25
41.75,D#3F3,0.25
42.00,C#3C3,0.25
42.25,C#3,0.50
42.75,E3F#3F3,0.25
43.00,A2B2,0.25
43.25,A2,0.50
43.75,B2,0.25
44.00,C#3,0.50
44.50,E3,0.25
44.75,F#3,0.50
45.25,G#3,0.50
45.75,C4D3F#3G3,0.75
46.50,A#3D#3F3G3,0.75
47.25,D#3F3G3,0.25
47.50,A3B2F#3,0.50
48.00,B2F3G#3,0.50
48.50,C3D3F3G3,0.50
49.00,C3D3F3,0.50
49.50,C#3D#3E3,0.25
49.75,B2D#3,0.25
50.00,E3,0.25
50.25,E3F#3,0.25
50.50,B2C#3,0.25
50.75,C#3C3D#3F3,0.25
51.00,C#3E3F#3,0.25
51.25,C3D#3F3,0.50
