# 宝贝宝贝
# Converted from SkyStudio format
# BPM: 260
# Total chords: 197

Time,Keys,Duration
0.23,ky,0.23
0.46,p,0.23
0.69,ly,0.46
1.15,;p,0.46
1.61,ik,0.46
2.07,lp,0.23
2.30,u,0.23
2.53,mp,0.46
2.99,mu,0.46
3.45,j,0.46
3.91,;h,0.23
4.14,i,0.23
4.37,,,0.23
4.60,,h,0.23
4.83,,i,0.46
5.29,,y,0.46
5.75,im,0.23
5.98,j,0.23
6.21,im,0.46
6.67,;j,0.46
7.13,p,0.46
7.59,ko,0.23
7.82,y,0.23
8.05,o,0.23
8.28,k,0.23
8.51,ky,0.46
8.97,,h,0.23
9.20,,,0.23
9.43,my,0.23
9.66,p,0.23
9.89,;y,0.46
10.35,mp,0.46
10.81,i,0.46
11.27,lp,0.23
11.50,lu,0.23
11.73,p,0.23
11.96,l,0.23
12.19,;u,0.23
12.42,l,0.23
12.65,k,0.23
12.88,;,0.23
13.11,lp,0.23
13.34,u,0.23
13.57,p,0.23
13.80,j,0.23
14.03,u,0.46
14.49,j,0.46
14.95,ky,0.23
15.18,p,0.23
15.41,l,0.23
15.64,y,0.23
15.87,;,0.23
16.10,p,0.23
16.33,ik,0.46
16.79,lp,0.23
17.02,u,0.23
17.25,m,0.23
17.48,mp,0.23
17.71,m,0.23
17.94,u,0.46
18.40,j,0.23
18.63,;h,0.23
18.86,i,0.23
19.09,,,0.23
19.32,h,0.23
19.55,,,0.23
19.78,i,0.23
20.01,/y,0.46
20.47,.i,0.23
20.70,j,0.23
20.93,,,0.23
21.16,i,0.23
21.39,m,0.23
21.62,j,0.46
22.08,p,0.23
22.31,ko,0.23
22.54,y,0.23
22.77,o,0.23
23.00,k,0.23
23.23,k,0.23
23.46,y,0.23
23.69,,h,0.46
24.15,my,0.23
24.38,p,0.23
24.61,m,0.23
24.84,y,0.23
25.07,;,0.23
25.30,p,0.46
25.76,i,0.23
25.99,lp,0.23
26.22,l,0.23
26.45,lu,0.23
26.68,p,0.23
26.91,l,0.23
27.14,;u,0.23
27.37,l,0.23
27.60,k,0.23
27.83,l,0.23
28.06,k,0.23
28.29,p,0.46
28.75,y,1.15
29.90,p,0.23
30.13,ky,0.23
30.36,p,0.23
30.59,y,0.23
30.82,k,0.23
31.05,k,0.23
31.28,p,0.23
31.51,i,0.23
31.74,k,0.23
31.97,jp,0.46
32.43,y,0.46
32.89,u,0.46
33.35,i,0.46
33.81,ho,0.23
34.04,y,0.23
34.27,o,0.23
34.50,h,0.23
34.73,hy,0.23
34.96,p,0.23
35.19,h,0.23
35.42,j,0.23
35.65,p,0.23
35.88,u,0.23
36.11,p,0.23
36.34,j,0.23
36.57,u,0.92
37.49,i,0.46
37.95,py,0.23
38.18,p,0.23
38.41,p,0.46
38.87,ik,0.46
39.33,lp,0.23
39.56,u,0.23
39.79,p,0.23
40.02,l,0.23
40.25,hu,0.46
40.71,u,0.46
41.17,p,0.23
41.40,p,0.23
41.63,p,0.23
41.86,h,0.23
42.09,ju,0.23
42.32,h,0.23
42.55,j,0.23
42.78,k,0.23
43.01,lp,0.23
43.24,u,0.23
43.47,p,0.23
43.70,j,0.23
43.93,u,0.92
44.85,p,0.23
45.08,ky,0.23
45.31,p,0.23
45.54,y,0.23
45.77,k,0.23
46.00,kp,0.23
46.23,p,0.23
46.46,i,0.23
46.69,k,0.23
46.92,jp,0.23
47.15,u,0.23
47.38,p,0.46
47.84,u,0.92
48.76,i,0.23
48.99,ho,0.23
49.22,y,0.23
49.45,o,0.23
49.68,h,0.23
49.91,hy,0.23
50.14,p,0.23
50.37,h,0.23
50.60,j,0.23
50.83,p,0.23
51.06,u,0.23
51.29,p,0.23
51.52,j,0.23
51.75,u,0.92
52.67,iy,0.46
53.13,py,0.23
53.36,p,0.23
53.59,p,0.46
54.05,ik,0.46
54.51,k,0.23
54.74,ko,0.23
54.97,k,0.23
55.20,l,0.23
55.43,h,0.92
56.35,p,0.23
56.58,pu,0.23
56.81,p,0.23
57.04,h,0.23
57.27,ju,0.23
57.50,h,0.23
57.73,j,0.23
57.96,l,0.23
58.19,ky,0.50
