# 宾克斯的美酒
# Converted from SkyStudio format
# BPM: 330
# Total chords: 155

Time,Keys,Duration
0.00,A2F#3,0.18
0.18,G#3,0.18
0.36,G#3,0.18
0.54,B2C#3G#3,0.54
1.09,A2,0.54
1.63,A3B2C#3,0.36
1.99,G#3,0.18
2.17,A2F#3,0.54
2.71,B2C#3G#3,0.54
3.26,A2,0.54
3.80,B2C#3,0.54
4.34,A2F#3,0.18
4.53,G#3,0.18
4.71,G#3,0.18
4.89,B2C#3G#3,0.54
5.43,A2,0.54
5.97,A3B2C#3,0.36
6.33,G#3,0.18
6.52,A2F#3,0.54
7.06,B2C#3E3,0.54
7.60,A2,0.54
8.14,B2C#3,0.54
8.69,A2F#3,0.18
8.87,G#3,0.18
9.05,G#3,0.18
9.23,B2C#3G#3,0.54
9.77,A2,0.54
10.32,A3B2C#3,0.36
10.68,G#3,0.18
10.86,A2F#3,0.54
11.40,B2C#3G#3,0.54
11.95,A2,0.54
12.49,B2C#3,0.54
13.03,A2F#3,0.18
13.21,G#3,0.18
13.39,G#3,0.18
13.57,B2C#3G#3,0.54
14.12,A2,0.54
14.66,A3B2C#3,0.36
15.02,G#3,0.18
15.20,A2F#3,0.54
15.75,B2C#3E3,0.54
16.29,A2,0.54
16.83,B2C#3,0.54
17.38,A2G#3,0.36
17.74,F#3,0.18
17.92,B2C#3F3,0.36
18.28,E3,0.18
18.46,A2D3,0.36
18.82,E3,0.18
19.00,C3D3E3,0.54
19.55,A2G#3,0.36
19.91,F#3,0.18
20.09,B2C#3F3,0.36
20.45,E3,0.18
20.63,A2C3D3,0.36
21.00,E3,0.18
21.18,A2B2C#3,0.54
21.72,A2C3D3,0.36
22.08,E3,0.18
22.26,A2B2C#3,0.36
22.62,C#3,0.18
22.81,A2C3D3,0.36
23.17,E3,0.18
23.35,A2C3E3,0.36
23.71,F#3,0.18
23.89,A#2F#3,0.36
24.25,F#3,0.18
24.43,C3D3F3,0.36
24.80,E3,0.18
24.98,A#2F3,0.54
25.52,C#3D3,0.54
26.06,A2G#3,0.36
26.43,F#3,0.18
26.61,B2C#3F3,0.36
26.97,E3,0.18
27.15,A2D3,0.36
27.51,E3,0.18
27.69,C3D3E3,0.54
28.24,A2G#3,0.36
28.60,F#3,0.18
28.78,B2C#3F3,0.36
29.14,E3,0.18
29.32,A2C3D3,0.36
29.68,E3,0.18
29.86,A2B2C#3,0.54
30.41,A2C3D3,0.36
30.77,E3,0.18
30.95,A2B2C#3,0.36
31.31,C#3,0.18
31.49,A2C3D3,0.36
31.86,E3,0.18
32.04,A2C3E3,0.36
32.40,F#3,0.18
32.58,A#2C#3F#3,0.36
32.94,F#3,0.18
33.12,A#2C#3F3,0.36
33.48,E3,0.18
33.67,A2C#3E3,0.54
34.21,A2C#3,0.54
34.75,A2G#3,0.36
35.11,F#3,0.18
35.30,B2C#3F3,0.36
35.66,E3,0.18
35.84,A2D3,0.36
36.20,E3,0.18
36.38,B2D3E3,0.54
36.92,A2G#3,0.36
37.29,F#3,0.18
37.47,B2C#3F3,0.36
37.83,E3,0.18
38.01,A2C3D3,0.36
38.37,E3,0.18
38.55,A2B2C#3,0.54
39.10,A2C3D3,0.36
39.46,E3,0.18
39.64,A2B2C#3,0.36
40.00,C#3,0.18
40.18,A2C3D3,0.36
40.54,E3,0.18
40.73,A2C3E3,0.36
41.09,F#3,0.18
41.27,A#2F#3,0.36
41.63,F#3,0.18
41.81,C3D3F3,0.36
42.17,E3,0.18
42.35,A#2F3,0.54
42.90,C#3C3,0.54
43.44,A2G#3,0.36
43.80,F#3,0.18
43.98,B2C#3F3,0.36
44.34,E3,0.18
44.53,A2D3,0.36
44.89,E3,0.18
45.07,C3D3E3,0.54
45.61,A2G#3,0.36
45.97,F#3,0.18
46.16,B2C#3F3,0.36
46.52,E3,0.18
46.70,A2C3D3,0.36
47.06,E3,0.18
47.24,A2B2C#3,0.54
47.78,A2C3D3,0.36
48.15,E3,0.18
48.33,A2B2C#3,0.36
48.69,C#3,0.18
48.87,A2C3D3,0.36
49.23,E3,0.18
49.41,A2C3E3,0.36
49.77,F#3,0.18
49.96,A#2C#3F#3,0.36
50.32,F#3,0.18
50.50,A#2C#3F3,0.36
50.86,E3,0.18
51.04,A2C#3E3,0.50
