# 寂寞沙洲冷
# Converted from SkyStudio format
# BPM: 235
# Total chords: 194

Time,Keys,Duration
0.26,y,0.26
0.51,k,0.26
0.77,k,0.26
1.02,k,0.26
1.27,ilpy,0.26
1.53,k,0.26
1.78,h,0.26
2.04,k,0.26
2.29,hi,0.26
2.55,p,0.26
2.81,p,0.26
3.06,i,0.26
3.31,ijp,1.02
4.33,u,0.26
4.59,i,0.26
4.84,p,0.26
5.10,i,0.26
5.36,u,0.26
5.61,y,0.26
5.87,h,0.26
6.12,y,0.26
6.38,ky,1.02
7.39,ipy,1.02
8.41,ky,0.51
8.93,k,0.51
9.44,ilpy,0.51
9.95,;,0.51
10.46,;p,0.26
10.71,l,0.51
11.22,l,0.26
11.47,jlpu,0.51
11.98,l,0.26
12.24,;,0.26
12.49,im,0.26
12.75,m,0.51
13.26,;,0.26
13.52,ijmp,0.51
14.03,,,0.26
14.28,k,0.26
14.54,hk,1.02
15.55,hiy,1.02
16.57,im,0.26
16.83,m,0.51
17.34,;,0.26
17.59,ijmp,0.51
18.11,,,0.26
18.36,k,0.26
18.61,hk,0.51
19.12,h,0.26
19.38,k,0.26
19.64,hiky,0.51
20.14,;,0.51
20.66,lo,1.02
21.68,hoy,1.02
22.70,jpu,1.02
23.71,;y,0.26
23.97,;,0.51
24.48,;ipy,0.26
24.73,;,0.51
25.25,l,0.26
25.50,;,0.26
25.75,im,0.26
26.01,m,0.51
26.52,m,0.26
26.77,ijmp,0.51
27.29,m,0.26
27.54,m,0.26
27.80,;y,0.26
28.05,;,0.51
28.56,;,0.26
28.82,;ipy,0.26
29.07,.,0.51
29.58,/,0.26
29.84,/o,0.51
30.34,,,0.26
30.60,,hoy,0.51
31.11,,,0.26
31.36,.,0.26
31.62,/o,0.26
31.88,.,0.51
32.38,,,0.26
32.64,,hoy,0.26
32.90,m,0.51
33.41,;,0.26
33.66,il,0.26
33.91,;,0.51
34.42,m,0.26
34.68,ijmp,1.02
35.70,lo,0.51
36.21,k,0.51
36.72,hkoy,0.26
36.98,k,0.51
37.48,hy,0.26
37.74,k,0.51
38.25,ipy,1.02
39.27,y,1.02
40.29,ipy,0.51
40.80,;,0.51
41.31,,i,0.26
41.56,m,0.26
41.82,m,0.26
42.08,;,0.26
42.33,;ijp,0.26
42.59,l,0.26
42.84,;,0.26
43.09,m,0.26
43.35,,i,0.26
43.60,m,0.26
43.86,;,0.26
44.12,m,0.26
44.37,ijmp,0.51
44.88,;,0.51
45.39,/h,0.26
45.65,/,0.26
45.90,/,0.26
46.16,/,0.26
46.41,,hiy,0.51
46.92,m,0.26
47.17,;,0.26
47.43,;i,1.02
48.45,ijp,1.02
49.47,;,0.26
49.73,/h,0.26
49.98,/,0.26
50.23,/,0.26
50.49,,,0.26
50.74,hluy,0.26
51.00,/k,0.51
51.51,m,0.26
51.77,im,0.26
52.02,m,0.26
52.27,m,0.26
52.53,;ijp,0.26
52.78,,,0.26
53.04,m,0.77
53.80,lo,0.26
54.06,k,0.26
54.31,l,0.26
54.57,k,0.26
54.83,hloy,0.51
55.34,k,0.26
55.59,l,0.26
55.84,lp,1.02
56.87,jpu,0.51
57.38,;,0.51
57.88,,i,0.26
58.14,m,0.26
58.40,m,0.26
58.65,;,0.26
58.91,;ijp,0.26
59.16,l,0.26
59.41,;,0.26
59.67,m,0.26
59.92,,i,0.26
60.18,m,0.26
60.44,;,0.26
60.69,m,0.26
60.95,ijmp,0.51
61.45,;,0.26
61.71,;,0.26
61.97,/h,0.26
62.22,/,0.26
62.48,/,0.26
62.73,/,0.26
62.98,hluy,0.26
63.24,/,0.26
63.49,,,0.26
63.75,;,0.26
64.00,im,1.02
65.03,ijp,0.51
65.53,;,0.26
65.79,;,0.26
66.05,/h,0.26
66.30,/,0.26
66.56,/,0.26
66.81,/,0.26
67.06,hluy,0.26
67.32,/,0.26
67.58,,,0.26
67.83,/,0.26
68.08,,i,0.26
68.34,m,0.26
68.59,;,0.26
68.85,m,0.26
69.11,;ijp,1.02
70.12,lo,0.26
70.38,;,0.26
70.64,m,0.26
70.89,;,0.26
71.14,l,0.26
71.40,k,0.26
71.66,h,0.26
71.91,k,0.26
72.17,ky,0.50
