# 对面的女孩看过来—重制版（沫忆）
# Converted from SkyStudio format
# BPM: 480
# Total chords: 373

Time,Keys,Duration
0.00,y,0.50
0.50,ikp,0.50
1.00,p,0.50
1.50,ikp,0.50
2.00,y,0.50
2.50,ikp,0.50
3.00,p,0.50
3.50,ikp,0.50
4.00,y,0.50
4.50,ikp,0.50
5.00,p,0.50
5.50,ikp,0.50
6.00,ikpy,2.00
8.00,ky,0.50
8.50,ikpy,0.25
8.75,k,0.25
9.00,ky,0.50
9.50,ikpy,0.50
10.00,lp,0.50
10.50,jlp,0.25
10.75,;,0.25
11.00,l,0.50
11.50,jo,0.50
12.00,hk,0.50
12.50,hiky,0.25
12.75,k,0.25
13.00,/i,0.50
13.50,hiy,0.50
14.00,/i,0.50
14.50,,jpu,0.25
14.75,m,0.25
15.00,jm,0.50
15.50,jpu,0.50
16.00,,o,0.50
16.50,,hoy,0.25
16.75,,,0.25
17.00,my,0.25
17.25,n,0.25
17.50,hiny,0.50
18.00,my,0.50
18.50,impy,0.25
18.75,,,0.25
19.00,ik,0.50
19.50,hiy,0.50
20.00,hl,0.50
20.50,hlou,0.25
20.75,l,0.25
21.00,hk,0.50
21.50,hlou,0.50
22.00,,p,0.25
22.25,;,0.25
22.50,,jp,0.25
22.75,m,0.25
23.00,jm,0.50
23.50,.m,0.50
24.00,.ip,0.88
24.88,k,0.50
25.38,k,0.50
25.88,ky,0.25
26.12,k,0.25
26.38,impy,0.25
26.62,m,0.25
26.88,mp,0.25
27.12,k,0.25
27.38,jkp,0.25
27.62,k,0.25
27.88,ij,0.25
28.12,j,0.25
28.38,jlpu,0.25
28.62,l,0.25
28.88,ho,0.25
29.12,k,0.25
29.38,hkoy,0.25
29.62,k,0.25
29.88,hy,0.25
30.12,k,0.25
30.38,koy,0.25
30.62,k,0.25
30.88,;m,0.25
31.12,l,0.25
31.38,jkp,0.25
31.62,l,0.25
31.88,.l,0.25
32.12,p,0.25
32.38,jlp,0.25
32.62,p,0.25
32.88,ky,0.25
33.12,k,0.25
33.38,impy,0.25
33.62,m,0.25
33.88,mp,0.25
34.12,k,0.25
34.38,jkp,0.25
34.62,k,0.25
34.88,ij,0.25
35.12,j,0.25
35.38,jlpu,0.25
35.62,l,0.25
35.88,hl,0.25
36.12,k,0.25
36.38,hily,0.25
36.62,k,0.25
36.88,ho,0.25
37.12,k,0.25
37.38,hkoy,0.25
37.62,k,0.25
37.88,hy,0.25
38.12,k,0.25
38.38,hkoy,0.25
38.62,k,0.25
38.88,ip,0.25
39.12,u,0.25
39.38,jpy,0.25
39.62,p,0.25
39.88,jp,0.25
40.12,y,0.12
40.25,pu,0.12
40.38,i,0.12
40.50,op,0.12
40.62,p,0.12
40.75,hk,0.12
40.88,j,0.12
41.00,ly,0.25
41.25,;,0.25
41.50,;ipy,0.25
41.75,m,0.25
42.00,mp,0.25
42.25,m,0.25
42.50,jkp,0.25
42.75,;,0.25
43.00,il,0.25
43.25,;,0.25
43.50,;jpu,0.25
43.75,m,0.25
44.00,hm,0.25
44.25,,,0.25
44.50,,hiy,0.25
44.75,;,0.25
45.00,;o,0.25
