# 小宇
# Converted from SkyStudio format
# BPM: 303
# Total chords: 309

Time,Keys,Duration
1.98,A2D#3,0.40
2.38,B2F#3,0.40
2.77,C#3G#3,0.40
3.17,A2A3,0.40
3.56,A2G#3,0.40
3.96,C3,0.40
4.36,A2D#3G#3,0.40
4.75,A2,0.40
5.15,A#2E3,0.40
5.54,C#3,0.40
5.94,A#2F#3,0.40
6.34,A2,0.40
6.73,B2,0.40
7.13,A2,0.40
7.52,C#3,0.40
7.92,B2,0.40
8.32,A2E3,0.40
8.71,B2F#3,0.40
9.11,C#3G#3,0.40
9.50,A2A3,0.40
9.90,A2G#3,0.40
10.30,C3,0.40
10.69,A2G#3,0.40
11.09,A2,0.40
11.48,A#2G3,0.40
11.88,C#3,0.40
12.28,A#2F#3,0.40
12.67,A2,0.40
13.07,B2,0.40
13.46,A2,0.40
13.86,C#3,0.40
14.26,B2,0.40
14.65,A2E3,0.40
15.05,B2F#3,0.40
15.44,C#3G#3,0.40
15.84,A2A3,0.40
16.24,A2G#3,0.40
16.63,C3,0.40
17.03,A2G#3,0.40
17.42,A2,0.40
17.82,A#2G3,0.40
18.22,C#3,0.40
18.61,A#2F#3,0.40
19.01,B2,0.40
19.40,A2F3,0.79
20.20,A#2E3,1.98
22.18,A2E3,0.40
22.57,A2E3,0.40
22.97,C3,0.40
23.36,A2E3,0.40
23.76,A2,0.40
24.16,A#2F3,0.40
24.55,C#3F#3,0.40
24.95,A#2F3,2.38
27.32,A2E3,0.40
27.72,B2F#3,0.40
28.12,C#3G#3,0.40
28.51,A2F#3,0.40
28.91,A2F3,0.40
29.30,C3,0.40
29.70,A2E3,0.40
30.10,A2,0.79
30.89,B2D3,0.40
31.28,A2D#3,0.40
31.68,E3,0.40
32.08,A2E3,0.40
32.47,C3E3,0.40
32.87,A2F#3,0.40
33.26,C#3,0.40
33.66,F3,0.40
34.06,C#3,0.40
34.45,A2E3,2.77
37.22,C#3,0.40
37.62,F#3,1.19
38.81,C#3,0.40
39.20,F3,1.19
40.39,C#3,0.40
40.79,E3,0.79
41.58,B2,0.79
42.37,E3,1.19
43.56,D3,0.40
43.96,C#3,0.40
44.35,D3,0.40
44.75,C#3,0.40
45.14,C#3,0.40
45.54,C#3,0.79
46.33,A2,0.40
46.73,C#3,0.40
47.12,B2,2.77
49.90,C#3,0.40
50.29,F#3,1.19
51.48,C#3,0.40
51.88,F3,1.19
53.06,C#3,0.40
53.46,E3,0.79
54.25,B2,0.79
55.04,E3,1.19
56.23,D3,0.40
56.63,C#3,0.40
57.02,D3,0.40
57.42,C#3,0.40
57.82,C#3,0.40
58.21,C#3,0.79
59.00,B2,0.79
59.80,B2,2.38
62.17,E3,0.40
62.57,E3,0.40
62.96,F3,0.40
63.36,A2F#3,0.40
63.76,A2G#3,0.40
64.15,C3,0.40
64.55,A2G#3,0.20
64.75,A3,0.20
64.94,A2,0.40
65.34,A#2G#3,0.40
65.74,C#3,0.40
66.13,A#2F3,0.20
66.33,F#3,0.59
66.92,E3,0.40
67.32,B2,0.79
68.11,A#2,0.79
68.90,A2D3,0.40
69.30,D#3,0.40
69.70,A2E3,0.40
70.09,A2E3,0.40
70.49,C3,0.40
70.88,A2F#3,0.40
71.28,A2,0.40
71.68,A#2F3,0.40
72.07,C#3,0.40
72.47,A#2E3,2.38
74.84,A2E3,0.40
75.24,B2F#3,0.40
75.64,C#3G#3,0.40
76.03,A2G#3,0.40
76.43,A2,0.40
76.82,C3G#3,0.40
77.22,A2G#3,0.40
77.62,A2,0.40
78.01,A#2E3,0.40
78.41,C#3,0.40
78.80,A#2F#3,2.38
81.18,A2E3,0.40
81.58,B2F#3,0.40
81.97,C#3G#3,0.40
82.37,A2A3,0.40
82.76,A2G#3,0.40
83.16,C3,0.40
83.56,A2G#3,0.40
83.95,A2,0.40
84.35,A#2G3,0.40
84.74,C#3,0.40
85.14,A#2F#3,2.38
87.52,A2E3,0.40
87.91,B2F#3,0.40
88.31,C#3G#3,0.40
88.70,A2A3,0.40
89.10,A2,0.40
89.50,C3G#3,0.40
89.89,A2G#3,0.40
90.29,A2,0.40
90.68,A#2,0.40
91.08,C#3G#3,0.40
91.48,A#2A3,0.79
92.27,F#3,0.79
93.06,E3,1.98
95.04,B2E3,0.40
95.44,F3,0.40
95.83,B2E3,0.40
96.23,E3,0.40
96.62,A2,0.40
97.02,A#2G#3,0.40
97.42,C#3,0.40
97.81,A#2F3,2.38
100.19,A2E3,0.40
100.58,B2F#3,0.40
100.98,C#3G#3,0.40
101.38,A2A3,0.40
101.77,A2G#3,0.40
102.17,C3,0.40
102.56,A2G#3,0.40
102.96,A2,0.40
103.36,A#2E3,0.40
103.75,C#3,0.40
104.15,A#2F#3,2.38
106.52,A2E3,0.40
106.92,B2F#3,0.40
107.32,C#3G#3,0.40
107.71,A2A3,0.40
108.11,A2G#3,0.40
108.50,A2,0.40
108.90,A#2A3,0.40
109.30,A2,0.40
109.69,A#2A3,0.20
109.89,G#3,0.20
110.09,C#3,0.40
110.48,A#2G#3,2.38
112.86,A2E3,0.40
113.26,B2F#3,0.40
113.65,C#3G#3,0.40
114.05,A2A3,0.40
114.44,A2G#3,0.40
114.84,B2G#3,0.40
115.24,A2G#3,0.40
115.63,A2C4,0.20
115.83,A#3,0.20
116.03,A#2,0.20
116.23,A#3,0.20
116.42,C#3C4,0.40
116.82,A#2,0.40
117.22,C4,0.40
117.61,A3B2,0.20
117.81,G#3,0.20
118.01,A2G#3,0.20
118.21,A3,1.78
119.99,A3,0.20
120.19,A#3,0.20
120.38,A2C4,0.40
120.78,A2C4,0.40
121.18,C3C4,0.40
121.57,A2C4F#3,0.40
121.97,A2C4F3,0.40
122.36,A#2C4,0.40
122.76,A#3C#3,0.40
123.16,A#2,0.20
123.35,C4,2.57
125.93,C#3,0.40
126.32,F#3,1.19
127.51,C#3,0.40
127.91,F3,1.19
129.10,C#3,0.40
129.49,E3,0.79
130.28,B2,0.40
130.68,E3,1.58
132.26,D3,0.40
132.66,C#3,0.40
133.06,D3,0.40
133.45,C#3,0.40
133.85,C#3,0.40
134.24,C#3,0.79
135.04,A2,0.40
135.43,C#3,0.40
135.83,B2,2.38
138.20,B2C#3,0.40
138.60,C#3,0.40
139.00,F#3,1.19
140.18,C#3,0.40
140.58,F3,1.19
141.77,C#3,0.40
142.16,E3,0.79
142.96,B2,0.79
143.75,E3,1.19
144.94,B2D3,0.40
145.33,C#3,0.40
145.73,D3,0.40
146.12,C#3,0.40
146.52,C#3,0.40
146.92,C#3,0.79
147.71,B2,0.79
148.50,A#2,2.38
150.88,B2C#3,0.40
151.27,C#3,0.40
151.67,F#3,1.19
152.86,C#3,0.40
153.25,F3,1.19
154.44,D#3,0.40
154.84,E3,0.79
155.63,B2,0.79
156.42,E3,1.19
157.61,B2D3,0.40
158.00,C#3,0.40
158.40,D3,0.40
158.80,E3,0.40
159.19,E3,0.40
159.59,E3,0.40
159.98,B2E3,0.40
160.38,D3,0.40
160.78,C#3,2.77
163.55,A2E3,0.40
163.94,B2E3,0.40
164.34,C#3F3,0.40
164.74,A2F#3,0.40
