# 小鸠 演奏版 Kobato 烛子ikina
# Converted from SkyStudio format
# BPM: 440
# Total chords: 115

Time,Keys,Duration
0.00,A2G#3,0.54
0.54,G3,0.27
0.82,F#3,0.27
1.09,F3,0.27
1.36,E3,0.27
1.63,C3F3,0.54
2.18,F#3,0.54
2.72,E3,0.54
3.26,A#2C#3,0.54
3.81,E3,0.54
4.35,D#3,0.54
4.90,B2E3,1.63
6.53,A2E3,1.09
7.62,C#3,0.54
8.16,D3F#3,1.09
9.25,E3,0.54
9.79,C3F3,1.09
10.88,F#3,0.54
11.42,C#3F3,1.63
13.06,A2F#3,0.54
13.60,G3,0.54
14.14,G#3,0.54
14.69,A3C3,0.54
15.23,G#3,0.54
15.78,G3,0.54
16.32,A#2F#3,1.09
17.41,E3,0.54
17.95,B2F3,1.63
19.58,D3E3,1.09
20.67,C#3,0.54
21.22,C3F#3,1.09
22.30,E3,0.54
22.85,A#2F3,1.09
23.94,F#3,0.54
24.48,B2F3,1.63
26.11,D3F#3,0.54
26.66,G3,0.54
27.20,G#3,0.54
27.74,A3C3,0.54
28.29,G#3,0.54
28.83,G3,0.54
29.38,C#3F#3,1.09
30.46,F3,0.54
31.01,A2E3,1.63
32.64,C3F3,1.09
33.73,F#3,0.54
34.27,A#2G3,1.09
35.36,F3,0.54
35.90,D3F#3,1.09
36.99,G3,0.54
37.54,B2G#3,1.63
39.17,A#2A3,0.54
39.71,G#3,0.54
40.26,G3,0.54
40.80,D3F#3,0.54
41.34,F3,0.54
41.89,E3,0.54
42.43,E3F3,1.09
43.52,F#3,0.54
44.06,D#3F3,1.63
45.70,C3E3,1.09
46.78,C#3,0.54
47.33,C#3F#3,1.09
48.42,E3,0.54
48.96,D3F3,1.09
50.05,F#3,0.54
50.59,D#3F3,1.63
52.22,E3F#3,0.54
52.77,G3,0.54
53.31,G#3,0.54
53.86,A3C3,0.54
54.40,G#3,0.54
54.94,G3,0.54
55.49,C#3F#3,1.09
56.58,F3,0.54
57.12,A2E3,2.72
59.84,F#3,0.54
60.38,D#3F#3,1.09
61.47,A#3,0.54
62.02,A3C#3,1.09
63.10,G#3,0.54
63.65,C#3F3,1.09
64.74,A3,0.54
65.28,A#2G#3,1.09
66.37,F#3,0.54
66.91,A2D#3,0.54
67.46,D3,0.82
68.27,F#3,0.27
68.54,A#2F#3,0.54
69.09,F3,0.54
69.63,D#3,0.27
69.90,D#3,0.27
70.18,B2C#3,0.54
70.72,B2,0.54
71.26,D#3,0.54
71.81,B2D3,1.09
72.90,C#3,0.54
73.44,C3D3,0.54
73.98,D#3,0.54
74.53,E3,0.54
75.07,A3B2,0.54
75.62,G#3,1.09
76.70,B2C#3,0.54
77.25,D3,0.54
77.79,D#3,0.54
78.34,A3D3,0.54
78.88,G#3,0.82
79.70,F#3,0.27
79.97,A#2D3,0.54
80.51,C#3,0.82
81.33,G#3,0.27
81.60,B2D3,0.54
82.14,C#3,0.82
82.96,G#3,0.27
83.23,A3D3,0.50
