# 巴托克evening in transylvania
# Converted from SkyStudio format
# BPM: 450
# Total chords: 129

Time,Keys,Duration
0.00,A3,1.06
1.06,D3E3,0.27
1.33,G#3,0.27
1.60,F#3,0.27
1.86,G#3,0.27
2.13,A3,0.27
2.39,G#3,0.27
2.66,C#3D#3G#3,0.27
2.93,F#3,1.33
4.26,A3,1.06
5.32,C3D3E3,0.27
5.59,G#3,0.27
5.85,F#3,0.27
6.12,G#3,0.27
6.38,A3,0.27
6.65,G#3,0.27
6.92,C#3C3D#3F#3,0.27
7.18,F3,1.33
8.51,F#3,1.06
9.58,B2C#3D#3,0.27
9.84,F3,0.27
10.11,F#3,0.27
10.37,A3,0.27
10.64,G#3,0.27
10.91,F#3,0.27
11.17,A#2C3E3,0.27
11.44,D3,1.33
12.77,F#3,1.06
13.83,A2C#3,0.27
14.10,F3,0.27
14.36,F#3,0.27
14.63,G#3,0.27
14.90,B2C#3D#3F#3,0.27
15.16,F3,0.27
15.43,A2B2C#3D3E3,0.53
15.96,D3,3.19
19.15,G#3,0.13
19.29,A3,0.13
19.42,A3D3E3F#3,0.13
19.55,A3,0.13
19.68,G#3,0.13
19.82,A3,0.13
19.95,C#3E3F#3,0.13
20.08,F3,0.13
20.22,E3,0.13
20.35,G#3,0.13
20.48,D3E3F#3,0.27
20.75,A3,0.27
21.01,C#3E3F#3,0.27
21.28,G#3,0.13
21.41,A3,0.13
21.55,A3D3E3F#3,0.13
21.68,A3,0.13
21.81,G#3,0.13
21.95,A3,0.13
22.08,C#3E3F#3,0.13
22.21,F3,0.13
22.34,E3,0.13
22.48,G#3,0.13
22.61,D3E3F#3,0.27
22.88,A3,0.27
23.14,C#3E3F#3,0.27
23.41,E3,0.13
23.54,F3,0.13
23.67,A2B2C#3F3,0.13
23.81,F3,0.13
23.94,E3,0.13
24.07,F3,0.13
24.21,A#2A2A3C3D3,0.13
24.34,G#3,0.13
24.47,F#3,0.13
24.61,E3,0.13
24.74,A2B2C#3,0.27
25.00,F3,0.27
25.27,A#2A2C3D3,0.13
25.40,F#3,0.13
25.54,C4,0.13
25.67,G#3,0.13
25.80,D3E3,0.27
26.07,A3,0.27
26.33,C#3D3E3F#3,0.13
26.47,F3,0.13
26.60,C4,0.13
26.73,G#3,0.13
26.87,D3E3F#3,0.27
27.13,A3,0.27
27.40,C#3D3E3F#3,0.13
27.53,F3,0.13
27.66,C4,0.13
27.80,G#3,0.13
27.93,D3E3F#3,0.27
28.20,A3,1.60
29.79,A3,0.53
30.32,C3D3E3,0.27
30.59,G#3,0.27
30.86,F#3,0.27
31.12,G#3,0.27
31.39,A3,0.27
31.65,G#3,0.27
31.92,G#3,0.27
32.19,F#3,0.27
32.45,C3D3E3,1.06
33.52,A3,0.53
34.05,C3D3E3,0.27
34.31,G#3,0.27
34.58,F#3,0.27
34.85,G#3,0.27
35.11,A3,0.27
35.38,G#3,0.27
35.64,F#3,0.27
35.91,F3,1.33
37.24,F#3,0.53
37.77,A2C#3,0.27
38.04,F3,0.27
38.30,F#3,0.27
38.57,A3,0.27
38.84,G#3,0.27
39.10,F#3,0.27
39.37,A2C3D3E3,0.27
39.63,D3,1.33
40.96,F#3,0.53
41.50,B2C#3D#3,0.27
41.76,F3,0.27
42.03,F#3,0.27
42.29,G#3,0.27
42.56,F#3,0.27
42.83,F3,0.27
43.09,A2B2D3E3,0.53
43.62,D3,0.50
