# 干物女
# Converted from SkyStudio format
# BPM: 240
# Total chords: 193

Time,Keys,Duration
0.00,A2,0.25
0.25,E3,0.25
0.50,E3,0.25
0.75,D3,0.25
1.00,B2E3,0.50
1.50,E3,0.25
1.75,D3,0.25
2.00,C#3E3,0.25
2.25,E3,0.25
2.50,E3,0.25
2.75,E3,0.25
3.00,A2D3,0.50
3.50,C#3,0.50
4.00,A2,0.25
4.25,D3,0.25
4.50,E3,0.25
4.75,D3,0.25
5.00,B2E3,0.50
5.50,E3,0.25
5.75,D3,0.25
6.00,C#3F3,0.25
6.25,E3,0.25
6.50,F3,0.25
6.75,F#3,0.25
7.00,A#2F3,0.50
7.50,E3,0.50
8.00,A2,0.25
8.25,D3,0.25
8.50,E3,0.25
8.75,D3,0.25
9.00,B2E3,0.50
9.50,E3,0.25
9.75,D3,0.25
10.00,C#3E3,0.25
10.25,E3,0.25
10.50,E3,0.25
10.75,E3,0.25
11.00,A2D3,0.50
11.50,C#3,0.50
12.00,A2,0.25
12.25,E3,0.25
12.50,E3,0.25
12.75,E3,0.25
13.00,B2E3,0.50
13.50,E3,0.25
13.75,D3,0.25
14.00,C#3F3,0.25
14.25,E3,0.25
14.50,F3,0.25
14.75,F#3,0.25
15.00,A#2F3,0.50
15.50,E3,0.50
16.00,A2,0.50
16.50,D3,0.50
17.00,B2E3,0.50
17.50,F#3,0.25
17.75,G#3,0.25
18.00,C#3,0.50
18.50,F#3,0.25
18.75,F3,0.25
19.00,B2,0.25
19.25,F#3,0.50
19.75,F#3,0.25
20.00,A#2F3,0.25
20.25,E3,0.25
20.50,E3,0.25
20.75,D3,0.25
21.00,C#3E3,0.25
21.25,F3,0.50
21.75,F#3,0.25
22.00,B2,0.25
22.25,C#3,0.25
22.50,C#3,0.25
22.75,B2,0.25
23.00,A2D3,0.25
23.25,C#3,0.25
23.50,C#3,0.50
24.00,A2,0.50
24.50,D3,0.50
25.00,B2E3,0.50
25.50,F#3,0.25
25.75,G#3,0.25
26.00,C#3,0.50
26.50,F#3,0.25
26.75,F3,0.25
27.00,B2,0.25
27.25,F#3,0.50
27.75,F#3,0.25
28.00,C#3F3,0.25
28.25,E3,0.25
28.50,E3,0.25
28.75,D3,0.25
29.00,A#2E3,0.25
29.25,F3,0.25
29.50,F#3,0.25
29.75,F3,0.25
30.00,A2,1.00
31.00,A#2,0.25
31.25,E3,0.25
31.50,F3,0.25
31.75,E3,0.25
32.00,B2F#3,0.50
32.50,F#3,0.50
33.00,B2F3,0.25
33.25,E3,0.25
33.50,F3,0.25
33.75,E3,0.25
34.00,C#3F#3,0.50
34.50,F#3,0.50
35.00,C#3F3,0.50
35.50,F3,0.25
35.75,E3,0.25
36.00,A#2F3,0.25
36.25,E3,0.25
36.50,F3,0.25
36.75,E3,0.25
37.00,A#2F3,0.50
37.50,G#3,0.50
38.00,B2F#3,0.50
38.50,F#3,0.50
39.00,B2E3,0.50
39.50,D3,0.25
39.75,C#3,0.25
40.00,B2F#3,0.50
40.50,F#3,0.50
41.00,B2F3,0.25
41.25,E3,0.25
41.50,F3,0.25
41.75,E3,0.25
42.00,C#3F#3,0.50
42.50,F#3,0.50
43.00,C#3F3,0.75
43.75,E3,0.25
44.00,A#2F3,0.25
44.25,E3,0.25
44.50,F3,0.25
44.75,E3,0.25
45.00,A#2F3,0.25
45.25,E3,0.25
45.50,F3,0.25
45.75,G#3,0.25
46.00,A2F#3,0.50
46.50,F3,0.50
47.00,A2E3,0.50
47.50,E3,0.25
47.75,D3,0.25
48.00,A2E3,0.25
48.25,D3,0.25
48.50,A2E3,0.25
48.75,D3,0.25
49.00,E3,0.25
49.25,D3,0.25
49.50,E3,0.25
49.75,E3,0.75
50.50,D3,0.25
50.75,C#3,0.25
51.00,C#3,0.50
51.50,E3,0.25
51.75,D3,0.25
52.00,A2E3,0.25
52.25,D3,0.25
52.50,A2E3,0.25
52.75,D3,0.25
53.00,E3,0.25
53.25,D3,0.25
53.50,E3,0.25
53.75,E3,0.75
54.50,D3,0.25
54.75,C#3,0.25
55.00,C#3,0.50
55.50,E3,0.25
55.75,D3,0.25
56.00,E3,0.50
56.50,E3,0.25
56.75,E3,0.25
57.00,A2C#3G#3,0.50
57.50,E3,0.25
57.75,D3,0.25
58.00,E3,0.50
58.50,E3,0.25
58.75,E3,0.25
59.00,A2C#3G#3,0.50
59.50,E3,0.25
59.75,D3,0.25
60.00,A2E3,0.50
60.50,D3,0.25
60.75,E3,0.25
61.00,B2,0.25
61.25,F3,0.25
61.50,F#3,0.25
61.75,F3,0.25
62.00,C#3,1.00
63.00,A#2,0.50
