# 平凡之路
# Converted from SkyStudio format
# BPM: 300
# Total chords: 210

Time,Keys,Duration
0.00,B2,0.40
0.40,B2,0.40
0.80,D3,0.20
1.00,D3,0.40
1.40,A2,0.40
1.80,A2,0.40
2.20,A#2,0.20
2.40,B2,1.20
3.60,B2,0.40
4.00,B2,0.40
4.40,D3,0.20
4.60,D3,0.40
5.00,C#3,0.20
5.20,C#3,0.40
5.60,C3,0.20
5.80,B2,1.00
6.80,B2,0.40
7.20,B2,0.40
7.60,D3,0.40
8.00,A2,0.40
8.40,A#2,0.40
8.80,B2,1.20
10.00,B2,0.40
10.40,C3,0.40
10.80,A2,0.40
11.20,B2,0.40
11.60,C3,0.20
11.80,C3,0.40
12.20,B2,0.40
12.60,A2,1.00
13.60,B2,0.40
14.00,B2,0.40
14.40,D3,0.20
14.60,D3,0.40
15.00,A2,0.40
15.40,A2,0.40
15.80,A#2,0.20
16.00,B2,1.20
17.20,B2,0.40
17.60,B2,0.40
18.00,D3,0.20
18.20,D3,0.40
18.60,C#3,0.20
18.80,C#3,0.40
19.20,C3,0.20
19.40,B2,1.00
20.40,B2,0.40
20.80,B2,0.40
21.20,D3,0.20
21.40,D3,0.60
22.00,A2,0.40
22.40,A#2,0.40
22.80,B2,0.20
23.00,B2,1.00
24.00,B2,0.40
24.40,C3,0.40
24.80,A2,0.40
25.20,B2,0.40
25.60,C3,0.20
25.80,C3,0.40
26.20,B2,0.40
26.60,A2,1.00
27.60,C#3,0.40
28.00,D3,0.40
28.40,D#3,0.40
28.80,E3,0.40
29.20,D#3,0.20
29.40,E3,0.40
29.80,C#3,0.20
30.00,D3,0.40
30.40,D3,0.80
31.20,C#3,0.40
31.60,C3,0.20
31.80,B2,0.40
32.20,B2,0.40
32.60,B2,0.40
33.00,B2,0.20
33.20,A#2,0.80
34.00,C#3,0.40
34.40,D3,0.40
34.80,D#3,0.40
35.20,E3,0.40
35.60,D#3,0.20
35.80,E3,0.40
36.20,C#3,0.20
36.40,D3,0.40
36.80,D3,0.80
37.60,D3,0.40
38.00,D#3,0.20
38.20,E3,0.60
38.80,E3,0.40
39.20,E3,0.40
39.60,E3,0.20
39.80,F3,0.80
40.60,C#3,0.40
41.00,D3,0.40
41.40,D#3,0.40
41.80,E3,0.40
42.20,D#3,0.20
42.40,E3,0.60
43.00,F#3,0.40
43.40,A3,0.60
44.00,G#3,0.40
44.40,G3,0.40
44.80,F#3,0.60
45.40,F3,0.40
45.80,F3,0.80
46.60,D3,0.40
47.00,D#3,0.40
47.40,E3,0.60
48.00,E3,0.40
48.40,F3,0.20
48.60,E3,0.60
49.20,E3,0.40
49.60,D#3,0.40
50.00,E3,0.20
50.20,F3,0.60
50.80,E3,0.40
51.20,D#3,0.20
51.40,E3,1.20
52.60,B2,0.40
53.00,B2,0.40
53.40,D3,0.20
53.60,D3,0.40
54.00,A2,0.40
54.40,A2,0.40
54.80,A#2,0.20
55.00,B2,1.20
56.20,B2,0.40
56.60,B2,0.40
57.00,D3,0.20
57.20,D3,0.40
57.60,C#3,0.20
57.80,C#3,0.40
58.20,C3,0.20
58.40,B2,1.00
59.40,B2,0.40
59.80,B2,0.40
60.20,D3,0.20
60.40,D3,0.60
61.00,A2,0.40
61.40,A#2,0.40
61.80,B2,0.20
62.00,B2,1.00
63.00,B2,0.40
63.40,C3,0.40
63.80,A2,0.40
64.20,B2,0.40
64.60,C3,0.20
64.80,C3,0.40
65.20,B2,0.40
65.60,A2,1.00
66.60,C#3,0.40
67.00,D3,0.40
67.40,D#3,0.40
67.80,E3,0.40
68.20,D#3,0.20
68.40,E3,0.40
68.80,C#3,0.20
69.00,D3,0.40
69.40,D3,0.80
70.20,C#3,0.40
70.60,C3,0.20
70.80,B2,0.40
71.20,B2,0.40
71.60,B2,0.40
72.00,B2,0.20
72.20,A#2,0.80
73.00,C#3,0.40
73.40,D3,0.40
73.80,D#3,0.40
74.20,E3,0.40
74.60,D#3,0.20
74.80,E3,0.40
75.20,C#3,0.20
75.40,D3,0.40
75.80,D3,0.80
76.60,D3,0.40
77.00,D#3,0.20
77.20,E3,0.60
77.80,E3,0.40
78.20,E3,0.40
78.60,E3,0.20
78.80,F3,0.80
79.60,C#3,0.40
80.00,D3,0.40
80.40,D#3,0.40
80.80,E3,0.40
81.20,D#3,0.20
81.40,E3,0.60
82.00,F#3,0.40
82.40,A3,0.60
83.00,G#3,0.40
83.40,G3,0.40
83.80,F#3,0.60
84.40,F3,0.40
84.80,F3,0.80
85.60,D3,0.40
86.00,D#3,0.40
86.40,E3,0.60
87.00,E3,0.40
87.40,F3,0.20
87.60,E3,0.60
88.20,E3,0.40
88.60,D#3,0.40
89.00,E3,0.20
89.20,F3,0.60
89.80,E3,0.40
90.20,D#3,0.20
90.40,E3,0.50
