# 平行线（前奏）
# Converted from SkyStudio format
# BPM: 720
# Total chords: 52

Time,Keys,Duration
0.00,A#2F3,0.08
0.08,C3,0.08
0.17,D3,0.75
0.91,A3,0.83
1.74,C3G#3,0.08
1.83,D#3,0.08
1.91,F3,1.08
2.99,G3,0.41
3.40,A2F#3,0.08
3.49,B2,0.08
3.57,C#3,0.25
3.82,C3G3,0.41
4.23,C#3G#3,0.83
5.06,C3D3E3,0.83
5.89,B2C#3,0.75
6.64,A#2F3,0.08
6.72,C3,0.08
6.81,D3,0.66
7.47,F#3,0.83
8.30,C3G3,0.08
8.38,D#3,0.08
8.47,F3,0.58
9.05,A3,0.41
9.46,G#3,0.33
9.79,A2,0.08
9.88,B2,0.08
9.96,C#3,0.25
10.21,G3,0.41
10.62,G#3,0.66
11.29,A2A3,0.08
11.37,D3,0.75
12.12,A2C#3,0.83
12.95,A#2C3F3,0.83
13.78,A#2A3D3,0.83
14.61,A2C#3G#3,0.41
15.02,G3,0.41
15.44,F#3,0.41
15.85,G3,0.41
16.27,B2E3,0.41
16.68,C3F3,0.41
17.10,C#3F#3,0.41
17.51,G3,0.41
17.93,G#3,0.41
18.34,G3,0.41
18.76,F#3,0.41
19.17,G3,0.50
19.67,D#3G3,2.16
21.83,A3C3F3,0.91
22.74,B2E3G#3,0.91
23.66,A2E3,0.83
24.48,B2F#3,0.83
25.32,C3G3,0.50
