# 幻听
# Converted from SkyStudio format
# BPM: 410
# Total chords: 236

Time,Keys,Duration
1.46,k,0.29
1.75,k,0.29
2.04,l,0.29
2.34,ly,0.29
2.63,;y,0.29
2.92,i,0.29
3.21,;p,1.46
4.67,y,0.29
4.96,y,0.29
5.26,u,0.29
5.55,;p,0.29
5.84,;,0.58
6.42,l,0.29
6.72,;,0.29
7.01,hly,0.29
7.30,y,0.29
7.59,y,0.29
7.88,kp,0.58
8.47,y,1.75
10.22,ky,0.29
10.51,ky,0.29
10.80,il,0.29
11.10,;,0.29
11.39,m,0.29
11.68,,oy,0.29
11.97,y,0.29
12.26,mo,0.29
12.56,,h,0.58
13.14,y,0.88
14.02,p,0.58
14.60,,p,0.29
14.89,,lp,0.29
15.18,,,0.44
15.62,,p,0.44
16.06,;,0.29
16.35,,py,0.29
16.64,p,0.29
16.94,k,0.29
17.23,;m,2.34
19.56,kp,0.29
19.86,k,0.29
20.15,l,0.29
20.44,;,0.29
20.73,m,0.29
21.02,,y,0.29
21.32,y,0.29
21.61,m,0.29
21.90,,p,0.58
22.48,y,0.88
23.36,p,0.58
23.94,,p,0.29
24.24,,l,0.29
24.53,,l,0.29
24.82,p,0.29
25.11,;,0.58
25.70,im,0.58
26.28,;p,0.58
26.86,jm,0.58
27.45,,,0.29
27.74,l,0.58
28.32,;,0.58
28.91,k,0.29
29.20,;,0.44
29.64,;i,0.44
30.08,k,0.29
30.37,;u,0.58
30.95,l,2.92
33.87,;h,0.44
34.31,;,0.44
34.75,k,0.29
35.04,hi,0.58
35.62,l,3.21
38.84,y,0.29
39.13,y,0.29
39.42,u,0.29
39.71,u,0.29
40.00,i,0.58
40.59,i,2.04
42.63,i,0.29
42.92,i,0.29
43.22,iy,0.58
43.80,u,0.29
44.09,i,0.29
44.38,u,0.88
45.26,y,2.92
48.18,y,0.29
48.47,y,0.29
48.76,u,0.29
49.06,i,0.29
49.35,p,0.29
49.64,ho,0.58
50.22,p,0.29
50.52,h,1.46
51.98,h,0.29
52.27,h,0.29
52.56,hu,0.44
53.00,h,0.44
53.44,i,0.29
53.73,hy,0.88
54.60,py,2.34
56.94,y,0.29
57.23,y,0.29
57.52,u,0.29
57.82,i,0.29
58.11,p,0.29
58.40,ho,0.58
58.98,p,0.29
59.28,h,0.58
59.86,;,1.46
61.32,h,0.29
61.61,h,0.29
61.90,hou,0.44
62.34,h,0.44
62.78,i,0.29
63.07,ipy,0.58
63.66,i,0.58
64.24,pu,0.58
64.82,h,0.29
65.12,u,0.58
65.70,i,0.88
66.58,hy,0.44
67.01,;,0.44
67.45,;,0.29
67.74,;,0.29
68.04,l,0.88
68.91,l,0.58
69.50,k,0.29
69.79,l,1.46
71.25,;h,0.58
71.83,h,0.29
72.12,l,0.58
72.71,kp,3.21
75.92,ky,0.58
76.50,l,0.58
77.09,;oy,0.29
77.38,ky,0.29
77.67,ko,0.29
77.96,hy,0.29
78.26,hy,0.29
78.55,o,0.29
78.84,oy,0.29
79.13,;o,0.29
79.42,;pu,0.29
79.72,nu,0.29
80.01,;p,0.29
80.30,lu,0.29
80.59,p,0.29
80.88,u,0.29
81.18,p,0.29
81.47,u,0.29
81.76,ilp,0.29
82.05,ik,0.29
82.34,kp,0.29
82.64,ip,0.29
82.93,p,0.29
83.22,i,0.29
83.51,i,0.29
83.80,l,0.29
84.10,hil,0.29
84.39,ik,0.29
84.68,hj,0.29
84.97,ik,0.29
85.26,h,0.29
85.56,i,0.29
85.85,hk,0.29
86.14,il,0.29
86.43,,ho,0.29
86.72,o,0.29
87.02,;h,0.29
87.31,;o,0.29
87.60,h,0.29
87.89,lo,0.29
88.18,h,0.29
88.48,o,0.29
88.77,jpu,0.29
89.06,u,0.29
89.35,kp,0.29
89.64,lu,0.29
89.94,p,0.29
90.23,ku,0.29
90.52,p,0.29
90.81,;u,0.29
91.10,ip,0.29
91.40,i,0.29
91.69,p,0.29
91.98,i,0.29
92.27,p,0.29
92.56,i,0.29
92.86,p,0.29
93.15,i,0.29
93.44,p,0.29
93.73,i,0.29
94.02,p,0.29
94.32,i,0.29
94.61,k,0.58
95.19,l,0.58
95.78,;oy,0.29
96.07,ky,0.29
96.36,ko,0.29
96.65,hy,0.29
96.94,ho,0.29
97.24,o,0.29
97.53,oy,0.29
97.82,;o,0.29
98.11,;pu,0.29
98.40,nu,0.29
98.70,;p,0.29
98.99,lu,0.29
99.28,p,0.29
99.57,u,0.29
99.86,p,0.29
100.16,u,0.29
100.45,ilp,0.29
100.74,ik,0.29
101.03,kp,0.29
101.32,ip,0.29
101.62,p,0.29
101.91,i,0.29
102.20,i,0.29
102.49,l,0.29
102.78,hil,0.29
103.08,ik,0.29
103.37,hj,0.29
103.66,ik,0.29
103.95,h,0.29
104.24,i,0.29
104.54,hk,0.29
104.83,i,0.29
105.12,ou,0.58
105.70,hk,0.29
106.00,hk,1.46
107.46,k,0.58
108.04,j,0.29
108.33,h,0.58
108.92,j,0.58
109.50,iky,0.50
