# 幻昼
# Converted from SkyStudio format
# BPM: 281
# Total chords: 76

Time,Keys,Duration
0.00,;,0.64
0.64,m,0.64
1.28,lo,0.64
1.92,l,0.64
2.56,k,0.64
3.19,j,0.43
3.62,m,0.43
4.05,jlp,0.64
4.69,l,0.64
5.33,k,0.64
5.96,j,0.43
6.39,;,0.43
6.82,hik,0.64
7.46,k,0.64
8.09,j,0.64
8.73,h,0.64
9.37,i,0.43
9.80,i,0.43
10.22,k,0.43
10.65,k,0.43
11.08,j,0.43
11.50,j,0.43
11.93,p,0.43
12.35,m,0.43
12.78,lo,0.64
13.42,l,0.64
14.06,k,0.64
14.70,j,0.43
15.12,m,0.43
15.55,jlp,0.64
16.19,l,0.64
16.83,k,0.64
17.47,j,0.43
17.89,;,0.43
18.32,hik,0.64
18.96,k,0.64
19.60,j,0.64
20.23,h,0.64
20.87,i,0.43
21.30,i,0.43
21.73,k,0.43
22.15,k,0.43
22.58,j,0.43
23.00,j,0.43
23.43,p,0.43
23.86,i,0.43
24.28,h,0.43
24.71,p,0.43
25.13,h,0.43
25.56,;kp,0.64
26.20,i,0.64
26.84,h,0.85
27.69,p,0.43
28.12,h,0.43
28.54,jlp,0.85
29.39,k,0.64
30.03,j,0.64
30.67,p,0.64
31.31,i,0.64
31.95,u,0.64
32.59,ky,0.64
33.23,j,0.64
33.87,h,0.64
34.51,p,0.64
35.15,h,0.43
35.57,p,0.43
36.00,h,0.43
36.42,;hk,0.64
37.06,i,0.64
37.70,h,0.85
38.55,p,0.43
38.98,h,0.43
39.41,jlp,0.85
40.26,k,0.64
40.90,j,0.85
41.75,hi,0.50
