# 幻昼CH
# Converted from SkyStudio format
# BPM: 200
# Total chords: 134

Time,Keys,Duration
0.00,E3F#3,0.60
0.60,G#3,0.60
1.20,D#3F3,0.60
1.80,F3,0.60
2.40,D3E3,0.60
3.00,C#3D#3,0.30
3.30,G#3,0.30
3.60,F3,0.60
4.20,F3,0.60
4.80,D3E3,0.60
5.40,D#3,0.30
5.70,F#3,0.30
6.00,D3E3,0.60
6.60,D3E3,0.60
7.20,C#3D#3,0.60
7.80,D3,0.60
8.40,A2B2,0.30
8.70,B2,0.30
9.00,D3E3,0.30
9.30,E3,0.30
9.60,C#3D#3,0.30
9.90,D#3,0.30
10.20,C#3,0.30
10.50,G#3,0.30
10.80,D#3F3,0.60
11.40,D#3F3,0.60
12.00,D3E3,0.60
12.60,D#3,0.30
12.90,G#3,0.30
13.20,D#3F3,0.60
13.80,D#3F3,0.60
14.40,D3E3,0.60
15.00,D#3,0.30
15.30,F#3,0.30
15.60,D3E3,0.60
16.20,D3E3,0.60
16.80,C#3D#3,0.60
17.40,D3,0.60
18.00,A2B2,0.30
18.30,B2,0.30
18.60,D3E3,0.30
18.90,E3,0.30
19.20,C#3D#3,0.30
19.50,D#3,0.30
19.80,B2C#3,0.30
20.10,C#3,0.30
20.40,D3,0.30
20.70,C#3,0.30
21.00,D3,0.30
21.30,E3F#3,0.90
22.20,D3,0.30
22.50,C#3,0.30
22.80,D3,0.30
23.10,D#3F3,0.90
24.00,E3,0.30
24.30,D#3,0.30
24.60,C#3,0.30
24.90,B2,0.30
25.20,A#2,0.30
25.50,E3,0.30
25.80,D#3,0.30
26.10,D3,0.30
26.40,C#3,0.30
26.70,D3,0.30
27.00,C#3,0.30
27.30,D3,0.30
27.60,E3F#3,0.90
28.50,C3D3,0.30
28.80,B2C#3,0.30
29.10,C3D3,0.30
29.40,D#3F3,0.90
30.30,E3,0.30
30.60,D#3,0.90
31.50,C3D3,0.60
32.10,C#3D#3,0.60
32.70,D3,0.60
33.30,A2B2,0.30
33.60,B2,0.30
33.90,D3E3,0.30
34.20,E3,0.30
34.50,C#3D#3,0.30
34.80,D#3,0.30
35.10,C#3,0.30
35.40,G#3,0.30
35.70,D#3F3,0.60
36.30,D#3F3,0.60
36.90,D3E3,0.60
37.50,D#3,0.30
37.80,G#3,0.30
38.10,D#3F3,0.60
38.70,D#3F3,0.60
39.30,D3E3,0.60
39.90,D#3,0.30
40.20,F#3,0.30
40.50,D3E3,0.60
41.10,D3E3,0.60
41.70,C#3D#3,0.60
42.30,D3,0.60
42.90,A2B2,0.30
43.20,A2B2,0.30
43.50,D3E3,0.30
43.80,D3E3,0.30
44.10,C#3D#3,0.30
44.40,C#3D#3,0.30
44.70,B2C#3,0.30
45.00,C#3,0.30
45.30,C3D3,0.30
45.60,B2C#3,0.30
45.90,C3D3,0.30
46.20,E3F#3,0.90
47.10,C3D3,0.30
47.40,B2C#3,0.30
47.70,C3D3,0.30
48.00,D#3F3,0.90
48.90,D3E3,0.30
49.20,C#3D#3,0.30
49.50,B2C#3,0.30
49.80,A2B2,0.30
50.10,A#2A2,0.30
50.40,E3,0.30
50.70,D#3,0.30
51.00,D3,0.30
51.30,C#3,0.30
51.60,D3,0.30
51.90,C#3,0.30
52.20,D3,0.30
52.50,E3F#3,0.90
53.40,C3D3,0.30
53.70,B2C#3,0.30
54.00,C3D3,0.30
54.30,D#3F3,0.90
55.20,E3,0.30
55.50,D#3,1.20
56.70,D3,0.50
