# 幽灵东京
# Converted from SkyStudio format
# BPM: 520
# Total chords: 389

Time,Keys,Duration
0.00,;,0.46
0.46,h,0.23
0.69,k,0.23
0.92,m,0.34
1.26,l,0.34
1.61,;,0.46
2.07,p,0.23
2.30,h,0.23
2.53,k,0.23
2.76,;,0.23
2.99,n,0.12
3.10,;,0.23
3.33,k,0.34
3.68,;,0.46
4.14,h,0.23
4.37,k,0.23
4.60,m,0.34
4.95,l,0.34
5.29,;,0.46
5.75,h,0.23
5.98,k,0.23
6.21,,,0.23
6.44,m,0.23
6.67,;,0.23
6.90,l,0.23
7.13,;,0.23
7.36,;,0.46
7.82,h,0.23
8.05,k,0.23
8.28,m,0.34
8.62,l,0.34
8.97,;,0.46
9.43,p,0.23
9.66,h,0.23
9.89,k,0.23
10.12,;,0.23
10.35,n,0.12
10.46,;,0.23
10.70,k,0.34
11.04,;,0.46
11.50,h,0.23
11.73,k,0.23
11.96,m,0.34
12.30,l,0.34
12.65,k,0.46
13.11,p,0.23
13.34,h,0.23
13.57,;,0.23
13.80,l,0.23
14.03,k,0.23
14.26,p,0.23
14.49,h,0.23
14.72,;,0.46
15.18,;,0.46
15.64,;,0.46
16.10,k,0.23
16.33,l,0.23
16.56,;,0.23
16.79,l,0.23
17.02,k,0.23
17.25,h,0.23
17.48,p,0.23
17.71,h,0.23
17.94,k,0.23
18.17,l,0.23
18.40,;,0.46
18.86,;,0.46
19.32,;,0.23
19.55,l,0.23
19.78,k,0.23
20.01,l,0.23
20.24,;,0.23
20.47,l,0.23
20.70,k,0.23
20.93,,,0.23
21.16,m,0.23
21.39,;,0.23
21.62,h,0.23
21.85,k,0.23
22.08,;,0.12
22.20,l,0.12
22.31,;,0.12
22.43,l,0.12
22.54,;,0.12
22.66,l,0.12
22.77,;,0.12
22.89,n,0.12
23.00,;,0.23
23.23,k,0.23
23.46,k,0.12
23.57,k,0.12
23.69,l,0.12
23.80,k,0.12
23.92,;,0.12
24.04,l,0.12
24.15,;,0.12
24.27,l,0.12
24.38,;,0.23
24.61,;,0.12
24.73,n,0.12
24.84,;,0.23
25.07,k,0.23
25.30,k,0.12
25.41,k,0.12
25.53,l,0.12
25.64,k,0.12
25.76,;,0.34
26.11,;,0.23
26.34,k,0.12
26.45,k,0.12
26.57,l,0.12
26.68,;,0.23
26.91,n,0.12
27.02,;,0.23
27.25,k,0.12
27.37,l,0.23
27.60,k,0.46
28.06,h,0.23
28.29,k,0.23
28.52,;,0.23
28.75,l,0.23
28.98,h,0.23
29.21,k,0.23
29.44,;,0.46
29.90,h,0.23
30.13,k,0.23
30.36,m,0.34
30.70,l,0.34
31.05,;,0.46
31.51,p,0.23
31.74,h,0.23
31.97,k,0.23
32.20,;,0.23
32.43,n,0.12
32.55,;,0.23
32.77,k,0.34
33.12,;,0.46
33.58,h,0.23
33.81,k,0.23
34.04,m,0.34
34.38,l,0.34
34.73,k,0.46
35.19,p,0.23
35.42,h,0.23
35.65,;,0.23
35.88,l,0.23
36.11,k,0.23
36.34,p,0.23
36.57,h,0.23
36.80,;,0.46
37.26,;,0.46
37.72,;,0.46
38.18,k,0.23
38.41,l,0.23
38.64,;,0.23
38.87,l,0.23
39.10,k,0.23
39.33,h,0.23
39.56,p,0.23
39.79,h,0.23
40.02,k,0.23
40.25,l,0.23
40.48,;,0.46
40.94,;,0.46
41.40,;,0.23
41.63,l,0.23
41.86,k,0.23
42.09,l,0.23
42.32,;,0.23
42.55,l,0.23
42.78,k,0.23
43.01,,,0.23
43.24,m,0.23
43.47,;,0.23
43.70,h,0.23
43.93,k,0.23
44.16,;,0.12
44.27,l,0.12
44.39,;,0.12
44.51,l,0.12
44.62,;,0.12
44.73,l,0.12
44.85,;,0.12
44.97,n,0.12
45.08,;,0.23
45.31,k,0.23
45.54,k,0.12
45.66,k,0.12
45.77,l,0.12
45.88,k,0.12
46.00,;,0.12
46.12,l,0.12
46.23,;,0.12
46.34,l,0.12
46.46,;,0.23
46.69,;,0.12
46.80,n,0.12
46.92,;,0.23
47.15,k,0.23
47.38,k,0.12
47.49,k,0.12
47.61,l,0.12
47.73,k,0.12
47.84,;,0.34
48.19,;,0.23
48.41,k,0.12
48.53,k,0.12
48.65,l,0.12
48.76,;,0.12
48.88,n,0.12
48.99,m,0.12
49.10,,,0.23
49.34,;,0.12
49.45,l,0.12
49.56,k,0.46
50.02,h,0.23
50.26,k,0.23
50.48,;,0.23
50.72,l,0.23
50.95,k,0.23
51.17,p,0.23
51.41,h,0.34
51.75,j,0.34
52.09,k,0.46
52.55,p,0.23
52.78,h,0.23
53.02,p,0.23
53.24,h,0.34
53.59,j,0.34
53.94,k,0.46
54.40,k,0.23
54.62,l,0.12
54.74,k,0.23
54.97,;,0.23
55.20,l,0.23
55.43,;,0.12
55.55,n,0.23
55.77,;,0.34
56.12,.,0.23
56.35,/,0.23
56.58,;,0.23
56.81,l,0.23
57.04,k,0.23
57.27,l,0.23
57.50,,,0.23
57.73,m,0.23
57.96,l,0.23
58.19,;,0.46
58.65,h,0.34
58.99,j,0.34
59.34,k,0.46
59.80,p,0.23
60.03,h,0.23
60.26,p,0.23
60.49,h,0.34
60.84,j,0.34
61.18,k,0.46
61.64,k,0.23
61.87,l,0.23
62.10,k,0.23
62.33,;,0.23
62.56,l,0.23
62.79,;,0.23
63.02,l,0.23
63.25,;,0.23
63.48,l,0.23
63.71,;,0.23
63.94,,,0.46
64.40,;,0.46
64.86,;,0.23
65.09,l,0.23
65.32,k,0.23
65.55,;,0.81
66.36,k,0.23
66.58,/,0.23
66.81,.,0.23
67.05,m,0.23
67.28,;,0.23
67.50,m,0.34
67.85,,,0.34
68.19,;,0.23
68.42,,,0.23
68.66,/,0.23
68.89,.,0.23
69.11,;,0.23
69.34,l,0.34
69.69,;,0.34
70.03,k,0.23
70.27,/,0.23
70.50,.,0.23
70.72,m,0.23
70.95,;,0.23
71.19,m,0.34
71.53,,,0.34
71.88,h,0.23
72.11,p,0.23
72.33,i,0.23
72.56,;,0.23
72.80,l,0.23
73.03,l,0.34
73.37,;,0.34
73.72,k,0.23
73.94,/,0.23
74.17,.,0.23
74.41,m,0.23
74.64,;,0.23
74.86,m,0.34
75.21,,,0.23
75.44,;,0.34
75.78,l,0.57
76.36,k,0.12
76.47,l,0.12
76.59,;,0.23
76.82,n,0.23
77.05,m,0.23
77.28,,,0.46
77.74,;,0.23
77.97,l,0.23
78.20,k,0.46
78.66,h,0.23
78.89,k,0.23
79.12,n,0.23
79.35,;,0.23
79.58,k,0.23
79.81,l,0.23
80.04,k,1.96
82.00,h,0.23
82.22,h,0.23
82.45,k,0.23
82.69,;,0.23
82.92,n,0.23
83.14,m,0.23
83.38,;,0.23
83.61,l,0.23
83.83,k,0.23
84.06,j,0.23
84.30,k,0.23
84.53,;,0.46
84.98,h,0.23
85.22,k,0.23
85.44,m,0.34
85.79,l,0.34
86.14,;,0.46
86.59,p,0.23
86.83,h,0.23
87.06,k,0.23
87.28,;,0.23
87.52,n,0.12
87.63,;,0.23
87.86,k,0.34
88.20,;,0.46
88.67,h,0.23
88.89,k,0.23
89.12,m,0.34
89.47,l,0.34
89.81,;,0.46
90.28,h,0.23
90.50,k,0.23
90.73,,,0.23
90.97,m,0.23
91.19,;,0.23
91.42,l,0.23
91.66,;,0.23
91.89,;,0.46
92.34,h,0.23
92.58,k,0.23
92.81,m,0.34
93.15,l,0.34
93.50,;,0.46
93.95,p,0.23
94.19,h,0.23
94.42,k,0.23
94.64,;,0.23
94.88,n,0.12
94.99,;,0.23
95.22,k,0.34
95.56,;,0.46
96.03,h,0.23
96.25,k,0.23
96.48,m,0.34
96.83,l,0.34
97.17,k,0.46
97.64,p,0.23
97.86,h,0.23
98.09,;,0.23
98.33,l,0.23
98.56,k,0.23
