# 忽然之间-简
# Converted from SkyStudio format
# BPM: 260
# Total chords: 212

Time,Keys,Duration
2.76,C#3,0.23
2.99,D3,0.23
3.22,E3,0.23
3.45,F3,0.23
3.68,A2F#3,0.46
4.14,C#3G#3,0.23
4.37,G#3,0.23
4.60,A#2,0.46
5.06,B2,0.46
5.52,D#3,0.46
5.98,C#3,0.46
6.44,A#2,0.23
6.67,F3,0.23
6.90,F#3,0.23
7.13,F3,0.23
7.36,D3F3,0.46
7.82,B2F#3,0.23
8.05,E3,0.23
8.28,D#3,0.46
8.74,A2,0.46
9.20,C#3,0.46
9.66,B2,0.46
10.12,D#3,0.92
11.04,C3,0.23
11.27,F3,0.23
11.50,A2F#3,0.23
11.73,F3,0.23
11.96,D3E3,0.23
12.19,F3,0.23
12.42,C#3,0.23
12.65,D3,0.23
12.88,B2,0.46
13.34,A2,0.46
13.80,C#3,0.92
14.72,A#2,0.23
14.95,F3,0.23
15.18,D3F#3,0.23
15.41,A3,0.23
15.64,C3,0.23
15.87,G#3,0.46
16.33,G#3,0.23
16.56,C#3,0.46
17.02,A#2F3,0.46
17.48,C#3F#3,0.23
17.71,F3,0.23
17.94,E3,0.23
18.17,F3,0.23
18.40,A2B2E3F#3,0.92
19.32,F#3,0.46
19.78,G3,0.23
20.01,F#3,0.23
20.24,D#3F3,0.46
20.70,C#3,0.46
21.16,D#3,0.92
22.08,D3,0.46
22.54,B2,0.46
23.00,E3F#3,0.46
23.46,G3,0.23
23.69,F#3,0.23
23.92,C#3F3,0.46
24.38,B2,0.46
24.84,D#3,0.92
25.76,C3,0.46
26.22,A2,0.46
26.68,D3F#3,0.46
27.14,G3,0.23
27.37,F#3,0.23
27.60,B2E3,0.46
28.06,A2E3,0.23
28.29,C#3,0.46
28.75,C3,0.46
29.21,B2,0.23
29.44,A#2C3,0.46
29.90,D3E3,0.46
30.36,A2E3,0.92
31.28,C#3,0.46
31.74,A#2,0.46
32.20,D#3,0.92
33.12,A2,0.46
33.58,C#3,0.23
33.81,C#3,0.23
34.04,B2F#3,0.46
34.50,G3,0.23
34.73,F#3,0.23
34.96,D#3F3,0.46
35.42,C#3,0.46
35.88,A#2,0.92
36.80,D3,0.46
37.26,B2,0.23
37.49,C#3,0.23
37.72,A2F#3,0.46
38.18,G3,0.23
38.41,F#3,0.23
38.64,C#3F3,0.46
39.10,A#2,0.46
39.56,D#3,0.92
40.48,C3,0.46
40.94,A2C#3,0.23
41.17,C#3,0.23
41.40,D3F#3,0.46
41.86,G3,0.23
42.09,F#3,0.23
42.32,B2E3,0.46
42.78,A2E3,0.23
43.01,C#3,0.23
43.24,A2,0.23
43.47,C3,0.46
43.93,B2,0.23
44.16,A#2C3,0.46
44.62,D3E3,0.46
45.08,A2E3,0.92
46.00,C#3,0.46
46.46,A#2,0.46
46.92,A2C#3,0.46
47.38,F#3,0.46
47.84,A2E3,0.46
48.30,C#3,0.46
48.76,F3,0.46
49.22,C#3,0.46
49.68,F#3,0.92
50.60,F#3,0.46
51.06,G3,0.46
51.52,A2E3F3G#3,0.46
51.98,C#3,0.46
52.44,B2F#3,0.46
52.90,C#3G3,0.23
53.13,G#3,0.23
53.36,D#3,0.46
53.82,C#3G3,0.46
54.28,A#2F#3,0.46
54.74,C#3F3,0.23
54.97,F#3,0.23
55.20,D3,0.46
55.66,B2,0.46
56.12,A2E3,0.46
56.58,B2F3,0.23
56.81,F#3,0.23
57.04,C#3,0.46
57.50,B2F3,0.46
57.96,A2E3,0.46
58.42,B2D#3,0.23
58.65,E3,0.23
58.88,C3,0.46
59.34,A2,0.46
59.80,D3E3,0.46
60.26,A2E3,0.23
60.49,G#3,0.23
60.72,B2,0.46
61.18,A2,0.46
61.64,C#3E3,0.46
62.10,A2E3,0.23
62.33,G3,0.23
62.56,A#2,0.23
62.79,F#3,0.23
63.02,D3G3,0.23
63.25,F#3,0.23
63.48,C3G3,0.46
63.94,D3G#3,0.23
64.17,F#3,0.23
64.40,C#3,0.23
64.63,F3,0.23
64.86,A#2,0.46
65.32,D#3,0.23
65.55,F#3,0.23
65.78,A#2,0.23
66.01,G3,0.23
66.24,A2E3F3G#3,0.46
66.70,C#3,0.46
67.16,B2F#3,0.46
67.62,C#3G3,0.23
67.85,G#3,0.23
68.08,D#3,0.46
68.54,C#3G3,0.46
69.00,A#2F#3,0.46
69.46,C#3F3,0.23
69.69,F#3,0.23
69.92,D3,0.46
70.38,B2,0.46
70.84,A2E3,0.46
71.30,B2F3,0.46
71.76,C#3F#3,0.46
72.22,B2F3,0.46
72.68,A2E3,0.23
72.91,D#3,0.23
73.14,B2,0.46
73.60,C3E3,0.46
74.06,A2,0.46
74.52,D3E3,0.46
74.98,A2E3,0.23
75.21,G#3,0.23
75.44,B2,0.46
75.90,A2,0.46
76.36,C#3E3,0.46
76.82,A2E3,0.23
77.05,G3,0.23
77.28,A#2G3,0.23
77.51,F#3,0.23
77.74,D3G3,0.23
77.97,D3,0.23
78.20,C#3F#3,0.46
78.66,A#2F3,0.46
79.12,A2E3,0.46
79.58,C#3E3,0.46
80.04,E3,0.46
80.50,F3,0.46
80.96,B2,0.46
81.42,C#3,0.46
81.88,E3,0.46
82.34,F3,0.46
82.80,F#3,0.46
83.26,G#3,0.46
83.72,C4E3F#3G#3,0.50
