# 怪可爱的
# Converted from SkyStudio format
# BPM: 720
# Total chords: 395

Time,Keys,Duration
0.66,p,0.33
1.00,p,0.33
1.33,ly,0.33
1.66,;,0.33
1.99,p,0.33
2.32,l,0.33
2.66,;k,0.33
2.99,;,0.33
3.32,p,0.33
3.65,l,0.33
3.98,;k,0.66
4.65,p,0.33
4.98,;,0.33
5.31,kl,0.33
5.64,;,0.33
5.98,mp,0.66
6.64,,hi,0.66
7.30,im,0.33
7.64,;,0.33
7.97,h,0.66
8.63,i,0.66
9.30,h,0.66
9.96,i,0.66
10.62,h,0.66
11.29,ip,0.33
11.62,p,0.33
11.95,ly,0.33
12.28,;,0.33
12.62,p,0.33
12.95,l,0.33
13.28,;k,0.33
13.61,;,0.33
13.94,p,0.33
14.28,l,0.33
14.61,;k,0.66
15.27,p,0.33
15.60,m,0.33
15.94,/k,0.33
16.27,.,0.33
16.60,,p,0.33
16.93,.,0.33
17.26,,hi,0.66
17.93,im,0.33
18.26,;,0.33
18.59,h,0.66
19.26,i,0.66
19.92,h,0.66
20.58,i,0.66
21.25,h,0.33
21.58,;,0.33
21.91,il,0.33
22.24,;,0.33
22.58,lo,0.66
23.24,;y,0.33
23.57,h,0.33
23.90,o,0.33
24.24,l,0.33
24.57,y,0.66
25.23,p,0.33
25.56,l,0.33
25.90,lu,0.33
26.23,;,0.33
26.56,mp,0.66
27.22,u,0.33
27.56,l,0.33
27.89,y,0.33
28.22,;,0.33
28.55,p,0.66
29.22,k,0.66
29.88,p,0.50
30.38,p,0.08
30.46,k,0.08
30.54,;,1.99
32.54,p,0.33
32.87,p,0.33
33.20,ly,0.33
33.53,;,0.33
33.86,p,0.33
34.20,l,0.33
34.53,;k,0.33
34.86,;,0.33
35.19,p,0.33
35.52,l,0.33
35.86,;k,0.66
36.52,p,0.33
36.85,;,0.33
37.18,kl,0.33
37.52,;,0.33
37.85,mp,0.33
38.18,m,0.33
38.51,hi,0.33
38.84,j,0.33
39.18,i,0.33
39.51,k,0.33
39.84,h,0.66
40.50,i,0.66
41.17,h,0.66
41.83,i,0.66
42.50,h,0.66
43.16,ip,0.33
43.49,p,0.33
43.82,ly,0.33
44.16,;,0.33
44.49,p,0.33
44.82,l,0.33
45.15,;k,0.33
45.48,;,0.33
45.82,p,0.33
46.15,l,0.33
46.48,;k,0.66
47.14,p,0.33
47.48,m,0.33
47.81,/k,0.33
48.14,.,0.33
48.47,,p,0.33
48.80,.,0.33
49.14,,hi,0.33
49.47,m,0.33
49.80,i,0.33
50.13,;,0.33
50.46,h,0.66
51.13,i,0.66
51.79,h,0.66
52.46,i,0.66
53.12,h,0.33
53.45,;,0.33
53.78,il,0.33
54.12,;,0.33
54.45,lo,0.66
55.11,;y,0.33
55.44,h,0.33
55.78,o,0.33
56.11,l,0.33
56.44,y,0.66
57.10,p,0.33
57.44,l,0.33
57.77,lu,0.33
58.10,;,0.33
58.43,mp,0.66
59.10,u,0.33
59.43,;,0.33
59.76,y,0.33
60.09,k,0.33
60.42,p,0.66
61.09,k,0.66
61.75,p,0.50
62.25,p,0.08
62.33,k,0.08
62.42,;,1.00
63.41,;,0.33
63.74,ilp,0.33
64.08,;,0.33
64.41,;km,0.66
65.07,hoy,0.66
65.74,;,0.33
66.07,l,0.33
66.40,oy,0.33
66.73,;,0.33
67.06,ho,0.33
67.40,l,0.33
67.73,pu,1.00
68.72,;,0.33
69.06,lpu,0.33
69.39,;,0.33
69.72,jmp,0.66
70.38,ip,0.66
71.05,l,0.33
71.38,k,0.33
71.71,ip,0.33
72.04,j,0.33
72.38,ip,0.33
72.71,h,0.33
73.04,iy,1.00
74.04,;,0.33
74.37,hil,0.33
74.70,;,0.33
75.03,;km,0.66
75.70,hoy,0.66
76.36,;,0.33
76.69,l,0.33
77.02,oy,0.33
77.36,;,0.33
77.69,ho,0.33
78.02,l,0.33
78.35,pu,1.00
79.35,l,0.33
79.68,kpu,0.33
80.01,l,0.33
80.34,jkp,0.33
80.68,l,0.33
81.01,;ipy,1.33
82.34,ipy,0.66
83.00,ikp,0.33
83.33,ij,1.33
84.66,;,0.33
84.99,ijl,0.33
85.32,;,0.33
85.66,ijm,0.33
85.99,m,0.33
86.32,hoy,0.66
86.98,;,0.33
87.32,l,0.33
87.65,oy,0.33
87.98,;,0.33
88.31,ho,0.33
88.64,l,0.33
88.98,pu,1.00
89.97,;,0.33
90.30,lpu,0.33
90.64,;,0.33
90.97,jmp,0.33
91.30,m,0.33
91.63,ip,0.66
92.30,l,0.33
92.63,k,0.33
92.96,ip,0.33
93.29,j,0.33
93.62,ip,0.33
93.96,h,0.33
94.29,iy,1.00
95.28,;,0.33
95.62,hil,0.33
95.95,;,0.33
96.28,;km,0.66
96.94,hoy,1.33
98.27,oy,0.66
98.94,hoy,0.33
99.27,jpu,2.99
102.26,u,0.66
102.92,p,0.66
103.58,j,1.33
104.91,ly,0.33
105.24,;,0.33
105.58,p,0.33
105.91,l,0.33
106.24,;k,0.33
106.57,;,0.33
