# 怪咖
# Converted from SkyStudio format
# BPM: 240
# Total chords: 277

Time,Keys,Duration
1.75,C3D#3F#3,0.50
2.25,E3,0.50
2.75,F#3,0.50
3.25,E3,0.50
3.75,C#3F#3,0.50
4.25,E3,0.50
4.75,F#3,0.50
5.25,E3,0.50
5.75,D#3D3F#3,0.50
6.25,E3,0.50
6.75,F#3,0.50
7.25,E3,0.50
7.75,F#3,1.50
9.25,C3D#3F#3,0.50
9.75,E3,0.50
10.25,F#3,0.50
10.75,E3,0.50
11.25,C#3F#3,0.50
11.75,E3,0.50
12.25,F#3,0.50
12.75,E3,0.50
13.25,D#3D3F#3,0.50
13.75,E3,0.50
14.25,F#3,0.50
14.75,E3,0.50
15.25,F#3,1.50
16.75,C3F3,0.25
17.00,F#3,0.25
17.25,A2,0.25
17.50,D3F3,0.25
17.75,F#3,0.25
18.00,A2,0.50
18.50,F3,0.25
18.75,E3,0.25
19.00,F#3,0.25
19.25,C#3,0.25
19.50,C#3D#3,0.25
19.75,E3,0.25
20.00,F#3,0.50
20.50,D3F#3,0.25
20.75,F#3,0.50
21.25,D#3E3,0.25
21.50,B2,0.25
21.75,E3F#3,1.50
23.25,A#2F3,0.25
23.50,F#3,0.25
23.75,D3,0.50
24.25,F3,0.25
24.50,F#3,0.25
24.75,D3,0.25
25.00,F#3,0.25
25.25,C#3F3,0.25
25.50,E3,0.25
25.75,A#2,0.25
26.00,E3,0.25
26.25,C4,0.25
26.50,D#3,0.25
26.75,A#3,0.25
27.00,F#3,0.50
27.50,A2,0.25
27.75,C#3,0.25
28.00,D#3,0.25
28.25,C#3,0.25
28.50,E3F#3,0.75
29.25,G#3,0.25
29.50,A#2G#3,0.25
29.75,E3,0.25
30.00,C3D3,0.50
30.50,C3D3,0.50
31.00,C3D3,0.25
31.25,D#3,0.25
31.50,F3,0.50
32.00,C#3G3,0.25
32.25,C3,0.25
32.50,D#3G#3,0.25
32.75,C#3C3F3,0.25
33.00,F#3,0.25
33.25,F3,1.00
34.25,C#3F3,0.25
34.50,F#3,0.25
34.75,C3,0.25
35.00,C3D3F3,0.25
35.25,F#3,0.50
35.75,F#3,0.25
36.00,C#3F3,0.25
36.25,E3,0.25
36.50,C3,0.25
36.75,G#3,0.25
37.00,C3D3G#3,0.25
37.25,E3,0.50
37.75,F#3,0.50
38.25,D3F#3,0.25
38.50,B2F3,0.25
38.75,D#3E3F#3F3,0.25
39.00,A#3,0.25
39.25,A3D#3E3F#3,0.50
39.75,D#3E3F#3,0.50
40.25,B2F3,0.25
40.50,F#3,0.25
40.75,A#2F3,0.25
41.00,F#3,0.25
41.25,D3,0.25
41.50,C3D3E3F3,0.25
41.75,F#3,0.75
42.50,C#3F3,0.25
42.75,E3,0.25
43.00,A#2,0.25
43.25,C4,0.25
43.50,C#3D#3,0.25
43.75,A#3,0.25
44.00,F#3,0.50
44.50,A2B2,0.50
45.00,C#3F#3,0.50
45.50,A#3D#3E3F#3,0.50
46.00,F3,0.50
46.50,D#3E3F#3G#3,0.50
47.00,D#3E3F#3,0.50
47.50,C#3G#3,0.50
48.00,A#2A3,0.25
48.25,D3,0.25
48.50,G3,0.25
48.75,C3D3E3G3,0.50
49.25,F#3,0.25
49.50,F3,0.25
49.75,C3D3E3F3,0.75
50.50,C3D3E3G#3,0.25
50.75,G#3,0.25
51.00,C3D3E3G#3,0.25
51.25,B2,0.25
51.50,D3E3G3,0.25
51.75,B2,0.25
52.00,B2D#3D3F#3,0.50
52.50,B2D3F3,1.00
53.50,F#3,0.75
54.25,C3D3F3,0.25
54.50,F#3,0.25
54.75,A2F3,0.25
55.00,F#3,0.25
55.25,C3D3G#3,0.25
55.50,F#3,0.25
55.75,A2F3,0.25
56.00,F#3,0.25
56.25,C3,0.50
56.75,A#2,0.50
57.25,C#3D#3,0.50
57.75,A#2F#3,0.50
58.25,B2C#3F3,0.25
58.50,F#3,0.25
58.75,D#3F3,0.25
59.00,F#3,0.25
59.25,B2C#3D#3G#3,0.25
59.50,F#3,0.25
59.75,D#3G#3,0.50
60.25,D3,0.50
60.75,D3,0.50
61.25,B2,0.50
61.75,D3E3,0.25
62.00,B2,0.25
62.25,F#3,0.50
62.75,A#2C3F3,0.25
63.00,F#3,0.25
63.25,A#2D3,0.25
63.50,F3,0.25
63.75,D3E3,0.25
64.00,F#3,0.25
64.25,A#2,0.25
64.50,G#3,0.25
64.75,C#3F3,0.25
65.00,F#3,0.25
65.25,A#2C#3,0.25
65.50,F3,0.25
65.75,C#3D#3,0.25
66.00,G#3,0.25
66.25,A#2,0.25
66.50,D#3,0.50
67.00,A2,0.25
67.25,C#3,0.50
67.75,D#3F#3,0.25
