# 恋爱裁判
# Converted from SkyStudio format
# BPM: 528
# Total chords: 277

Time,Keys,Duration
0.90,p,0.11
1.02,h,0.11
1.13,j,0.11
1.24,k,0.11
1.36,l,0.11
1.47,;,0.11
1.58,n,0.11
1.70,m,0.11
1.81,ho,0.34
2.15,;h,0.34
2.49,lp,0.45
2.94,jpu,0.23
3.16,jpu,0.45
3.62,pu,0.34
3.96,jl,0.34
4.29,k,0.45
4.75,ip,0.23
4.97,h,0.23
5.20,p,0.23
5.42,hou,0.34
5.76,;h,0.11
5.88,y,0.23
6.10,jlp,0.45
6.55,jm,0.23
6.78,jmu,0.23
7.01,jm,0.23
7.23,no,0.11
7.34,;i,0.23
7.57,lu,0.34
7.91,ky,0.11
8.02,lu,0.34
8.36,;iy,0.68
9.04,ho,0.34
9.38,;h,0.34
9.72,lp,0.45
10.17,lu,0.23
10.40,;p,0.23
10.62,lu,0.23
10.85,pu,0.34
11.19,l,0.34
11.53,hk,0.45
11.98,py,0.23
12.20,hi,0.23
12.43,p,0.23
12.66,hou,0.34
12.99,;h,0.11
13.11,y,0.23
13.33,jlp,0.45
13.79,jm,0.23
14.01,jmu,0.23
14.24,jm,0.23
14.46,no,0.11
14.58,;i,0.23
14.80,lu,0.34
15.14,ky,0.11
15.26,lu,0.34
15.59,;ku,0.45
16.05,y,0.23
16.27,ho,0.34
16.61,;h,0.34
16.95,lp,0.45
17.40,l,0.23
17.63,;u,0.23
17.85,l,0.23
18.08,pu,0.34
18.42,hl,0.34
18.76,hk,0.45
19.21,k,0.11
19.32,j,0.11
19.44,ky,0.23
19.66,p,0.23
19.89,hou,0.34
20.23,jy,0.34
20.57,hk,0.23
20.79,ijlp,0.34
21.13,ju,0.34
21.47,p,0.23
21.70,;hk,0.34
22.04,;hk,0.34
22.37,;hk,1.13
23.50,;ho,0.68
24.18,;o,0.23
24.41,lp,0.34
24.75,k,0.34
25.09,;h,0.23
25.31,hl,0.23
25.54,h,0.23
25.76,hy,0.23
25.99,p,0.23
26.22,hu,0.23
26.44,h,0.11
26.55,iky,0.34
26.89,h,0.23
27.12,;ho,0.68
27.80,;o,0.23
28.02,lp,0.34
28.36,kp,0.34
28.70,;h,0.23
28.93,l,0.23
29.15,hk,0.23
29.38,ky,0.23
29.61,k,0.11
29.72,hmu,0.34
30.06,n,0.23
30.28,;iy,0.23
30.51,n,0.23
30.74,;jo,0.90
31.64,lp,0.34
