# 恋爱裁判
# Converted from SkyStudio format
# BPM: 500
# Total chords: 300

Time,Keys,Duration
0.00,A2C3D3,0.36
0.36,F#3,0.36
0.72,C#3D#3F3,0.48
1.20,D#3,0.24
1.44,D3,0.24
1.68,C#3,0.24
1.92,A2B2C#3,0.36
2.28,F3,0.36
2.64,A2C3E3,0.48
3.12,C#3,0.24
3.36,B2,0.24
3.60,C#3,0.24
3.84,A2C3D3,0.36
4.20,F#3,0.36
4.56,C#3D#3F3,0.48
5.04,G#3,0.24
5.28,C3D3,0.12
5.40,E3,0.12
5.52,F3,0.12
5.64,F#3,0.12
5.76,C#3G3,0.12
5.88,F#3,0.24
6.12,C#3F3,0.24
6.36,E3,0.24
6.60,C3F3,0.36
6.96,C#3F#3,0.72
7.68,A2C3D3,0.36
8.04,F#3,0.36
8.40,C#3D#3F3,0.48
8.88,F3,0.24
9.12,F#3,0.24
9.36,F3,0.24
9.60,A2B2C#3,0.36
9.96,F3,0.36
10.32,A2C3E3,0.36
10.68,E3,0.12
10.80,D#3,0.12
10.92,E3,0.24
11.16,C#3,0.24
11.40,A2C3D3,0.36
11.76,F#3,0.36
12.12,C#3D#3F3,0.48
12.60,C#3G#3,0.48
13.08,G#3,0.24
13.32,C#3G3,0.12
13.44,F#3,0.24
13.68,F3,0.24
13.92,E3,0.24
14.16,C3F3,0.36
14.52,C#3F#3,0.72
15.24,A2C3D3,0.36
15.60,F#3,0.36
15.96,C#3D#3F3,0.48
16.44,F3,0.24
16.68,F#3,0.24
16.92,F3,0.24
17.16,A2B2C#3,0.36
17.52,F3,0.36
17.88,A2C3E3,0.48
18.36,E3,0.12
18.48,D#3,0.12
18.60,E3,0.24
18.84,C#3,0.24
19.08,A2C3D3,0.36
19.44,D#3,0.36
19.80,E3,0.24
20.04,A2C3D#3,0.36
20.40,C#3,0.36
20.76,D#3,0.24
21.00,A2C3D3,0.36
21.36,A2C3D3,0.36
21.72,A2C3D3,1.20
22.92,A2C3F#3,0.72
23.64,F#3,0.24
23.88,C#3D#3F3,0.36
24.24,E3,0.36
24.60,F#3,0.24
24.84,C#3D#3F3,0.24
25.08,D3,0.24
25.32,D3,0.24
25.56,C#3,0.24
25.80,C3D3,0.24
26.04,D3,0.12
26.16,E3,0.36
26.52,D3,0.24
26.76,A2C3F#3,0.72
27.48,F#3,0.24
27.72,C#3D#3F3,0.36
28.08,E3,0.36
28.44,F#3,0.24
28.68,C#3D#3F3,0.24
28.92,E3,0.24
29.16,E3,0.24
29.40,E3,0.12
29.52,A2C#3G#3,0.36
29.88,G3,0.24
30.12,C3F#3,0.24
30.36,G3,0.12
30.48,C3F#3,0.96
31.44,C#3D#3F3,0.36
31.80,E3,0.36
32.16,F#3,0.24
32.40,C#3D#3F3,0.24
32.64,D3,0.24
32.88,D3,0.24
33.12,C#3,0.24
33.36,C3D3,0.36
33.72,E3,0.36
34.08,C3D3,0.48
