# 悬溺简单版
# Converted from SkyStudio format
# BPM: 300
# Total chords: 234

Time,Keys,Duration
0.80,;ho,0.80
1.60,hk,0.80
2.40,hk,0.80
3.20,;h,0.80
4.00,jmp,0.80
4.80,jl,0.80
5.60,jm,0.80
6.40,jm,0.80
7.20,imp,0.80
8.00,lp,0.80
8.80,lp,0.80
9.60,mp,0.80
10.40,hk,0.40
10.80,p,0.40
11.20,hk,0.80
12.00,k,0.80
12.80,l,0.20
13.00,m,0.20
13.20,;,0.40
13.60,o,0.40
14.00,l,0.20
14.20,/,0.20
14.40,;oy,0.20
14.60,,,0.40
15.00,;,0.20
15.20,loy,0.80
16.00,;oy,0.20
16.20,m,0.20
16.40,m,0.40
16.80,mp,0.40
17.20,,,0.20
17.40,m,0.20
17.60,lpu,0.20
17.80,l,0.20
18.00,m,0.40
18.40,mpu,0.80
19.20,;pu,0.20
19.40,m,0.20
19.60,m,0.40
20.00,il,0.40
20.40,m,0.20
20.60,m,0.20
20.80,imy,0.20
21.00,,,0.40
21.40,;,0.20
21.60,ily,0.80
22.40,ily,0.20
22.60,m,0.20
22.80,l,0.20
23.00,;,0.20
23.20,hl,0.20
23.40,;,0.20
23.60,,,0.20
23.80,m,0.20
24.00,hik,0.20
24.20,l,0.20
24.40,;,0.40
24.80,;hi,0.80
25.60,hil,0.20
25.80,;,0.20
26.00,;,0.40
26.40,oy,0.80
27.20,oy,0.60
27.80,k,0.20
28.00,koy,0.20
28.20,j,0.20
28.40,j,0.20
28.60,h,0.20
28.80,hoy,0.20
29.00,p,0.40
29.40,i,0.20
29.60,u,0.20
29.80,i,0.20
30.00,p,0.20
30.20,p,0.20
30.40,pu,0.80
31.20,pu,0.60
31.80,u,0.20
32.00,pu,0.80
32.80,i,0.80
33.60,iy,0.20
33.80,p,0.40
34.20,p,0.20
34.40,ipy,0.20
34.60,h,0.40
35.00,i,0.20
35.20,hiy,0.40
35.60,p,0.40
36.00,i,0.80
36.80,iy,0.80
37.60,iy,0.80
38.40,iy,0.80
39.20,o,0.80
40.00,oy,0.40
40.40,h,0.20
40.60,h,0.20
40.80,;oy,0.20
41.00,;,0.20
41.20,l,0.40
41.60,loy,0.40
42.00,l,0.20
42.20,j,0.20
42.40,p,0.80
43.20,pu,0.80
44.00,pu,0.80
44.80,pu,0.80
45.60,lu,0.40
46.00,k,0.20
46.20,l,0.20
46.40,pu,0.20
46.60,p,0.40
47.00,p,0.20
47.20,pu,0.20
47.40,p,0.20
47.60,p,0.20
47.80,p,0.20
48.00,jpu,0.20
48.20,h,0.20
48.40,h,0.40
48.80,i,0.80
49.60,hi,0.80
50.40,hi,0.80
51.20,hi,0.20
51.40,k,0.20
51.60,j,0.20
51.80,h,0.20
52.00,ho,0.20
52.20,,,0.20
52.40,my,0.20
52.60,;,0.20
52.80,loy,0.20
53.00,;,0.40
53.40,h,0.20
53.60,oy,0.20
53.80,,,0.20
54.00,m,0.20
54.20,;,0.20
54.40,loy,0.20
54.60,;,0.40
55.00,h,0.20
55.20,p,0.20
55.40,,,0.20
55.60,mu,0.20
55.80,;,0.20
56.00,lpu,0.20
56.20,;,0.40
56.60,h,0.20
56.80,pu,0.20
57.00,k,0.60
57.60,mpu,0.20
57.80,;,0.20
58.00,l,0.40
58.40,i,0.20
58.60,,,0.20
58.80,hm,0.20
59.00,;,0.20
59.20,hil,0.20
59.40,;,0.40
59.80,h,0.20
60.00,hi,0.20
60.20,,h,0.20
60.40,mp,0.20
60.60,;i,0.20
60.80,hilu,0.20
61.00,;i,0.40
61.40,h,0.20
61.60,u,0.20
61.80,,,0.20
62.00,mp,0.20
62.20,;,0.20
62.40,lpu,0.20
62.60,;,0.40
63.00,h,0.20
63.20,pu,0.20
63.40,,,0.20
63.60,m,0.20
63.80,;,0.20
64.00,/kpu,0.40
64.40,.j,0.40
64.80,ho,0.20
65.00,,,0.20
65.20,my,0.20
65.40,;,0.20
65.60,loy,0.20
65.80,;,0.40
66.20,h,0.20
66.40,oy,0.20
66.60,,,0.20
66.80,m,0.20
67.00,;,0.20
67.20,loy,0.20
67.40,;,0.40
67.80,h,0.20
68.00,p,0.20
68.20,,,0.20
68.40,mu,0.20
68.60,;,0.20
68.80,lpu,0.20
69.00,;,0.40
69.40,h,0.20
69.60,pu,0.20
69.80,k,0.60
70.40,.pu,0.20
70.60,/,0.20
70.80,.,0.20
71.00,m,0.20
71.20,i,0.20
71.40,,,0.20
71.60,hm,0.20
71.80,;,0.20
72.00,hil,0.20
72.20,;,0.40
72.60,h,0.20
72.80,hi,0.20
73.00,,h,0.20
73.20,mp,0.20
73.40,;i,0.20
73.60,hilu,0.20
73.80,;i,0.40
74.20,h,0.20
74.40,;h,0.20
74.60,,,0.20
74.80,mp,0.20
75.00,;,0.20
75.20,hil,0.20
75.40,;,0.40
75.80,h,0.20
76.00,;hi,0.20
76.20,,,0.20
76.40,m,0.20
76.60,;,0.20
76.80,/;hik,0.40
77.20,.j,0.40
77.60,,;hk,0.50
