# 情非得已
# Converted from SkyStudio format
# BPM: 420
# Total chords: 679

Time,Keys,Duration
0.00,my,0.28
0.28,i,0.28
0.57,p,0.28
0.85,i,0.28
1.14,y,0.28
1.42,i,0.28
1.70,p,0.28
1.99,i,0.28
2.27,p,0.28
2.56,jm,0.28
2.84,lu,0.14
2.98,l,0.14
3.12,jk,0.28
3.41,hk,0.28
3.69,y,0.28
3.98,i,0.28
4.26,y,0.28
4.54,ko,0.28
4.83,h,0.28
5.11,y,0.28
5.40,h,0.28
5.68,ij,0.28
5.96,p,0.28
6.25,j,0.28
6.53,p,0.28
6.82,hu,0.28
7.10,o,0.28
7.38,h,0.57
7.95,p,0.28
8.24,i,0.28
8.52,i,0.28
8.80,o,0.28
9.09,py,0.28
9.37,o,0.28
9.66,iy,0.28
9.94,p,0.57
10.51,o,0.28
10.79,i,0.28
11.08,u,0.57
11.64,u,0.28
11.93,p,0.28
12.21,j,0.57
12.78,u,0.28
13.06,i,0.28
13.35,u,0.28
13.63,u,0.28
13.92,y,0.57
14.48,ik,0.85
15.34,i,0.28
15.62,p,0.28
15.90,i,0.28
16.19,j,0.28
16.47,i,0.28
16.76,p,0.28
17.04,p,0.57
17.61,y,0.28
17.89,y,0.28
18.18,u,0.57
18.74,y,0.28
19.03,y,0.85
19.88,o,0.28
20.16,hko,0.28
20.45,ju,0.57
21.02,hip,0.28
21.30,p,0.85
22.15,ijp,0.57
22.72,y,0.28
23.00,y,0.28
23.29,o,0.28
23.57,y,0.57
24.14,i,0.28
24.42,y,0.28
24.71,u,0.28
24.99,p,0.28
25.28,u,0.28
25.56,p,0.28
25.84,j,0.28
26.13,u,0.28
26.41,;,0.28
26.70,;,0.28
26.98,n,0.28
27.26,my,0.28
27.55,n,0.28
27.83,;ipy,0.28
28.12,n,0.28
28.40,m,0.28
28.68,,,0.28
28.97,;ipy,0.28
29.25,l,0.28
29.54,j,0.28
29.82,p,0.28
30.10,j,0.28
30.39,u,0.57
30.96,p,0.28
31.24,;,0.28
31.52,l,0.28
31.81,hl,0.28
32.09,k,0.28
32.38,hiy,0.28
32.66,/;,0.57
33.23,/;,0.28
33.51,;hiy,0.28
33.80,jm,0.28
34.08,i,0.28
34.36,j,0.28
34.65,i,0.28
34.93,p,0.28
35.22,j,0.28
35.50,p,0.28
35.78,i,0.28
36.07,jm,0.28
36.35,,ko,0.57
36.92,/n,0.28
37.20,/ny,0.57
37.77,o,0.28
38.06,y,0.28
38.34,/,0.28
38.62,.lu,0.57
39.19,,k,0.28
39.48,ijmp,0.57
40.04,p,0.28
40.33,ijmp,0.28
40.61,mp,0.28
40.90,,ho,0.28
41.18,/k,0.28
41.46,/hkoy,0.28
41.75,,,0.28
42.03,/hkoy,0.28
42.32,,h,0.28
42.60,/k,0.28
42.88,/k,0.28
43.17,p,0.28
43.45,u,0.28
43.74,p,0.28
44.02,j,0.28
44.30,u,0.28
44.59,p,0.28
44.87,k,0.28
45.16,l,0.28
45.44,;y,0.28
45.72,lp,0.28
46.01,il,0.28
46.29,kp,0.28
46.58,k,0.28
46.86,kp,0.28
47.14,i,0.28
47.43,mp,0.28
47.71,jm,0.28
48.00,p,0.28
48.28,i,0.28
48.56,p,0.57
49.13,p,0.28
49.42,;i,0.28
49.70,mp,0.28
49.98,hn,0.28
50.27,;p,0.28
50.55,;i,0.28
50.84,lp,0.28
51.12,;,0.28
51.40,i,0.28
51.69,ny,0.28
51.97,;i,0.28
52.26,i,0.28
52.54,j,0.28
52.82,p,0.28
53.11,j,0.28
53.39,j,0.28
53.68,j,0.28
53.96,;p,0.28
54.24,jl,0.28
54.53,lo,0.28
54.81,ky,0.28
55.10,hk,0.28
55.38,hy,0.28
55.66,k,0.28
55.95,k,0.28
56.23,hl,0.28
56.52,hy,0.28
56.80,i,0.28
57.08,p,0.28
57.37,p,0.28
57.65,j,0.57
58.22,j,0.28
58.50,p,0.28
58.79,p,0.28
59.07,ho,0.28
59.36,ky,0.28
59.64,hk,0.28
59.92,hy,0.28
60.21,;,0.28
60.49,ly,0.28
60.78,hk,0.28
61.06,ky,0.28
61.34,lp,0.28
61.63,u,0.28
61.91,j,0.28
62.20,u,0.57
62.76,ip,0.28
63.05,jk,0.28
63.33,il,0.28
63.62,;y,0.28
63.90,lp,0.28
64.18,il,0.28
64.47,kp,0.28
64.75,k,0.28
65.04,kp,0.28
65.32,i,0.28
65.60,mp,0.28
65.89,j,0.28
66.17,p,0.28
