# 成全 
# Converted from SkyStudio format
# BPM: 320
# Total chords: 565

Time,Keys,Duration
2.99,ky,0.75
3.74,ky,0.75
4.49,ky,0.75
5.24,ky,0.75
5.98,/ky,0.75
6.73,ky,0.75
7.48,ky,0.75
8.23,ky,0.75
8.98,.ky,0.75
9.72,ky,0.37
10.10,,,0.37
10.47,ky,0.75
11.22,ky,0.75
11.97,,ky,0.75
12.72,ky,0.37
13.09,m,0.37
13.46,ky,0.75
14.21,kmy,0.37
14.59,n,0.19
14.77,;,0.19
14.96,kny,0.75
15.71,ky,0.37
16.08,;,0.37
16.46,ky,0.75
17.20,ky,0.75
17.95,ho,0.75
18.70,o,0.37
19.07,j,0.37
19.45,o,0.75
20.20,o,0.75
20.94,o,2.99
23.94,py,0.37
24.31,;,0.19
24.50,l,0.19
24.68,;py,0.37
25.06,l,0.19
25.25,;,0.19
25.43,py,0.75
26.18,lpy,0.37
26.55,m,0.19
26.74,j,0.19
26.93,ily,0.37
27.30,k,0.37
27.68,iy,0.75
28.42,iy,0.75
29.17,iy,0.56
29.73,l,0.19
29.92,;ip,0.19
30.11,l,0.19
30.29,;,0.19
30.48,l,0.19
30.67,;ip,0.37
31.04,m,0.37
31.42,ip,0.37
31.79,n,0.37
32.16,;ip,0.37
32.54,l,0.19
32.73,n,0.19
32.91,iy,0.19
33.10,;,0.56
33.66,iy,0.75
34.41,ik,0.75
35.16,ik,0.75
35.90,h,0.37
36.28,,y,0.19
36.47,,,0.19
36.65,,h,0.37
37.03,,y,0.19
37.21,m,0.19
37.40,p,0.37
37.77,ky,0.37
38.15,i,0.37
38.52,y,0.37
38.90,p,0.37
39.27,u,0.37
39.64,lp,0.37
40.02,u,0.19
40.20,;,0.19
40.39,lp,0.37
40.77,ik,0.37
41.14,p,0.19
41.33,k,0.19
41.51,il,0.19
41.70,;,0.19
41.89,kn,0.37
42.26,hm,0.37
42.64,;k,0.37
43.01,;h,0.37
43.38,hk,0.37
43.76,o,0.37
44.13,h,0.37
44.51,ko,0.37
44.88,lp,0.37
45.25,u,0.37
45.63,p,0.37
46.00,u,0.37
46.38,p,0.37
46.75,u,0.37
47.12,p,0.37
47.50,u,0.37
47.87,py,0.37
48.25,;,0.19
48.43,l,0.19
48.62,;py,0.37
48.99,l,0.19
49.18,;,0.19
49.37,py,0.75
50.12,lpy,0.37
50.49,m,0.19
50.68,j,0.19
50.86,ily,0.37
51.24,k,0.37
51.61,iy,0.75
52.36,iy,0.75
53.11,iy,0.56
53.67,l,0.19
53.86,;ip,0.19
54.04,l,0.19
54.23,;,0.19
54.42,l,0.19
54.60,;ip,0.37
54.98,m,0.37
55.35,ip,0.37
55.73,n,0.37
56.10,;ip,0.37
56.47,l,0.19
56.66,n,0.19
56.85,iy,0.19
57.03,;,0.56
57.60,iy,0.75
58.34,ik,0.75
59.09,ik,0.75
59.84,h,0.37
60.21,,y,0.19
60.40,,,0.19
60.59,,h,0.37
60.96,,y,0.19
61.15,m,0.19
61.34,p,0.37
61.71,ky,0.37
62.08,i,0.37
62.46,y,0.37
62.83,p,0.37
63.21,u,0.37
63.58,lp,0.37
63.95,u,0.19
64.14,;,0.19
64.33,lp,0.37
64.70,ik,0.37
65.08,p,0.19
65.26,k,0.19
65.45,il,0.19
65.64,;,0.19
65.82,kn,0.37
66.20,/h,0.19
66.39,/,0.19
66.57,k,0.37
66.95,mp,0.19
67.13,m,0.19
67.32,,j,0.19
67.51,m,0.19
67.69,im,0.37
68.07,;j,0.37
68.44,il,0.19
68.63,k,0.19
68.82,p,0.37
69.19,y,0.37
69.56,p,0.37
69.94,y,0.37
70.31,p,0.37
70.69,y,0.37
71.06,p,0.37
71.43,y,0.37
71.81,py,0.75
72.56,py,0.37
72.93,;,0.37
73.30,;py,0.37
73.68,n,0.37
74.05,mpy,0.37
74.43,,,0.37
74.80,mpy,0.37
75.17,y,0.37
75.55,/py,0.37
75.92,my,0.37
76.30,oy,0.37
76.67,ny,0.37
77.04,loy,0.37
77.42,ny,0.37
77.79,;ip,0.37
78.17,i,0.37
78.54,ip,0.37
78.91,ik,0.37
79.29,kpy,0.37
79.66,ly,0.37
80.04,;py,0.37
80.41,ny,0.37
80.78,mpu,0.37
81.16,u,0.37
81.53,lpu,0.37
81.91,u,0.37
82.28,noy,0.37
82.65,;y,0.37
83.03,loy,0.37
83.40,;y,0.37
83.78,ip,0.37
84.15,i,0.37
84.52,ip,0.37
84.90,;i,0.37
85.27,;py,0.37
85.65,ny,0.37
86.02,mpy,0.37
86.39,,y,0.37
86.77,.;j,0.37
87.14,j,0.37
87.52,;j,0.37
87.89,j,0.37
88.26,;ij,0.37
88.64,il,0.37
89.01,ij,0.37
89.39,il,0.37
89.76,iky,0.37
90.13,y,0.37
90.51,iy,0.37
90.88,ky,0.37
91.26,,ho,0.37
91.63,.o,0.37
92.00,/ho,0.37
92.38,.o,0.37
92.75,,hk,0.37
93.13,h,0.37
93.50,hk,0.37
93.87,hm,0.37
94.25,;k,0.37
94.62,k,0.37
95.00,,;k,0.37
95.37,,k,0.37
95.74,pu,0.37
96.12,mu,0.37
96.49,pu,0.37
96.87,;u,0.37
97.24,;kp,0.37
97.61,n,0.37
97.99,kmp,0.37
98.36,,,0.37
98.74,mpy,0.37
99.11,y,0.37
99.48,/py,0.37
99.86,my,0.37
100.23,oy,0.37
100.61,ny,0.37
100.98,loy,0.37
101.35,ny,0.37
101.73,;ip,0.37
102.10,i,0.37
102.48,ip,0.37
102.85,ik,0.37
103.22,kpy,0.37
103.60,ly,0.37
103.97,;py,0.37
104.35,ny,0.37
104.72,mpu,0.37
105.09,u,0.37
105.47,lpu,0.37
105.84,u,0.37
106.22,noy,0.37
106.59,;y,0.37
106.96,loy,0.37
107.34,;y,0.37
107.71,ip,0.37
108.09,i,0.37
108.46,ip,0.37
108.83,;i,0.37
109.21,;py,0.37
109.58,ny,0.37
109.96,mpy,0.37
110.33,,y,0.37
110.70,.;j,0.37
111.08,j,0.37
111.45,;j,0.37
111.83,j,0.37
112.20,;ij,0.37
112.57,.i,0.37
112.95,ij,0.37
113.32,/i,0.37
113.70,iy,0.19
113.88,.,0.19
114.07,,y,0.37
114.44,iy,0.37
114.82,,y,0.37
115.19,hmo,0.37
115.57,,o,0.37
115.94,hmo,0.37
116.31,,o,0.37
116.69,mpu,0.37
117.06,u,0.37
117.44,pu,0.37
117.81,lu,0.37
118.18,jp,0.37
118.56,p,0.37
118.93,jp,0.37
119.31,p,0.37
119.68,pu,0.37
120.05,u,0.37
120.43,pu,0.37
120.80,u,0.37
121.18,jp,0.37
121.55,p,0.37
121.92,jlp,0.37
122.30,p,0.37
122.67,;k,0.19
122.86,l,0.19
123.05,k,0.19
123.23,;,0.19
123.42,l,0.19
123.61,k,0.19
123.79,;,0.19
123.98,l,0.19
124.17,k,0.19
124.36,m,0.19
124.54,;,0.19
124.73,l,0.19
124.92,;,0.19
125.10,l,0.19
125.29,k,0.37
125.66,;,0.19
125.85,l,0.19
126.04,k,0.19
126.22,;,0.19
126.41,l,0.19
126.60,k,0.19
126.79,;,0.19
126.97,l,0.19
127.16,k,0.19
127.35,m,0.19
127.53,;,0.19
