# 我不配—周杰伦
# Converted from SkyStudio format
# BPM: 240
# Total chords: 385

Time,Keys,Duration
0.00,A2,0.25
0.25,C#3,0.25
0.50,D#3,0.25
0.75,E3,0.25
1.00,G#3,0.25
1.25,D#3,0.25
1.50,E3,0.25
1.75,G#3,0.25
2.00,A2,0.25
2.25,C#3,0.25
2.50,D#3,0.25
2.75,E3,0.25
3.00,G#3,0.25
3.25,D#3,0.25
3.50,E3,0.25
3.75,G#3,0.25
4.00,A2,0.25
4.25,B2,0.25
4.50,D#3,0.25
4.75,E3,0.25
5.00,G#3,0.25
5.25,D#3,0.25
5.50,E3,0.25
5.75,G#3,0.25
6.00,A2,0.25
6.25,B2,0.25
6.50,D#3,0.25
6.75,E3,0.25
7.00,G#3,0.25
7.25,D#3,0.25
7.50,E3,0.25
7.75,G#3,0.25
8.00,A2,0.25
8.25,B2,0.25
8.50,D#3,0.25
8.75,E3,0.25
9.00,G#3,0.25
9.25,D#3,0.25
9.50,E3,0.25
9.75,G#3,0.25
10.00,A2,0.25
10.25,B2,0.25
10.50,D#3,0.25
10.75,E3,0.25
11.00,G#3,0.25
11.25,D#3,0.25
11.50,E3,0.25
11.75,G#3,0.25
12.00,A2,0.25
12.25,A#2,0.25
12.50,D3,0.25
12.75,F3,0.25
13.00,G#3,0.25
13.25,D#3,0.25
13.50,F3,0.25
13.75,G#3,0.25
14.00,A2,0.25
14.25,A#2,0.25
14.50,D3,0.25
14.75,F3,0.25
15.00,G#3,0.25
15.25,D#3,0.25
15.50,F3,0.25
15.75,G#3,0.25
16.00,C#3,0.25
16.25,A2F3,0.25
16.50,C#3F3,0.25
16.75,A2F3,0.25
17.00,C#3F3,0.25
17.25,A2E3,0.25
17.50,C#3E3,0.25
17.75,A2,0.25
18.00,C#3,0.25
18.25,A2F3,0.25
18.50,C#3F3,0.25
18.75,A2F3,0.25
19.00,C#3F3,0.25
19.25,A2E3,0.25
19.50,C#3E3,0.25
19.75,A2,0.25
20.00,B2,0.25
20.25,A2F3,0.25
20.50,B2F3,0.25
20.75,A2F3,0.25
21.00,B2F3,0.25
21.25,A2E3,0.25
21.50,B2E3,0.25
21.75,A2E3,0.25
22.00,B2C#3,0.25
22.25,A2D3,0.25
22.50,B2E3,0.25
22.75,A2D3,0.25
23.00,B2E3,0.25
23.25,A2,0.25
23.50,B2E3,0.25
23.75,A2,0.25
24.00,C3,0.25
24.25,A2F#3,0.25
24.50,C3F#3,0.25
24.75,A2F#3,0.25
25.00,C3F#3,0.25
25.25,A2F3,0.25
25.50,C3E3,0.25
25.75,A2,0.25
26.00,C3,0.25
26.25,A2F#3,0.25
26.50,C3F#3,0.25
26.75,A2F#3,0.25
27.00,C3F#3,0.25
27.25,A2F3,0.25
27.50,C3E3,0.25
27.75,A2,0.25
28.00,C#3,0.25
28.25,A#2F#3,0.25
28.50,C#3F#3,0.25
28.75,A#2F#3,0.25
29.00,C#3F#3,0.25
29.25,A#2F3,0.25
29.50,C#3F3,0.25
29.75,A#2E3,0.25
30.00,C#3F3,0.25
30.25,A#2F3,0.25
30.50,C#3F3,0.25
30.75,A#2E3,0.25
31.00,C#3F3,0.25
31.25,A#2,0.25
31.50,C#3E3,0.25
31.75,A#2,0.25
32.00,C#3,0.25
32.25,A2F3,0.25
32.50,C#3F3,0.25
32.75,A2F3,0.25
33.00,C#3F3,0.25
33.25,A2E3,0.25
