# 我好像在哪儿见过你
# Converted from SkyStudio format
# BPM: 200
# Total chords: 422

Time,Keys,Duration
0.00,;,0.30
0.30,;,0.30
0.60,hl,0.30
0.90,i,0.30
1.20,;h,0.60
1.80,y,0.30
2.10,j,0.60
2.70,y,0.30
3.00,;h,0.30
3.30,i,0.30
3.60,h,0.60
4.20,;y,0.30
4.50,l,0.30
4.80,;,0.30
5.10,k,0.30
5.40,lp,0.30
5.70,l,0.30
6.00,jp,0.60
6.60,j,0.30
6.90,h,0.60
7.50,j,0.30
7.80,jp,0.30
8.10,l,0.30
8.40,p,0.60
9.00,j,0.30
9.30,l,0.30
9.60,l,0.30
9.90,k,0.30
10.20,ko,0.30
10.50,hy,0.30
10.80,o,0.90
11.70,h,0.30
12.00,h,0.30
12.30,j,0.30
12.60,jp,0.30
12.90,pu,0.30
13.20,p,0.90
14.10,p,0.30
14.40,i,0.30
14.70,k,0.30
15.00,hk,0.30
15.30,hi,0.30
15.60,h,0.60
16.20,hy,1.20
17.40,hi,1.50
18.90,;,0.30
19.20,;,0.30
19.50,hl,0.30
19.80,i,0.30
20.10,;h,0.60
20.70,y,0.30
21.00,j,0.60
21.60,y,0.30
21.90,h,0.30
22.20,i,0.30
22.50,h,0.60
23.10,y,0.30
23.40,;,0.30
23.70,,,0.30
24.00,mp,0.30
24.30,lu,0.30
24.60,p,0.60
25.20,jl,0.30
25.50,h,0.60
26.10,j,0.30
26.40,p,0.30
26.70,l,0.30
27.00,p,0.60
27.60,j,0.30
27.90,l,0.90
28.80,ko,0.30
29.10,y,0.30
29.40,ho,0.30
29.70,o,0.60
30.30,k,0.90
31.20,jp,0.30
31.50,u,0.30
31.80,p,0.30
32.10,i,0.60
32.70,j,0.60
33.30,,h,0.30
33.60,i,0.30
33.90,h,0.60
34.50,y,0.90
35.40,i,0.90
36.30,/,0.30
36.60,.,0.30
36.90,/,0.30
37.20,no,0.30
37.50,y,0.30
37.80,/o,0.30
38.10,.,0.30
38.40,.h,0.30
38.70,/,0.60
39.30,m,0.30
39.60,p,0.30
39.90,l,0.30
40.20,/p,0.30
40.50,.,0.30
40.80,.j,0.30
41.10,/,0.60
41.70,,,0.60
42.30,,h,0.30
42.60,i,0.30
42.90,h,0.30
43.20,y,0.30
43.50,y,0.30
43.80,j,0.30
44.10,y,0.30
44.40,u,0.30
44.70,i,1.20
45.90,k,0.30
46.20,j,0.30
46.50,k,0.30
46.80,o,0.30
47.10,y,0.30
47.40,ko,0.30
47.70,j,0.30
48.00,hj,0.30
48.30,k,0.60
48.90,p,0.30
49.20,pu,0.30
49.50,u,0.30
49.80,kp,0.30
50.10,u,0.30
50.40,ju,0.30
50.70,;,0.60
51.30,h,0.30
51.60,,h,0.30
51.90,i,0.30
52.20,h,0.30
52.50,j,0.30
52.80,j,0.30
53.10,j,0.30
53.40,y,0.30
53.70,u,0.30
54.00,i,0.90
54.90,k,0.30
55.20,j,0.30
55.50,k,0.30
55.80,o,0.30
56.10,y,0.30
56.40,ko,0.30
56.70,j,0.30
57.00,hj,0.30
57.30,k,0.60
57.90,k,0.30
58.20,mp,0.30
58.50,u,0.30
58.80,kp,0.30
59.10,j,0.30
59.40,.j,0.30
59.70,k,0.60
60.30,h,0.30
60.60,,h,0.30
60.90,u,0.30
61.20,h,0.30
61.50,y,0.30
61.80,y,0.30
62.10,j,0.30
62.40,y,0.30
62.70,u,0.30
63.00,i,0.90
63.90,k,0.30
64.20,j,0.30
64.50,k,0.30
64.80,no,0.30
65.10,y,0.30
65.40,ko,0.30
65.70,j,0.30
66.00,hj,0.30
66.30,k,0.60
66.90,k,0.30
67.20,mp,0.30
67.50,u,0.30
67.80,kp,0.30
68.10,l,0.30
68.40,jl,0.30
68.70,;,0.60
69.30,h,0.30
69.60,,h,0.30
69.90,i,0.30
70.20,h,0.30
70.50,j,0.30
70.80,j,0.30
71.10,j,0.30
71.40,y,0.30
71.70,u,0.30
72.00,i,1.20
73.20,h,0.30
73.50,i,0.30
73.80,h,0.30
74.10,h,0.30
74.40,,y,0.60
75.00,m,0.30
75.30,;,0.30
75.60,;p,0.30
75.90,lu,0.30
76.20,p,0.30
76.50,k,0.60
77.10,m,0.90
