# 我的未来式
# Converted from SkyStudio format
# BPM: 555
# Total chords: 132

Time,Keys,Duration
0.00,A2B2C#3,0.43
0.43,A2,0.43
0.86,A#2C#3,0.86
1.73,A2C3,0.43
2.16,A2,0.43
2.59,A2,0.86
3.46,A2B2C#3,0.86
4.32,A#2C#3,0.86
5.18,A2C3,0.43
5.62,A2,0.43
6.05,A2,0.43
6.48,A2,0.22
6.70,A#2,0.22
6.91,A2B2,0.22
7.13,A2B2,0.22
7.34,A2B2,0.22
7.56,A2B2,0.43
7.99,A#2,0.22
8.21,A2,0.22
8.42,A#2,0.43
8.86,A#2,0.43
9.29,A#2,0.43
9.72,B2,0.43
10.15,A#2,0.43
10.58,A2,0.65
11.23,A2,0.22
11.45,A#2,0.22
11.66,B2,0.22
11.88,B2,0.43
12.31,B2,0.22
12.53,B2,0.22
12.74,B2,0.43
13.18,A#2,0.22
13.39,A2,0.22
13.61,A#2,0.22
13.82,A2B2,0.22
14.04,A2B2,0.22
14.26,A2B2,0.22
14.47,A2B2,0.43
14.90,A#2,0.22
15.12,A2,0.22
15.34,A#2,0.43
15.77,A2D3,0.43
16.20,C#3,0.43
16.63,B2,0.22
16.85,A#2,0.22
17.06,A#2,0.43
17.50,A2,0.65
18.14,C3,0.22
18.36,B2,0.22
18.58,A#2,0.22
18.79,A#2,0.43
19.22,A2,1.08
20.30,A2,0.22
20.52,A2E3,0.22
20.74,D3,0.43
21.17,A2D3,0.22
21.38,D3,0.43
21.82,A2C#3,0.22
22.03,C#3,0.22
22.25,C#3,1.51
23.76,A#2,0.22
23.98,B2,0.22
24.19,A2C3,0.22
24.41,B2,0.22
24.62,A2C3,0.22
24.84,D3,0.43
25.27,B2D#3,0.22
25.49,D3,0.22
25.70,D3,0.43
26.14,C#3,1.08
27.22,A2,0.22
27.43,A2E3,0.22
27.65,D#3,0.43
28.08,A2D3,0.22
28.30,D3,0.43
28.73,A2C#3,0.22
28.94,C#3,0.22
29.16,C#3,0.43
29.59,D3,0.22
29.81,D#3,0.22
30.02,A2E3,0.43
30.46,D#3,0.43
30.89,C#3D#3,0.43
31.32,D3,0.65
31.97,A2D3,0.22
32.18,D#3,0.22
32.40,E3,0.22
32.62,E3,0.43
33.05,A2F3,0.22
33.26,F3,0.86
34.13,A2E3,0.22
34.34,F3,0.22
34.56,F#3,0.43
34.99,B2F#3,0.22
35.21,F3,0.43
35.64,E3,0.43
36.07,A2D#3,0.43
36.50,F3,0.43
36.94,E3,0.86
37.80,A2C#3,0.22
38.02,D3,0.22
38.23,D#3,0.22
38.45,E3,0.22
38.66,E3,0.43
39.10,A2D#3,0.22
39.31,E3,0.22
39.53,F3,0.43
39.96,A#2E3,0.22
40.18,F3,0.22
40.39,F#3,0.65
41.04,A2E3,0.22
41.26,F3,0.22
41.47,F#3,0.43
41.90,B2F#3,0.22
42.12,F3,0.43
42.55,E3,0.43
42.98,A2D#3,0.43
43.42,F3,0.43
43.85,E3,0.86
44.71,A2C#3,0.22
44.93,D3,0.22
45.14,D#3,0.22
45.36,E3,0.22
45.58,B2F#3,0.43
46.01,F3,0.22
46.22,E3,0.22
46.44,F3,0.43
46.87,A2E3,0.65
47.52,A2,0.11
47.63,C#3,0.11
47.74,E3,0.50
