# 所念皆星河
# Converted from SkyStudio format
# BPM: 356
# Total chords: 623

Time,Keys,Duration
0.00,l,0.34
0.34,;,0.34
0.67,/,0.34
1.01,.o,0.34
1.34,/,0.34
1.68,m,0.34
2.02,y,0.34
2.35,my,0.34
2.69,mo,0.34
3.02,l,0.34
3.36,;,0.34
3.70,/,0.34
4.03,.p,0.34
4.37,/,0.34
4.70,pu,0.34
5.04,mp,0.34
5.38,l,0.34
5.71,;,0.34
6.05,/,0.34
6.38,.h,0.34
6.72,/,0.34
7.06,im,0.34
7.39,hm,0.34
7.73,;,0.34
8.06,l,0.34
8.40,m,0.34
8.74,;h,1.01
9.74,l,0.34
10.08,;,0.34
10.42,/,0.34
10.75,.o,0.34
11.09,/,0.34
11.42,my,0.34
11.76,mo,0.34
12.10,l,0.34
12.43,;,0.34
12.77,/,0.34
13.10,.p,0.34
13.44,/,0.34
13.78,mu,0.34
14.11,mp,0.34
14.45,k,0.17
14.62,l,0.17
14.78,;h,0.67
15.46,i,0.67
16.13,h,0.34
16.46,j,0.50
16.97,hk,1.01
17.98,l,0.34
18.31,;,0.34
18.65,/,0.34
18.98,.o,0.34
19.32,/,0.34
19.66,my,0.34
19.99,o,0.34
20.33,l,0.34
20.66,;,0.34
21.00,/,0.34
21.34,.p,0.34
21.67,/,0.34
22.01,mu,0.34
22.34,p,0.34
22.68,l,0.34
23.02,;,0.34
23.35,/,0.34
23.69,.h,0.34
24.02,/,0.34
24.36,im,0.34
24.70,h,0.34
25.03,;,0.34
25.37,l,0.34
25.70,m,0.34
26.04,;h,0.34
26.38,h,0.34
26.71,l,0.34
27.05,;,0.34
27.38,/,0.34
27.72,.o,0.34
28.06,/,0.34
28.39,my,0.34
28.73,o,0.34
29.06,l,0.34
29.40,;,0.34
29.74,/,0.34
30.07,.p,0.34
30.41,/,0.34
30.74,mu,0.34
31.08,p,0.34
31.42,/,0.34
31.75,.,0.34
32.09,l,0.34
32.42,/y,0.34
32.76,p,0.34
33.10,k,0.34
33.43,o,0.34
33.77,;py,0.84
34.61,o,0.17
34.78,h,0.34
35.11,;,0.34
35.45,lo,0.34
35.78,;,0.34
36.12,ko,0.34
36.46,y,0.34
36.79,p,0.34
37.13,ho,0.34
37.46,;,0.34
37.80,lp,0.34
38.14,;,0.34
38.47,kp,0.34
38.81,ku,0.34
39.14,p,0.34
39.48,hp,0.34
39.82,;,0.34
40.15,hl,0.34
40.49,;,0.34
40.82,kp,0.34
41.16,u,0.34
41.50,m,0.34
41.83,kp,0.34
42.17,l,0.34
42.50,;y,0.34
42.84,p,0.34
43.18,y,0.34
43.51,op,0.34
43.85,iy,0.34
44.18,p,0.34
44.52,ij,0.34
44.86,p,0.34
45.19,hp,0.34
45.53,;,0.34
45.86,lo,0.34
46.20,;,0.34
46.54,ko,0.34
46.87,y,0.34
47.21,p,0.34
47.54,ho,0.34
47.88,;,0.34
48.22,lp,0.34
48.55,;,0.34
48.89,kp,0.34
49.22,u,0.34
49.56,p,0.34
49.90,hp,0.34
50.23,;,0.34
50.57,hl,0.34
50.90,;,0.34
51.24,hk,0.34
51.58,i,0.34
51.91,l,0.34
52.25,hk,0.34
52.58,j,0.34
52.92,hk,0.34
53.26,h,0.34
53.59,ik,0.34
53.93,p,0.34
54.26,h,0.34
54.60,;,0.34
54.94,lo,0.34
55.27,;,0.34
55.61,ko,0.34
55.94,ky,0.34
56.28,p,0.34
56.62,ho,0.34
56.95,;,0.34
57.29,lp,0.34
57.62,;,0.34
57.96,kp,0.34
58.30,u,0.34
58.63,m,0.34
58.97,kp,0.34
59.30,j,0.34
59.64,ky,0.34
59.98,p,0.34
60.31,o,0.34
60.65,p,0.34
60.98,iy,0.67
61.66,p,0.34
61.99,h,0.34
62.33,m,0.34
62.66,mo,0.34
63.00,hk,0.34
63.34,ky,0.34
63.67,p,0.34
64.01,h,0.34
64.34,m,0.34
64.68,mp,0.34
65.02,jl,0.34
65.35,lu,0.34
65.69,p,0.34
66.02,h,0.34
66.36,m,0.34
66.70,im,0.34
67.03,jp,0.34
67.37,j,0.34
67.70,p,0.34
68.04,j,0.34
68.38,l,0.34
68.71,hl,0.34
69.05,ky,0.34
69.38,i,0.34
69.72,p,0.34
70.06,h,0.34
70.39,m,0.34
70.73,lmu,0.34
71.06,hk,0.34
71.40,ky,0.34
71.74,p,0.34
72.07,h,0.34
72.41,m,0.34
72.74,mp,0.34
73.08,jl,0.34
73.42,u,0.50
73.92,k,0.17
74.09,l,0.17
74.26,;y,0.34
74.59,i,0.34
74.93,p,0.34
75.26,y,0.34
75.60,ijpy,0.84
76.44,ij,0.34
76.78,p,0.34
77.11,h,0.34
77.45,m,0.34
77.78,mo,0.34
78.12,ky,0.34
78.46,ko,0.34
78.79,p,0.34
79.13,h,0.34
79.46,m,0.34
79.80,mp,0.34
80.14,lu,0.34
80.47,lp,0.34
80.81,p,0.34
81.14,h,0.34
81.48,m,0.34
81.82,im,0.34
82.15,j,0.34
82.49,.i,0.34
82.82,im,0.34
83.16,hk,0.34
83.50,hk,0.34
83.83,h,0.34
84.17,k,0.34
84.50,m,0.34
84.84,mu,0.34
85.18,k,0.34
85.51,ky,0.34
85.85,p,0.34
86.18,h,0.34
86.52,m,0.34
86.86,mp,0.34
87.19,lu,0.34
87.53,p,0.34
87.86,l,0.34
88.20,ky,0.34
88.54,p,0.34
88.87,y,0.34
89.21,o,0.34
89.54,iy,0.67
90.22,i,0.34
90.55,l,0.34
90.89,;,0.34
91.22,k,0.34
91.56,ho,0.34
91.90,h,0.34
92.23,hy,0.34
92.57,l,0.34
92.90,;,0.34
93.24,k,0.34
93.58,lp,0.34
93.91,j,0.34
94.25,lu,0.34
94.58,k,0.34
94.92,l,0.34
95.26,j,0.34
95.59,ip,0.34
95.93,p,0.34
96.26,jp,0.34
96.60,k,0.34
96.94,l,0.34
97.27,j,0.34
97.61,hk,0.34
97.94,y,0.34
98.28,ik,0.34
98.62,l,0.34
98.95,;,0.34
99.29,k,0.34
99.62,hu,0.34
99.96,h,0.34
100.30,hy,0.34
100.63,l,0.34
100.97,;,0.34
101.30,k,0.34
101.64,lp,0.34
101.98,j,0.34
102.31,lu,0.34
102.65,m,0.34
102.98,l,0.34
103.32,n,0.34
103.66,;y,0.34
103.99,p,0.34
104.33,k,0.34
104.66,l,0.34
105.00,;y,0.34
105.34,p,0.34
105.67,k,0.34
106.01,k,0.34
106.34,l,0.34
106.68,;j,0.34
107.02,k,0.34
107.35,ho,0.34
107.69,h,0.34
108.02,ho,0.34
108.36,l,0.34
108.70,;,0.34
109.03,k,0.34
109.37,lp,0.34
109.70,j,0.34
110.04,lp,0.34
110.38,k,0.34
110.71,l,0.34
111.05,j,0.34
