# 打上花火
# Converted from SkyStudio format
# BPM: 385
# Total chords: 883

Time,Keys,Duration
0.00,lo,0.31
0.31,;,0.31
0.62,m,0.31
0.93,k,0.31
1.24,l,0.31
1.55,;p,0.31
1.86,m,0.31
2.17,k,0.31
2.48,hl,0.31
2.79,;,0.31
3.10,m,0.31
3.41,,,0.31
3.72,l,0.31
4.03,;y,0.31
4.34,h,0.31
4.65,k,0.31
4.96,lo,0.31
5.27,;,0.31
5.58,m,0.31
5.89,k,0.31
6.20,l,0.31
6.51,;p,0.31
6.82,m,0.31
7.13,k,0.31
7.44,hl,0.31
7.75,;,0.31
8.06,m,0.31
8.37,,,0.31
8.68,l,0.31
8.99,;y,0.31
9.30,h,0.31
9.61,k,0.31
9.92,loy,0.31
10.23,;,0.31
10.54,m,0.31
10.85,k,0.31
11.16,l,0.31
11.47,;pu,0.31
11.78,m,0.31
12.09,k,0.31
12.40,hil,0.31
12.71,;,0.31
13.02,m,0.31
13.33,,,0.31
13.64,l,0.31
13.95,;iy,0.31
14.26,h,0.31
14.57,k,0.31
14.88,loy,0.31
15.19,;,0.31
15.50,m,0.31
15.81,k,0.31
16.12,l,0.31
16.43,;ip,0.31
16.74,m,0.31
17.05,k,0.31
17.36,hil,0.31
17.67,;,0.31
17.98,m,0.31
18.29,k,1.08
19.38,i,0.31
19.68,p,0.31
20.00,hoy,0.62
20.61,k,0.31
20.93,l,0.62
21.55,j,0.31
21.86,pu,0.31
22.16,o,0.31
22.48,iy,0.31
22.79,p,0.31
23.09,j,0.31
23.41,k,0.62
24.02,iy,0.31
24.34,k,0.31
24.64,j,0.31
24.95,hoy,0.62
25.57,k,0.62
26.20,j,0.31
26.50,pu,0.62
27.12,p,0.31
27.43,iy,1.86
29.30,i,0.31
29.61,p,0.31
29.91,hoy,0.62
30.54,k,0.31
30.84,l,0.62
31.46,j,0.31
31.77,pu,0.31
32.09,o,0.31
32.40,iy,0.31
32.70,p,0.31
33.02,j,0.31
33.33,k,0.62
33.95,iy,0.31
34.26,k,0.31
34.56,j,0.31
34.88,hiy,0.62
35.49,k,0.62
36.12,j,0.31
36.42,pu,0.31
36.73,p,0.31
37.05,h,0.31
37.35,iy,2.02
39.37,h,0.31
39.68,j,0.31
39.99,k,0.31
40.30,oy,0.31
40.61,k,0.31
40.92,j,0.31
41.23,hpu,0.31
41.54,j,0.31
41.85,k,0.62
42.47,hi,0.31
42.78,j,0.31
43.09,h,0.31
43.40,j,0.31
43.71,iky,0.31
44.02,j,0.31
44.33,p,0.31
44.64,h,0.31
44.95,opy,0.31
45.26,y,0.15
45.41,y,0.15
45.57,y,0.31
45.88,h,0.31
46.19,pu,0.31
46.50,y,0.31
46.81,u,0.31
47.12,i,0.31
47.43,hi,0.93
48.36,iy,0.62
48.98,i,0.31
49.29,h,0.31
49.60,j,0.31
49.91,k,0.31
50.22,oy,0.31
50.53,k,0.31
50.84,j,0.31
51.15,hpu,0.31
51.46,j,0.31
51.77,k,0.62
52.39,hi,0.31
52.70,j,0.31
53.01,h,0.31
53.32,j,0.31
53.63,iky,0.31
53.94,l,0.31
54.25,;,0.31
54.56,n,0.31
54.87,oy,0.31
55.18,k,0.31
55.49,k,0.31
55.80,;,0.31
56.11,lpu,0.31
56.42,k,0.31
56.73,k,0.47
57.20,hi,1.86
59.05,;,0.31
59.37,m,0.15
59.52,;,0.15
59.67,loy,0.31
59.98,k,0.31
60.30,h,0.15
60.45,k,0.31
60.76,l,0.15
60.91,pu,0.62
61.53,;,0.31
61.84,m,0.15
62.00,;,0.15
62.16,hil,0.31
62.47,k,0.31
62.77,h,0.15
62.93,k,0.31
63.24,k,0.15
63.40,iy,0.62
64.02,;,0.31
64.33,m,0.15
64.48,n,0.15
64.64,loy,0.62
65.25,;,0.15
65.41,m,0.31
65.72,m,0.15
65.88,pu,0.31
66.19,,,0.31
66.50,m,0.15
66.65,n,0.15
66.81,;,0.31
67.11,hi,1.24
68.36,iy,0.62
68.97,;,0.31
69.28,m,0.15
69.44,;,0.15
69.59,loy,0.31
69.91,k,0.31
70.22,h,0.15
70.37,k,0.31
70.68,l,0.15
70.83,pu,0.62
71.45,;,0.31
71.77,m,0.15
71.92,;,0.15
72.08,hil,0.31
72.39,k,0.31
72.69,h,0.15
72.85,k,0.31
73.16,k,0.15
73.31,iy,0.62
73.94,k,0.15
74.09,j,0.15
74.25,h,0.15
74.40,j,0.15
74.56,hoy,0.62
75.17,l,0.62
75.80,jpu,0.31
76.11,h,0.31
76.42,j,0.31
76.72,j,0.31
77.03,hi,0.31
77.34,k,0.15
77.50,lpu,0.47
77.97,hik,0.62
78.58,iy,0.31
78.89,iy,0.62
79.52,loy,0.31
79.83,;,0.31
80.14,m,0.31
80.44,k,0.31
80.75,l,0.31
81.06,;pu,0.31
81.38,m,0.31
81.69,k,0.31
82.00,hil,0.31
82.31,;,0.31
82.61,m,0.31
82.92,k,0.31
83.23,l,0.31
83.55,;iy,0.31
83.86,m,0.31
84.17,k,0.31
84.47,loy,0.31
84.78,;,0.31
85.09,m,0.31
85.41,k,0.31
85.72,l,0.31
86.03,;pu,0.31
86.33,m,0.31
86.64,k,0.31
86.95,hil,0.31
87.27,;,0.31
87.58,m,0.31
87.89,k,1.24
