# 扭腰歌 carameldansen 烛子ikina
# Converted from SkyStudio format
# BPM: 640
# Total chords: 302

Time,Keys,Duration
0.74,k,0.19
0.93,l,0.19
1.12,;,0.19
1.30,n,0.19
1.49,km,0.28
1.77,m,0.28
2.05,m,0.37
2.42,m,0.19
2.60,,,0.19
2.79,m,0.19
2.98,p,0.74
3.72,m,0.19
3.91,,,0.19
4.09,m,0.19
4.28,n,0.19
4.46,;h,0.28
4.74,;,0.28
5.02,;,0.37
5.39,n,0.19
5.58,;,0.19
5.77,k,0.19
5.95,o,0.74
6.70,k,0.19
6.88,l,0.19
7.07,;,0.19
7.25,n,0.19
7.44,km,0.28
7.72,m,0.28
8.00,m,0.37
8.37,m,0.19
8.56,,,0.19
8.74,m,0.19
8.93,p,0.74
9.67,m,0.19
9.86,,,0.19
10.04,m,0.19
10.23,n,0.19
10.42,;h,0.28
10.70,;,0.28
10.97,;,0.37
11.35,n,0.19
11.53,;,0.19
11.72,k,0.19
11.90,o,1.49
13.39,;k,0.28
13.67,;,0.09
13.76,k,0.19
13.95,;,0.19
14.14,k,0.19
14.32,n,0.19
14.51,k,0.19
14.69,;,0.19
14.88,lp,0.28
15.16,l,0.09
15.25,p,0.19
15.44,l,0.19
15.62,p,0.19
15.81,;,0.19
16.00,p,0.19
16.18,l,0.19
16.37,hk,0.28
16.65,k,0.09
16.74,h,0.19
16.93,k,0.19
17.11,h,0.19
17.30,j,0.19
17.48,hk,0.19
17.67,l,0.19
17.86,ko,0.28
18.14,k,0.09
18.23,o,0.19
18.41,k,0.19
18.60,o,0.19
18.79,j,0.19
18.97,ko,0.19
19.16,l,0.19
19.34,;k,0.28
19.62,;,0.09
19.72,k,0.19
19.90,;,0.19
20.09,k,0.19
20.27,n,0.19
20.46,k,0.19
20.65,;,0.19
20.83,lp,0.28
21.11,l,0.09
21.20,p,0.19
21.39,l,0.19
21.58,p,0.19
21.76,m,0.19
21.95,jp,0.19
22.13,l,0.19
22.32,hk,0.28
22.60,k,0.09
22.69,h,0.19
22.88,k,0.19
23.06,h,0.19
23.25,l,0.19
23.44,h,0.19
23.62,j,0.19
23.81,ko,0.28
24.09,k,0.09
24.18,o,0.19
24.37,k,0.19
24.55,o,0.19
24.74,j,0.19
24.92,ko,0.19
25.11,p,0.19
25.30,ky,0.19
25.48,k,0.19
25.67,ky,0.19
25.85,k,0.19
26.04,ky,0.37
26.41,ky,0.37
26.78,ly,0.19
26.97,;,0.19
27.16,y,0.19
27.34,;,0.19
27.53,y,0.37
27.90,y,0.37
28.27,my,0.37
28.64,ky,0.19
28.83,k,0.19
29.02,ky,0.37
29.39,ky,0.19
29.57,k,0.19
29.76,;y,0.19
29.95,l,0.19
30.13,y,0.19
30.32,k,0.19
30.50,y,0.37
30.88,y,0.37
31.25,ju,0.37
31.62,hu,0.19
31.81,p,0.19
31.99,u,0.37
32.36,u,0.37
32.74,u,0.37
33.11,u,0.19
33.29,p,0.19
33.48,u,0.19
33.67,p,0.19
33.85,hu,0.19
34.04,j,0.19
34.22,ky,0.37
34.60,hy,0.19
34.78,p,0.19
34.97,y,0.37
35.34,y,0.37
35.71,/y,0.37
36.08,,y,0.19
36.27,m,0.19
36.46,y,0.37
36.83,y,0.19
37.01,p,0.19
37.20,ky,0.19
37.39,k,0.19
37.57,ky,0.19
37.76,k,0.19
37.94,ky,0.37
38.32,ky,0.37
38.69,ly,0.19
38.87,;,0.19
39.06,y,0.19
39.25,;,0.19
39.43,y,0.37
39.80,y,0.19
39.99,p,0.19
40.18,ky,0.19
40.36,k,0.19
40.55,ky,0.19
40.73,k,0.19
40.92,ky,0.37
41.29,ky,0.37
41.66,my,0.19
41.85,n,0.19
42.04,y,0.19
42.22,;,0.19
42.41,y,0.37
42.78,y,0.37
43.15,ju,0.37
43.52,lu,0.19
43.71,p,0.19
43.90,u,0.37
44.27,u,0.37
44.64,u,0.37
45.01,pu,0.19
45.20,p,0.19
45.38,pu,0.19
45.57,p,0.19
45.76,;u,0.19
45.94,l,0.19
46.13,ky,0.37
46.50,y,0.37
46.87,y,0.37
47.24,y,0.37
47.62,y,0.19
47.80,k,0.19
47.99,l,0.19
48.17,k,0.19
48.36,;,0.37
48.73,l,0.19
48.92,k,0.19
49.10,py,0.37
49.48,;y,0.19
49.66,l,0.19
49.85,ky,0.37
50.22,y,0.19
50.41,l,0.19
50.59,p,0.19
50.78,k,0.19
50.96,lp,0.19
51.15,k,0.19
51.34,lp,0.37
51.71,;p,0.37
52.08,h,0.37
52.45,;h,0.19
52.64,l,0.19
52.82,hk,0.37
53.20,hk,0.19
53.38,l,0.19
53.57,o,0.19
53.75,k,0.19
53.94,lo,0.19
54.13,;,0.19
54.31,lo,0.37
54.68,ko,0.37
55.06,py,0.37
55.43,;y,0.19
55.61,l,0.19
55.80,ky,0.37
56.17,y,0.19
56.36,l,0.19
56.54,p,0.19
56.73,k,0.19
