# 故梦
# Converted from SkyStudio format
# BPM: 300
# Total chords: 214

Time,Keys,Duration
0.80,;,0.40
1.20,l,0.40
1.60,l,0.40
2.00,k,0.40
2.40,ho,0.40
2.80,y,0.40
3.20,o,0.80
4.00,y,0.80
4.80,k,0.40
5.20,l,0.40
5.60,p,0.40
6.00,u,0.40
6.40,p,0.80
7.20,jl,0.40
7.60,k,0.40
8.00,k,0.40
8.40,l,0.40
8.80,;i,0.40
9.20,j,0.40
9.60,i,0.40
10.00,m,0.40
10.40,p,0.80
11.20,p,0.40
11.60,l,0.40
12.00,h,0.40
12.40,ik,0.40
12.80,h,0.80
13.60,;k,0.40
14.00,l,0.40
14.40,l,0.40
14.80,;,0.40
15.20,lo,0.40
15.60,y,0.40
16.00,ko,0.40
16.40,k,0.40
16.80,y,0.80
17.60,h,0.40
18.00,h,0.40
18.40,p,0.40
18.80,u,0.40
19.20,;p,0.40
19.60,p,0.40
20.00,j,0.40
20.40,h,0.80
21.20,k,0.40
21.60,;h,0.40
22.00,lu,0.20
22.20,;,0.20
22.40,h,0.40
22.80,j,0.40
23.20,k,1.60
24.80,h,0.40
25.20,i,0.40
25.60,h,0.40
26.00,j,0.40
26.40,;k,0.40
26.80,l,0.40
27.20,l,0.40
27.60,k,0.40
28.00,ho,0.40
28.40,y,0.40
28.80,o,0.80
29.60,k,0.80
30.40,k,0.40
30.80,l,0.40
31.20,p,0.40
31.60,u,0.40
32.00,p,0.80
32.80,jl,0.40
33.20,k,0.40
33.60,k,0.40
34.00,l,0.40
34.40,;i,0.40
34.80,j,0.40
35.20,i,0.40
35.60,m,0.40
36.00,p,0.40
36.40,;,0.40
36.80,l,0.40
37.20,k,0.40
37.60,hk,0.40
38.00,i,0.40
38.40,h,0.80
39.20,;k,0.40
39.60,l,0.40
40.00,l,0.40
40.40,;,0.40
40.80,lo,0.40
41.20,y,0.40
41.60,ko,0.40
42.00,k,0.40
42.40,y,0.40
42.80,h,0.80
43.60,h,0.40
44.00,p,0.40
44.40,u,0.40
44.80,;p,0.40
45.20,p,0.40
45.60,j,0.40
46.00,h,0.80
46.80,k,0.40
47.20,h,0.40
47.60,i,0.40
48.00,h,0.40
48.40,j,0.40
48.80,k,1.60
50.40,h,0.40
50.80,i,0.40
51.20,h,0.40
51.60,j,0.40
52.00,;k,0.40
52.40,m,0.40
52.80,m,0.40
53.20,;,0.40
53.60,lu,0.40
54.00,h,0.40
54.40,u,0.40
54.80,k,0.40
55.20,h,0.80
56.00,ho,0.40
56.40,l,0.40
56.80,lp,0.40
57.20,u,0.40
57.60,p,0.80
58.40,u,0.40
58.80,;,0.40
59.20,jm,0.40
59.60,;,0.40
60.00,ip,0.40
60.40,j,0.40
60.80,i,0.40
61.20,i,0.40
61.60,u,0.80
62.40,;p,0.40
62.80,l,0.40
63.20,hk,0.40
63.60,i,0.40
64.00,h,0.80
64.80,y,0.40
65.20,;,0.40
65.60,jm,0.40
66.00,,,0.40
66.40,lo,0.40
66.80,y,0.40
67.20,o,0.80
68.00,jm,0.40
68.40,m,0.40
68.80,mp,0.40
69.20,;,0.40
69.60,lu,0.80
70.40,y,0.80
71.20,k,0.40
71.60,p,0.40
72.00,jk,0.40
72.40,l,0.40
72.80,;i,0.40
73.20,jl,0.40
73.60,il,0.40
74.00,k,0.40
74.40,jl,0.40
74.80,;,0.40
75.20,mp,0.40
75.60,m,0.40
76.00,im,0.40
76.40,j,0.40
76.80,;i,0.80
77.60,;j,0.40
78.00,m,0.40
78.40,m,0.40
78.80,;,0.40
79.20,lo,0.40
79.60,y,0.40
80.00,o,0.40
80.40,k,0.80
81.20,h,0.80
82.00,l,0.40
82.40,p,0.40
82.80,u,0.40
83.20,p,0.80
84.00,;j,0.40
84.40,m,0.40
84.80,hm,0.40
85.20,;,0.40
85.60,ip,0.40
86.00,j,0.40
86.40,i,0.40
86.80,i,0.40
87.20,j,0.80
88.00,;p,0.40
88.40,l,0.40
88.80,hk,0.40
89.20,i,0.40
89.60,h,0.80
90.40,;k,0.40
90.80,m,0.40
91.20,jm,0.40
91.60,,,0.40
92.00,lu,0.40
92.40,h,0.40
92.80,u,0.80
93.60,mo,0.40
94.00,m,0.40
94.40,im,0.40
94.80,;,0.40
95.20,lu,0.40
95.60,p,0.40
96.00,l,0.80
96.80,pu,0.40
97.20,;,0.40
97.60,p,0.40
98.00,h,0.40
98.40,ik,0.80
99.20,h,0.80
100.00,kpy,0.50
