# 无梦之梦
# Converted from SkyStudio format
# BPM: 640
# Total chords: 778

Time,Keys,Duration
0.00,;ko,0.19
0.19,;,0.19
0.37,;,0.19
0.56,;,0.19
0.74,;,0.56
1.30,l,0.19
1.49,jlp,1.49
2.98,jl,0.19
3.16,l,0.19
3.35,l,0.19
3.53,l,0.19
3.72,l,0.56
4.28,k,0.19
4.46,k,1.30
5.77,ko,0.19
5.95,jlp,0.19
6.14,l,0.19
6.32,l,0.19
6.51,l,0.19
6.70,l,0.37
7.07,;,0.19
7.25,lp,0.19
7.44,u,0.37
7.81,j,0.19
8.00,k,0.56
8.56,p,0.19
8.74,;h,0.19
8.93,y,0.37
9.30,l,0.19
9.49,k,0.56
10.04,j,0.19
10.23,k,1.67
11.90,ko,0.19
12.09,k,0.19
12.28,ky,0.19
12.46,k,0.19
12.65,hko,0.56
13.21,l,0.19
13.39,jlp,0.37
13.76,u,0.37
14.14,jp,0.74
14.88,hl,0.19
15.07,k,0.19
15.25,il,0.19
15.44,k,0.19
15.62,hl,0.37
16.00,j,0.19
16.18,;,0.19
16.37,;k,1.49
17.86,hko,0.19
18.04,k,0.19
18.23,ky,0.19
18.41,k,0.19
18.60,hk,0.37
18.97,;,0.19
19.16,lp,0.19
19.34,p,0.37
19.72,ku,0.19
19.90,k,0.19
20.09,p,0.37
20.46,j,0.19
20.65,kp,0.19
20.83,y,0.37
21.20,p,0.37
21.58,k,0.37
21.95,;,0.37
22.32,l,0.37
22.69,;,0.37
23.06,ky,0.37
23.44,p,0.37
23.81,o,0.37
24.18,;py,0.37
24.55,lo,0.28
24.83,;,0.09
24.92,m,0.28
25.20,,,0.09
25.30,;p,0.37
25.67,p,0.37
26.04,l,0.37
26.41,k,0.37
26.78,hl,0.37
27.16,,l,0.28
27.43,k,0.09
27.53,ly,0.37
27.90,k,0.37
28.27,;h,0.37
28.64,h,0.37
29.02,p,0.37
29.39,p,0.37
29.76,;o,0.37
30.13,o,0.37
30.50,il,0.28
30.78,;,0.09
30.88,m,0.28
31.16,,,0.09
31.25,;p,0.37
31.62,p,0.37
31.99,l,0.37
32.36,k,0.37
32.74,hl,0.37
33.11,hl,0.28
33.39,k,0.09
33.48,hl,0.37
33.85,;,0.37
34.22,jo,0.37
34.60,j,0.37
34.97,ip,0.37
35.34,p,0.37
35.71,o,0.37
36.08,;p,0.19
36.27,o,0.19
36.46,lo,0.28
36.73,;,0.09
