# 时间飞行 镇魂
# Converted from SkyStudio format
# BPM: 240
# Total chords: 222

Time,Keys,Duration
3.50,p,0.50
4.00,;y,0.25
4.25,n,0.25
4.50,l,0.25
4.75,;,0.25
5.00,;,0.25
5.25,n,0.25
5.50,l,0.25
5.75,;,1.75
7.50,o,0.25
7.75,p,0.25
8.00,;i,0.25
8.25,h,0.25
8.50,l,0.25
8.75,;,0.50
9.25,h,2.25
11.50,p,0.50
12.00,;y,0.25
12.25,o,0.25
12.50,l,0.25
12.75,;,0.50
13.25,o,0.25
13.50,l,0.25
13.75,;,1.25
15.00,p,0.25
15.25,l,0.25
15.50,o,0.25
15.75,p,0.25
16.00,;i,0.25
16.25,h,0.25
16.50,l,0.25
16.75,;,0.25
17.00,;,0.25
17.25,/,0.25
17.50,.,0.25
17.75,m,1.75
19.50,p,0.50
20.00,hik,0.50
20.50,j,0.50
21.00,k,0.50
21.50,j,0.50
22.00,hko,0.25
22.25,j,0.50
22.75,p,1.00
23.75,p,0.25
24.00,y,0.50
24.50,p,0.25
24.75,p,0.75
25.50,h,0.50
26.00,u,1.75
27.75,y,0.25
28.00,hik,0.50
28.50,j,0.50
29.00,k,0.50
29.50,j,0.50
30.00,hko,0.25
30.25,j,0.50
30.75,p,1.00
31.75,y,0.25
32.00,y,0.50
32.50,p,0.25
32.75,p,1.25
34.00,jpu,1.50
35.50,h,0.25
35.75,j,0.25
36.00,hik,0.50
36.50,j,0.50
37.00,k,0.50
37.50,j,0.50
38.00,hko,0.50
38.50,l,0.25
38.75,l,1.00
39.75,p,0.25
40.00,;ky,0.50
40.50,;,0.25
40.75,;,0.25
41.00,;,0.25
41.25,l,0.50
41.75,jlpu,2.00
43.75,j,0.25
44.00,hik,0.50
44.50,j,0.50
45.00,k,0.50
45.50,j,0.50
46.00,hko,0.50
46.50,l,0.25
46.75,l,0.50
47.25,k,0.50
47.75,m,0.25
48.00,u,0.50
48.50,p,0.50
49.00,j,0.50
49.50,l,0.50
50.00,m,1.50
51.50,;,0.25
51.75,n,0.25
52.00,my,0.50
52.50,k,0.25
52.75,k,0.25
53.00,y,0.50
53.50,h,0.50
54.00,kp,0.50
54.50,l,0.25
54.75,l,0.75
55.50,;,0.25
55.75,n,0.25
56.00,im,0.50
56.50,j,0.25
56.75,j,0.25
57.00,i,0.50
57.50,p,0.50
58.00,ly,0.75
58.75,k,0.75
59.50,;,0.25
59.75,n,0.25
60.00,my,0.50
60.50,k,0.25
60.75,k,0.25
61.00,y,0.25
61.25,h,0.75
62.00,kp,0.50
62.50,l,0.25
62.75,l,0.25
63.00,u,0.25
63.25,k,0.75
64.00,ny,0.50
64.50,i,0.50
65.00,;p,0.50
65.50,l,0.25
65.75,;,1.00
66.75,;,0.25
67.00,n,0.50
67.50,m,0.50
68.00,my,0.50
68.50,,,0.25
68.75,,o,1.00
69.75,m,0.25
70.00,,u,0.50
70.50,m,0.25
70.75,l,0.50
71.25,k,0.75
72.00,im,0.50
72.50,p,0.50
73.00,j,0.50
73.50,,,0.50
74.00,m,0.50
74.50,j,0.25
74.75,hik,1.25
76.00,nu,0.50
76.50,;,0.50
77.00,k,0.50
77.50,h,0.25
77.75,h,0.25
78.00,kp,1.50
79.50,j,0.50
80.00,ky,1.00
81.00,i,0.50
81.50,p,0.50
82.00,k,1.50
83.50,;,0.25
83.75,n,0.25
84.00,my,0.50
84.50,k,0.25
84.75,k,0.25
85.00,y,0.50
85.50,h,0.50
86.00,kp,0.50
86.50,l,0.25
86.75,l,0.75
87.50,;,0.25
87.75,n,0.25
88.00,im,0.50
88.50,j,0.25
88.75,j,0.25
89.00,i,0.50
89.50,p,0.50
90.00,ly,0.75
90.75,k,0.75
91.50,;,0.25
91.75,n,0.25
92.00,my,0.50
92.50,k,0.25
92.75,k,0.25
93.00,y,0.25
93.25,h,0.75
94.00,kp,0.50
94.50,l,0.25
94.75,l,0.25
95.00,u,0.25
95.25,k,0.75
96.00,ny,0.50
96.50,i,0.50
97.00,;p,0.50
97.50,l,0.25
97.75,;,1.00
98.75,;,0.25
99.00,n,0.50
99.50,m,0.50
100.00,my,0.50
100.50,,,0.25
100.75,,o,1.00
101.75,m,0.25
102.00,,u,0.50
102.50,m,0.25
102.75,l,0.50
103.25,k,0.50
103.75,p,0.25
104.00,im,0.50
104.50,p,0.50
105.00,j,0.50
105.50,,,0.50
106.00,m,0.50
106.50,j,0.25
106.75,hik,1.25
108.00,nu,0.50
108.50,;,0.50
109.00,k,0.50
109.50,h,0.25
109.75,h,0.25
110.00,kp,1.50
111.50,j,0.50
112.00,ikpy,0.50
