# 易燃易爆炸
# Converted from SkyStudio format
# BPM: 400
# Total chords: 312

Time,Keys,Duration
0.60,A3C4D3F#3,1.05
1.65,A3C4D3F#3,1.05
2.70,A#3D#3F3G3,1.05
3.75,A#3D#3F3G3,1.05
4.80,A3D3E3G3,1.05
5.85,A3D3E3G3,1.05
6.90,A3B2D#3F#3,1.05
7.95,A#3D#3F#3,1.05
9.00,A3C4D3F#3,1.05
10.05,A3C4D3F#3,1.05
11.10,A#3D#3F3G3,1.05
12.15,A#3D#3F3G3,1.05
13.20,A3D3E3G3,1.05
14.25,A3D3E3G3,1.05
15.30,A3B2D#3F#3,1.05
16.35,A#3D#3F#3,0.60
16.95,F#3,0.30
17.25,F3,0.30
17.55,B2D3F#3,0.60
18.15,D3,0.60
18.75,B2D3,0.30
19.05,D3,0.30
19.35,D#3,0.30
19.65,E3,0.30
19.95,C#3D#3F#3,0.30
20.25,D#3,0.30
20.55,D#3,0.30
20.85,D3,0.30
21.15,C#3D#3,0.30
21.45,D#3,0.60
22.05,D#3,0.30
22.35,A#2C3D#3,0.60
22.95,C3,0.60
23.55,A#2C3,0.30
23.85,C3,0.30
24.15,C3,0.30
24.45,C3,0.30
24.75,B2D#3F3,0.30
25.05,E3,0.30
25.35,E3,0.30
25.65,D#3,0.30
25.95,B2D#3E3,0.30
26.25,F#3,0.60
26.85,F3,0.30
27.15,B2D3F#3,0.60
27.75,D3,0.60
28.35,B2D3,0.30
28.65,D3,0.30
28.95,D#3,0.30
29.25,E3,0.30
29.55,C#3D#3F#3,0.30
29.85,D#3,0.30
30.15,D#3,0.30
30.45,D3,0.30
30.75,C#3D#3,0.30
31.05,D#3,0.60
31.65,D#3,0.30
31.95,A#2C3D#3,0.60
32.55,C3,0.60
33.15,A#2C3,0.30
33.45,C3,0.30
33.75,C#3,0.30
34.05,D3,0.30
34.35,B2D#3F3,0.30
34.65,E3,0.30
34.95,E3,0.30
35.25,D#3,0.30
35.55,B2D#3E3,0.30
35.85,E3,0.60
36.45,E3,0.30
36.75,A2E3,0.30
37.05,B2,0.30
37.35,A3D3,0.30
37.65,E3,0.30
37.95,F#3,0.30
38.25,A3E3,0.30
38.55,A#3D3,0.30
38.85,A3B2,0.30
39.15,B2G#3,0.30
39.45,C#3F#3,0.30
39.75,D#3F#3,0.30
40.05,F3,0.30
40.35,F#3,0.30
40.65,D#3F#3,0.30
40.95,C#3,0.30
41.25,B2F#3,0.30
41.55,B2F#3,0.30
41.85,D3,0.30
42.15,A3E3,0.30
42.45,F#3,0.30
42.75,F#3,0.30
43.05,A3F#3,0.30
43.35,A3E3,0.30
43.65,A3D3,0.30
43.95,A3B2,0.30
44.25,A#3D#3,0.30
44.55,A#3F#3,0.30
44.85,A3,0.30
45.15,A3,0.30
45.45,F#3,0.30
45.75,D#3,0.30
46.05,B2F3,0.30
46.35,A2F#3,0.30
46.65,B2,0.30
46.95,A3D3,0.30
47.25,E3,0.30
47.55,F#3,0.30
47.85,A3E3,0.30
48.15,A#3D3,0.30
48.45,A3B2,0.30
48.75,B2G#3,0.30
49.05,C#3F#3,0.30
49.35,D#3F#3,0.30
49.65,F3,0.30
49.95,F#3,0.30
50.25,D#3F#3,0.30
50.55,C#3,0.30
50.85,B2F#3,0.30
51.15,B2F#3,0.30
51.45,D3,0.30
51.75,D#3,0.90
52.65,D#3,0.30
52.95,D#3,0.30
53.25,D#3,0.30
53.55,B2D#3,0.30
53.85,B2D3,0.30
54.15,B2D3,0.30
54.45,C#3,0.30
54.75,B2D3,1.05
55.80,A3D3,0.15
55.95,D3,0.15
56.10,E3,0.15
56.25,F#3,0.15
56.40,A2A3B2,0.15
56.55,D3,0.15
56.70,E3,0.15
56.85,D3,0.15
57.00,A2A3B2,0.15
57.15,D3,0.15
57.30,E3,0.15
57.45,D3,0.15
57.60,A2A3B2,0.15
57.75,D3,0.15
57.90,E3,0.15
58.05,D3,0.15
58.20,B2G#3,0.15
