# 星辰大海(暴躁)
# Converted from SkyStudio format
# BPM: 280
# Total chords: 616

Time,Keys,Duration
0.00,/ipy,0.43
0.43,/p,0.21
0.64,i,0.21
0.86,/i,0.21
1.07,np,0.21
1.28,in,0.43
1.71,np,0.21
1.93,i,0.43
2.35,p,0.21
2.57,i,0.43
3.00,p,0.21
3.21,i,0.43
3.64,hoy,0.43
4.07,hl,0.21
4.28,o,0.21
4.49,/o,0.21
4.71,hn,0.21
4.92,no,0.43
5.35,hn,0.21
5.56,o,0.43
5.99,h,0.43
6.42,o,0.43
6.85,h,0.21
7.06,o,0.43
7.49,ipy,0.43
7.92,/,0.21
8.13,p,0.21
8.35,i,0.21
8.56,/i,0.21
8.77,np,0.21
8.99,in,0.43
9.42,np,0.21
9.63,i,0.43
10.06,p,0.21
10.27,i,0.43
10.70,p,0.21
10.91,i,0.43
11.34,jpu,0.43
11.77,lp,0.21
11.98,u,0.21
12.20,/u,0.21
12.41,p,0.21
12.63,nu,0.21
12.84,np,0.21
13.05,u,0.43
13.48,lp,0.21
13.70,lu,0.43
14.12,p,0.43
14.55,ipy,0.64
15.19,i,0.43
15.62,p,0.43
16.05,hopy,0.43
16.48,h,0.43
16.91,h,0.43
17.33,i,0.43
17.76,;ipy,0.43
18.19,u,0.43
18.62,u,0.21
18.83,i,0.43
19.26,i,0.64
19.90,j,0.43
20.33,ipy,0.43
20.76,i,0.43
21.19,p,0.43
21.61,opy,0.43
22.04,h,0.43
22.47,h,0.43
22.90,i,0.43
23.33,ipu,0.43
23.75,u,0.21
23.97,y,0.21
24.18,y,0.43
24.61,i,0.43
25.04,p,0.43
25.47,j,0.43
25.89,p,0.43
26.32,oy,0.43
26.75,p,0.21
26.96,h,0.43
27.39,kp,0.43
27.82,/k,0.43
28.25,pu,0.43
28.68,p,0.21
28.89,h,0.43
29.32,lp,0.43
29.75,l,0.43
30.17,hi,0.43
30.60,p,0.21
30.82,h,0.43
31.24,/k,0.43
31.67,jk,0.43
32.10,ky,0.43
32.53,ij,0.43
32.96,jp,0.43
33.38,hy,0.43
33.81,oy,0.43
34.24,p,0.21
34.45,h,0.43
34.88,hp,0.43
35.31,i,0.43
35.74,ipu,0.43
36.17,l,0.43
36.59,lp,0.43
37.02,k,0.43
37.45,;y,0.21
37.66,p,0.21
37.88,jn,0.21
38.09,;y,0.43
38.52,;y,0.21
38.73,p,0.21
38.95,j,0.21
39.16,y,0.43
39.59,y,0.21
39.80,p,0.21
40.02,j,0.21
40.23,y,0.21
40.45,jpy,0.64
41.09,oy,0.43
41.52,p,0.21
41.73,h,0.43
42.16,ky,0.43
42.59,pu,0.43
43.01,p,0.21
43.23,h,0.43
43.66,lu,0.43
44.08,lp,0.43
44.51,hi,0.43
44.94,k,0.43
45.37,k,0.43
45.80,jp,0.43
46.22,ky,0.43
46.65,il,0.43
47.08,ik,0.21
47.29,lpy,0.43
47.72,jlpu,0.43
48.15,pu,0.43
48.58,pu,0.43
49.01,pu,0.43
49.43,pu,0.43
49.86,npuy,0.43
50.29,;pu,0.43
50.72,/p,0.21
50.93,u,0.43
51.36,hiy,0.43
51.79,k,0.21
52.00,iy,0.43
52.43,iky,0.43
52.86,iky,0.21
53.07,k,0.43
53.50,iky,0.21
53.71,;,0.43
54.14,him,0.43
54.57,,;ik,0.43
55.00,,;hko,0.43
55.43,,,0.43
55.85,oy,0.43
56.28,,oy,0.43
56.71,,oy,0.21
56.92,,,0.21
57.14,,oy,0.43
57.57,m,0.43
57.99,moy,0.43
58.42,;py,0.43
58.85,;ipy,0.43
59.28,iy,0.43
59.71,iy,0.43
60.13,iy,0.43
60.56,;iy,0.43
60.99,n,0.43
61.42,;py,0.43
61.85,;py,0.43
62.27,;jpu,0.43
62.70,l,0.21
62.92,ju,0.21
63.13,jlu,0.43
63.56,/ju,0.43
63.99,l,0.43
64.41,lpu,0.43
64.84,hu,0.43
65.27,hiy,0.43
65.70,k,0.21
65.91,iy,0.21
66.13,iky,0.43
66.55,iky,0.21
66.77,k,0.21
66.98,iky,0.43
67.41,;,0.43
67.84,him,0.43
68.27,,iy,0.43
68.69,,hoy,0.43
69.12,,,0.21
69.34,oy,0.21
69.55,,oy,0.43
69.98,,oy,0.21
70.19,/y,0.21
70.41,/y,0.43
70.83,.,0.43
71.26,,oy,0.43
71.69,km,0.43
72.12,ikmy,0.43
72.55,iy,0.43
72.97,iy,0.43
73.40,iy,0.43
73.83,iy,0.43
74.26,;,0.43
74.69,mpy,0.21
74.90,,,0.21
75.11,my,0.21
75.33,jmpu,0.43
75.76,n,0.21
75.97,ju,0.21
76.18,jnu,0.43
76.61,;ju,0.43
77.04,;ju,0.43
77.47,l,0.43
77.90,lpu,0.21
78.11,;,0.21
78.32,lu,0.21
78.54,;,0.43
78.97,imoy,0.43
79.39,/,0.43
79.82,m,0.43
80.25,/,0.43
80.68,m,0.43
81.11,/,0.43
81.53,m,0.43
81.96,/,0.43
82.39,npu,0.43
82.82,/,0.43
83.25,n,0.43
83.67,/,0.43
84.10,n,0.43
84.53,j,0.43
84.96,;,0.43
85.39,/,0.43
85.81,/iop,0.43
86.24,hp,0.21
86.46,/p,0.43
86.88,/,0.43
87.31,jpu,0.43
87.74,p,0.21
87.95,h,0.21
88.17,lp,0.43
88.60,l,0.43
89.02,/hi,0.43
89.45,p,0.21
89.67,h,0.21
89.88,/,0.43
90.31,/,0.43
90.74,k,0.43
91.16,j,0.43
91.59,kpu,0.43
92.02,;h,0.43
92.45,opy,0.43
92.88,p,0.21
93.09,h,0.21
93.30,hop,0.43
93.73,;,0.43
94.16,jpu,0.43
94.59,l,0.43
95.02,lp,0.43
95.44,/,0.43
95.87,;p,0.21
96.09,y,0.43
96.51,m,0.21
96.73,;,0.21
96.94,;,0.64
97.58,;,0.43
98.01,klmp,0.43
98.44,klmp,0.43
98.87,iy,0.43
99.30,p,0.21
99.51,h,0.43
99.94,/y,0.43
100.37,/o,0.43
100.79,p,0.43
101.22,p,0.21
101.44,h,0.21
101.65,lu,0.43
102.08,lp,0.43
102.51,hi,0.43
102.93,ky,0.43
103.36,/y,0.43
103.79,mp,0.43
104.22,ky,0.43
104.65,lu,0.43
105.07,hiky,0.43
105.50,lu,0.43
105.93,lpu,0.43
106.36,pu,0.43
106.79,pu,0.43
107.21,pu,0.43
107.64,pu,0.43
108.07,opuy,0.43
108.50,;pu,0.43
108.93,kp,0.21
109.14,u,0.43
109.57,hiy,0.43
110.00,k,0.21
110.21,iy,0.21
110.42,iky,0.21
110.64,k,0.43
111.07,iky,0.43
111.49,;i,0.43
111.92,him,0.43
112.35,,;ik,0.43
112.78,,;ko,0.43
113.21,,,0.21
113.42,oy,0.21
113.63,,oy,0.43
114.06,,oy,0.21
114.28,,,0.21
114.49,,oy,0.43
114.92,my,0.43
115.35,moy,0.43
115.77,;py,0.43
116.20,;ipy,0.43
116.63,iy,0.21
116.84,iy,0.43
117.27,iy,0.43
117.70,;iy,0.43
118.13,ny,0.43
118.56,;py,0.43
118.98,;kpy,0.43
119.41,;jkpu,0.43
119.84,l,0.21
120.05,ju,0.21
120.27,jlu,0.43
120.70,jku,0.43
121.12,jku,0.43
121.55,lu,0.43
121.98,lpu,0.43
122.41,hu,0.43
122.84,hiy,0.43
123.26,k,0.21
123.48,iy,0.21
123.69,iky,0.43
124.12,iky,0.21
124.33,k,0.21
124.55,iky,0.43
124.98,;i,0.43
125.40,hin,0.43
125.83,,ik,0.43
126.26,ikoy,0.21
126.47,,,0.21
126.69,oy,0.21
126.90,,oy,0.43
127.33,,oy,0.21
127.54,/k,0.21
127.76,/koy,0.43
128.19,.y,0.43
128.61,,oy,0.43
129.04,kmy,0.43
129.47,impy,0.43
129.90,iy,0.21
130.11,iy,0.43
130.54,iy,0.43
130.97,iy,0.43
131.40,;y,0.43
131.82,mpu,0.21
132.04,,,0.21
132.25,km,0.43
132.68,jmpu,0.43
133.11,n,0.21
133.32,hu,0.21
133.54,jnu,0.43
133.96,;ju,0.43
134.39,;ju,0.43
134.82,lu,0.43
135.25,lpu,0.43
135.68,u,0.21
135.89,;,0.43
136.32,hiky,0.43
136.75,j,0.21
136.96,iy,0.21
137.17,iky,0.43
137.60,imy,0.43
138.03,imy,0.43
138.46,.,0.43
138.89,.hi,0.43
139.31,ik,0.43
139.74,,hko,0.43
140.17,oy,0.21
140.38,oy,0.43
140.81,oy,0.43
141.24,oy,0.43
141.67,,koy,0.43
142.10,my,0.43
142.52,noy,0.43
142.95,ly,0.43
143.38,;ipy,0.43
143.81,n,0.43
144.24,iy,0.21
144.45,iny,0.43
144.88,imy,0.43
145.31,imy,0.43
145.73,ky,0.43
146.16,kpy,0.43
146.59,y,0.43
147.02,jlpu,0.43
147.45,m,0.21
147.66,ju,0.21
147.87,jmu,0.43
148.30,.ju,0.43
148.73,lu,0.43
149.16,lpu,0.43
149.59,u,0.43
150.01,/hik,0.43
150.44,.jpu,0.21
150.66,.jpu,0.43
151.08,,hoy,0.43
151.51,,hoy,0.43
151.94,o,0.21
152.15,no,0.21
152.37,,o,0.21
152.58,/o,0.43
153.01,/ikp,0.43
153.44,.jpu,0.21
153.65,.jpu,0.43
154.08,,hoy,0.43
154.51,,hoy,0.43
154.94,,hp,0.21
155.15,p,0.21
155.36,mp,0.21
155.58,p,0.43
156.01,y,0.43
156.43,/kp,0.43
156.86,/iky,0.43
157.29,mp,0.43
157.72,/ky,0.43
158.15,lpu,0.43
158.57,/iky,0.43
159.00,lpu,0.43
159.43,lpu,0.43
159.86,pu,0.43
160.29,pu,0.43
160.71,pu,0.43
161.14,pu,0.43
161.57,knpu,0.43
162.00,;pu,0.43
162.43,kp,0.21
162.64,u,0.43
163.07,hiy,0.43
163.50,k,0.21
163.71,iy,0.21
163.92,iky,0.43
164.35,iky,0.21
164.57,k,0.21
164.78,iky,0.43
165.21,;i,0.43
165.64,him,0.43
166.06,,;ik,0.43
166.49,,;koy,0.43
166.92,,,0.21
167.13,oy,0.21
167.35,,oy,0.21
167.56,,,0.21
167.78,,oy,0.43
168.20,my,0.43
168.63,moy,0.43
169.06,;py,0.43
169.49,;ipy,0.43
169.92,iy,0.21
170.13,iy,0.43
170.56,iy,0.43
170.99,;iy,0.43
171.41,ny,0.43
171.84,;py,0.43
172.27,;kpy,0.43
172.70,;jkpu,0.43
173.13,l,0.21
173.34,ju,0.21
173.55,jlu,0.43
173.98,jku,0.43
174.41,jku,0.43
174.84,lu,0.43
175.27,lpu,0.43
175.69,hu,0.43
176.12,hiy,0.43
176.55,k,0.21
176.76,iy,0.21
176.98,iky,0.43
177.41,iky,0.21
177.62,k,0.21
177.83,iky,0.43
178.26,;i,0.43
178.69,him,0.43
179.12,,ik,0.43
179.55,,koy,0.43
179.97,,,0.21
180.19,oy,0.21
180.40,,oy,0.43
180.83,,oy,0.21
181.04,/k,0.21
181.26,/koy,0.43
181.69,.y,0.43
182.11,,oy,0.43
182.54,kmy,0.43
182.97,ikmy,0.43
183.40,iy,0.21
183.61,iy,0.43
184.04,iy,0.43
184.47,iy,0.43
184.90,;y,0.43
185.32,mpy,0.21
185.54,,,0.21
185.75,my,0.43
186.18,jmpu,0.43
186.61,n,0.21
186.82,ju,0.21
187.04,jnu,0.43
187.46,;ju,0.43
187.89,;ju,0.43
188.32,lu,0.43
188.75,lpu,0.43
189.18,;,0.43
189.60,hiy,0.43
190.03,k,0.21
190.25,iy,0.21
190.46,iky,0.43
190.89,iky,0.21
191.10,k,0.21
191.32,iky,0.43
191.74,;i,0.43
192.17,him,0.43
192.60,,;ik,0.43
193.03,;hkoy,0.43
193.46,,,0.21
193.67,oy,0.21
193.88,,oy,0.21
194.10,,,0.21
194.31,,oy,0.43
194.74,my,0.43
195.17,moy,0.43
195.60,;py,0.43
196.02,;ipy,0.43
196.45,iy,0.21
196.67,iy,0.43
197.09,iy,0.43
197.52,;iy,0.43
197.95,ny,0.43
198.38,mpy,0.43
198.81,;kpy,0.43
199.23,;jpu,0.43
199.66,l,0.21
199.88,ju,0.21
200.09,jlu,0.43
200.52,jku,0.43
200.95,kp,0.21
201.16,u,0.21
201.37,lp,0.21
201.59,j,0.21
201.80,lu,0.21
202.02,j,0.21
202.23,hp,0.21
202.44,u,0.43
202.87,hiy,0.43
203.30,k,0.43
203.73,k,0.43
204.16,k,0.21
204.37,k,0.43
204.80,k,0.21
205.01,;i,0.43
205.44,him,0.43
205.87,,ik,0.43
206.30,,koy,0.43
206.72,,,0.21
206.94,oy,0.21
207.15,,oy,0.43
207.58,,oy,0.21
207.79,/k,0.21
208.01,/koy,0.43
208.44,.y,0.43
208.86,,oy,0.43
209.29,kmy,0.43
209.72,ikmy,0.43
210.15,iy,0.21
210.36,iy,0.43
210.79,iy,0.43
211.22,iy,0.43
211.65,;y,0.43
212.07,mpy,0.21
212.29,,,0.21
212.50,my,0.43
212.93,jmu,0.43
213.36,n,0.21
213.57,ju,0.21
213.79,jnu,0.43
214.21,;ju,0.43
214.64,;ju,0.43
215.07,lu,0.43
215.50,lpu,0.43
215.93,ku,0.43
216.35,ikoy,1.93
218.28,py,0.43
218.71,i,0.43
219.14,p,0.43
219.56,hpy,0.43
219.99,h,0.43
220.42,h,0.43
220.85,i,0.43
221.28,ipy,0.43
221.70,u,0.43
222.13,i,0.64
222.77,j,0.43
223.20,ipy,0.43
223.63,i,0.43
224.06,p,0.43
224.49,opy,0.43
224.91,h,0.43
225.34,h,0.43
225.77,iy,0.43
226.20,u,0.43
226.63,u,0.43
227.05,y,0.43
227.48,y,0.50
