# 星辰大海
# Converted from SkyStudio format
# BPM: 336
# Total chords: 405

Time,Keys,Duration
0.00,A2B2C#3E3,0.36
0.36,E3,0.36
0.71,C4,0.18
0.89,G#3,0.18
1.07,G#3,1.07
2.14,A2C3D3,0.36
2.49,F3,0.36
2.85,C4,0.18
3.03,G#3,0.18
3.20,G#3,1.07
4.27,A2B2C#3,0.36
4.63,E3,0.36
4.98,C4,0.18
5.16,G#3,0.18
5.34,G#3,1.07
6.41,A#2C#3D#3,0.36
6.76,F3,0.36
7.12,C4,0.36
7.48,G#3,0.71
8.19,F3,1.07
9.26,A2B2D3,0.71
9.97,B2,0.36
10.32,C#3,0.36
10.68,A2C#3,0.36
11.04,D3,0.89
11.93,B2,0.36
12.28,A2B2,0.36
12.64,A#2,0.36
12.99,B2,1.07
14.06,A2B2D3,0.71
14.77,B2,0.36
15.13,C#3,0.36
15.49,A2B2C#3,0.36
15.84,D3,0.89
16.73,B2,0.18
16.91,A#2,0.36
17.27,A#2,0.36
17.62,A2,1.25
18.87,A2C3D3,0.36
19.22,C#3,0.18
19.40,D3,0.18
19.58,E3,0.36
19.94,E3,0.36
20.29,A#2C#3D#3,0.36
20.65,C#3,0.18
20.83,D3,0.18
21.00,F3,0.36
21.36,E3,0.36
21.72,A2B2D3,0.36
22.07,C#3,0.18
22.25,D3,0.18
22.43,E3,0.36
22.78,E3,0.36
23.14,A2,0.36
23.50,B2D#3,0.36
23.85,A2D3,0.71
24.56,A2C3D3,0.36
24.92,C#3,0.18
25.10,D3,0.18
25.28,G3,0.36
25.63,F#3,0.36
25.99,A#2C#3D#3,0.36
26.34,F3,0.36
26.70,F3,0.36
27.06,E3,0.36
27.41,A2B2D3F#3,0.36
27.77,G#3,0.18
27.95,F#3,0.71
28.66,A2C#3D#3,0.71
29.37,A2,0.36
29.73,A2C#3,0.18
29.90,D3,0.18
30.08,C3E3,0.36
30.44,E3,0.36
30.79,B2,0.36
31.15,A#2C#3,0.18
31.33,D3,0.18
31.51,C#3F3,0.36
31.86,E3,0.36
32.22,A2,0.36
32.57,B2E3,0.36
32.93,D3E3,0.36
33.29,B2C#3,0.36
33.64,A2E3,0.36
34.00,B2F3,0.36
34.35,D3E3,0.36
34.71,B2F3,0.36
35.07,A#2C#3F3,0.36
35.42,A#2C#3,0.36
35.78,A#2C#3,0.36
36.13,A#2C#3,0.36
36.49,A#2C#3,0.36
36.85,A#2C#3G3,0.36
37.20,A#2C#3F#3,0.36
37.56,E3,0.36
37.91,A2,0.36
38.27,B2C#3E3,0.36
38.63,C#3D3E3,0.36
38.98,B2C#3E3,0.18
39.16,C#3E3,0.18
39.34,A2,0.36
39.69,B2F#3,0.36
40.05,D3E3G#3,0.36
40.41,A3B2E3,0.36
40.76,C3,0.36
41.12,A2A3E3,0.36
41.47,A3C3E3,0.36
41.83,A2A3E3,0.18
42.01,A3E3,0.18
42.19,D3,0.36
42.54,A2E3G#3,0.36
42.90,C3E3G#3,0.36
43.25,A2C#3F#3,0.36
43.61,A2,0.36
43.97,C#3,0.36
44.32,E3,0.36
44.68,C#3,0.36
45.03,B2C#3F#3,0.36
45.39,C#3E3G3,0.36
45.75,A2C#3F#3,0.36
46.10,C#3F#3,0.36
46.46,A2,0.36
46.81,A#2C#3F3,0.36
47.17,C#3,0.36
47.53,A#2C#3E3,0.36
47.88,D#3,0.36
48.24,A#2C#3F3,0.36
48.59,C#3,0.36
48.95,A#2D3,0.36
49.31,A2,0.36
49.66,B2C#3E3,0.36
50.02,C#3D3E3,0.36
50.37,C#3E3,0.36
50.73,A2,0.36
51.09,B2F#3,0.36
51.44,D3E3G#3,0.36
51.80,A3B2E3,0.36
52.15,C3,0.36
52.51,A2A3E3,0.36
52.87,A3C3E3,0.36
53.22,A2A3E3,0.18
53.40,C4G#3,0.18
53.58,D3,0.18
53.76,A#3A2,0.36
54.11,A3C3,0.36
54.47,A2F3G#3,0.36
54.82,A2,0.36
55.18,C#3,0.36
55.54,A2,0.36
55.89,C#3,0.36
56.25,B2,0.36
56.60,C#3F#3,0.36
56.96,A2G#3,0.18
57.14,A3,0.18
57.32,C#3G#3,0.36
57.67,C#3,0.36
58.03,A#2G#3,0.36
58.38,C#3,0.36
58.74,A#2F#3,0.36
59.10,D#3,0.36
59.45,A#2F3,0.36
59.81,C#3F3,0.18
59.99,F#3,0.18
60.16,A#2F3,0.18
60.34,F#3,0.18
60.52,A2,0.36
60.88,B2,0.36
61.23,E3,0.36
61.59,B2,0.36
61.94,E3,0.36
62.30,B2,0.36
62.66,E3,0.36
63.01,B2,0.36
63.37,A2C3D3,0.36
63.72,C#3,0.18
63.90,D3,0.18
64.08,E3,0.36
64.44,E3,0.36
64.79,A#2C#3D#3,0.36
65.15,C#3,0.18
65.33,D3,0.18
65.50,F3,0.36
65.86,E3,0.36
66.22,A2B2D3,0.36
66.57,C#3,0.18
66.75,D3,0.18
66.93,E3,0.36
67.28,E3,0.36
67.64,A2,0.36
68.00,B2D#3,0.36
68.35,A2D3,0.71
69.06,A2C3D3,0.36
69.42,C#3,0.18
69.60,D3,0.18
69.78,G3,0.36
70.13,F#3,0.36
70.49,A#2C#3D#3,0.36
70.84,F3,0.36
71.20,F3,0.36
71.56,E3,0.36
71.91,A2B2D3F#3,0.36
72.27,G#3,0.18
72.45,F#3,0.71
73.16,A2C#3D#3,0.36
73.51,A2,0.36
73.87,A2C#3,0.18
74.05,D3,0.18
74.23,C3E3,0.36
74.58,E3,0.36
74.94,A2,0.36
75.29,A#2C#3,0.18
75.47,D3,0.18
75.65,C#3F3,0.36
76.01,E3,0.36
76.36,A2,0.36
76.72,B2E3,0.36
77.07,D3E3,0.36
77.43,B2C#3,0.36
77.79,A2E3,0.36
78.14,B2F3,0.36
78.50,D3E3,0.36
78.85,B2F3,0.36
79.21,A#2C#3F3,0.36
79.57,A#2C#3,0.36
79.92,A#2C#3,0.36
80.28,A#2C#3,0.36
80.63,A#2C#3,0.36
80.99,A#2C#3G3,0.36
81.35,A#2C#3F#3,0.36
81.70,E3,0.36
82.06,A2,0.36
82.41,B2C#3E3,0.36
82.77,C#3D3E3,0.36
83.13,B2C#3E3,0.18
83.30,C#3E3,0.18
83.48,A2,0.36
83.84,B2F#3,0.36
84.19,D3E3G#3,0.36
84.55,A3B2E3,0.36
84.91,C3,0.36
85.26,A2A3E3,0.36
85.62,A3C3E3,0.36
85.97,A2A3E3,0.18
86.15,A3E3,0.18
86.33,D3,0.36
86.69,A2E3G#3,0.36
87.04,C3E3G#3,0.36
87.40,A2C#3F#3,0.36
87.75,A2,0.36
88.11,C#3,0.36
88.47,E3,0.36
88.82,C#3,0.36
89.18,B2C#3F#3,0.36
89.53,C#3E3G3,0.36
89.89,A2C#3F#3,0.36
90.25,C#3F#3,0.36
90.60,A2,0.36
90.96,A#2C#3F3,0.36
91.31,C#3,0.36
91.67,A#2C#3E3,0.36
92.03,D#3,0.36
92.38,A#2C#3F3,0.36
92.74,C#3,0.36
93.09,A#2D3,0.36
93.45,A2,0.36
93.81,B2C#3E3,0.36
94.16,C#3D3E3,0.36
94.52,C#3E3,0.36
94.87,A2,0.36
95.23,B2F#3,0.36
95.59,D3E3G#3,0.36
95.94,A3B2E3,0.36
96.30,C3,0.36
96.65,A2A3E3,0.36
97.01,A3C3E3,0.36
97.37,A2A3E3,0.18
97.54,C4G#3,0.18
97.72,D3,0.18
97.90,A#3A2,0.36
98.26,A3C3,0.36
98.61,A2F3G#3,0.36
98.97,A2,0.36
99.32,C#3,0.36
99.68,A2,0.36
100.04,C#3,0.36
100.39,B2,0.36
100.75,C#3F#3,0.36
101.10,A2G#3,0.18
101.28,A3,0.18
101.46,C#3G#3,0.36
101.82,C#3,0.36
102.17,A#2G#3,0.36
102.53,C#3,0.36
102.88,A#2F#3,0.36
103.24,D#3,0.36
103.60,A#2F3,0.36
103.95,C#3F3,0.18
104.13,F#3,0.18
104.31,A#2F3,0.18
104.49,F#3,0.18
104.66,A2,0.36
105.02,B2,0.36
105.38,E3,0.36
105.73,B2,0.36
106.09,E3,0.36
106.44,B2,0.36
106.80,E3,0.36
107.16,B2,0.36
107.51,C#3G#3,0.36
107.87,A#2G3,0.36
108.22,C#3,0.36
108.58,A#2F#3,0.36
108.94,D#3,0.36
109.29,A#2F3,0.36
109.65,C#3,0.36
110.00,A#2,0.36
110.36,F#3,0.36
110.72,A2,0.36
111.07,B2C#3E3,0.36
111.43,C#3D3E3,0.36
111.78,B2C#3E3,0.18
111.96,C#3E3,0.18
112.14,A2,0.36
112.50,B2F#3,0.36
112.85,D3E3G#3,0.36
113.21,A3B2E3,0.36
113.56,C3,0.36
113.92,A2A3E3,0.36
114.28,A3C3E3,0.36
114.63,A2A3E3,0.18
114.81,A3E3,0.18
114.99,D3,0.36
115.34,A2E3G#3,0.36
115.70,C3E3G#3,0.36
116.06,A2C#3F#3,0.36
116.41,A2,0.36
116.77,C#3,0.36
117.12,A2,0.36
117.48,C#3,0.36
117.84,B2C#3F#3,0.36
118.19,C#3E3G3,0.36
118.55,A2E3G#3,0.36
118.90,A2C#3F#3,0.36
119.26,A2,0.36
119.62,A#2C#3F3,0.36
119.97,C#3,0.36
120.33,A#2C#3E3,0.36
120.68,D#3,0.36
121.04,A#2C#3F3,0.36
121.40,C#3,0.36
121.75,A#2D3,0.36
122.11,A2,0.36
122.46,B2C#3E3,0.36
122.82,C#3D3E3,0.36
123.18,B2C#3E3,0.18
123.35,C#3E3,0.18
123.53,A2,0.36
123.89,B2F#3,0.36
124.24,D3E3G#3,0.36
124.60,A3B2E3,0.36
124.96,C3,0.36
125.31,A2A3E3,0.36
125.67,A3C3E3,0.36
126.02,A2A3E3,0.18
126.20,C4G#3,0.18
126.38,D3,0.18
126.56,A#3A2,0.36
126.91,A3C3,0.36
127.27,A2F3G#3,0.36
127.63,A2,0.36
127.98,C#3,0.36
128.34,A2,0.36
128.69,C#3,0.36
129.05,B2,0.36
129.41,C#3F#3,0.36
129.76,A2G#3,0.18
129.94,A3,0.18
130.12,C#3G#3,0.36
130.47,A2,0.36
130.83,A#2G3,0.36
131.19,C#3,0.36
131.54,A#2F#3,0.36
131.90,D#3,0.36
132.25,A#2F3,0.36
132.61,C#3,0.36
132.97,A#2E3,0.36
133.32,A2B2,2.31
135.64,B2C#3E3,0.71
136.35,F#3,0.36
136.70,G#3,0.36
137.06,C3D3E3G#3,0.36
137.42,A3,0.89
138.31,F#3,0.36
138.66,B2C#3E3F#3,0.36
139.02,F3,0.36
139.37,F#3,1.78
141.15,B2C#3E3,0.71
141.87,F#3,0.36
142.22,G#3,0.36
142.58,A2C#3C3G#3,0.36
142.93,A3,0.89
143.82,A2C#3E3F#3,0.36
144.18,F3,0.36
144.54,F3,0.36
144.89,A2B2C#3E3,0.50
