# 春娇与志明
# Converted from SkyStudio format
# BPM: 240
# Total chords: 58

Time,Keys,Duration
0.00,B2D3,0.50
0.50,F#3,0.25
0.75,A#3,0.25
1.00,C4,0.50
1.50,A#3,0.25
1.75,G#3,0.25
2.00,G#3,0.25
2.25,C3,0.25
2.50,A3,0.50
3.00,G#3,0.25
3.25,G#3,0.25
3.50,F#3,0.25
3.75,F3,0.25
4.00,E3,0.50
4.50,A2C#3,0.25
4.75,A2,0.25
5.00,A2,0.25
5.25,A2,0.25
5.50,A2,0.25
5.75,C#3,0.25
6.00,F#3,0.25
6.25,F3,0.50
6.75,A#2C#3,0.25
7.00,F#3,0.50
7.50,G3,0.25
7.75,G3,0.25
8.00,F#3,0.25
8.25,F3,0.25
8.50,E3,0.50
9.00,B2D3,0.25
9.25,F#3,0.25
9.50,A#3,0.25
9.75,E3,0.50
10.25,A#3,0.25
10.50,G#3,0.25
10.75,G#3,0.25
11.00,C3,0.25
11.25,A3,0.50
11.75,G#3,0.25
12.00,G#3,0.25
12.25,F#3,0.25
12.50,F3,0.25
12.75,E3,0.50
13.25,A2C#3,0.25
13.50,E3,0.25
13.75,E3,0.25
14.00,E3,0.25
14.25,E3,0.25
14.50,C#3,0.25
14.75,F#3,0.25
15.00,F3,0.50
15.50,A#2C#3,0.50
16.00,G3,0.25
16.25,G3,0.25
16.50,F#3,0.25
16.75,F3,0.25
17.00,E3,0.50
17.50,A2,0.50
