# 晚夜微雨问海棠
# Converted from SkyStudio format
# BPM: 320
# Total chords: 769

Time,Keys,Duration
0.00,A3D3,0.37
0.37,A2G#3,0.19
0.56,A#2,0.19
0.75,C#3E3,0.19
0.94,A#2,0.19
1.12,F3,0.37
1.50,A3C#3,0.19
1.68,D3,0.19
1.87,F3,0.19
2.06,G#3,0.19
2.24,F3,0.37
2.62,D3F#3,0.37
2.99,A3D3,0.37
3.37,A2G#3,0.19
3.55,A#2,0.19
3.74,C#3E3,0.19
3.93,A#2,0.19
4.11,F3,0.37
4.49,C4D3,0.19
4.67,B2,0.19
4.86,C#3,0.19
5.05,A#3,0.19
5.24,D#3,0.37
5.61,C#3G#3,0.37
5.98,C3D#3,0.19
6.17,E3,0.19
6.36,D3G#3,0.19
6.54,D#3,0.19
6.73,E3,0.19
6.92,C#3G#3,0.19
7.11,D#3,0.19
7.29,E3,0.19
7.48,C#3F3,0.19
7.67,D#3,0.19
7.85,E3,0.19
8.04,G#3,0.19
8.23,A#2,0.19
8.41,F3,0.19
8.60,D#3,0.19
8.79,C#3,0.19
8.98,C3D3,0.37
9.35,A2,0.19
9.54,B2,0.37
9.91,B2,0.19
10.10,A2,0.19
10.29,B2,0.94
11.22,B2D3,0.19
11.41,D#3,0.19
11.59,B2D3E3,0.19
11.78,B2D3F3,0.19
11.97,C3F#3,0.75
12.72,A2C3D3,0.37
13.09,F3,0.19
13.28,F#3,0.19
13.46,C#3,0.37
13.84,F3,0.19
14.03,F#3,0.19
14.21,A#2C#3D#3,0.19
14.40,G#3,0.56
14.96,A3D3,0.37
15.33,G#3,0.37
15.71,A2B2D3F#3,0.37
16.08,F3,0.37
16.46,D3F#3,0.75
17.20,C3D3,0.19
17.39,C#3D#3,0.19
17.58,E3,0.19
17.77,D3F3,0.19
17.95,C3F#3,0.75
18.70,A2C3D3,0.37
19.07,F3,0.19
19.26,F#3,0.19
19.45,C#3,0.37
19.82,F3,0.19
20.01,E3,0.19
20.20,A#2C#3,0.37
20.57,D#3,0.37
20.94,C3D3,0.37
21.32,E3,0.37
21.69,A2B2D3,0.37
22.07,C#3,0.19
22.25,B2,0.94
23.19,C3D3,0.19
23.38,D#3,0.19
